0,1,2,3
Jacques Cousteau,0.604,http://www.wikidata.org/entity/Q83233,biologist
David Attenborough,0.458,http://www.wikidata.org/entity/Q183337,biologist
Nikolai Vavilov,0.326,http://www.wikidata.org/entity/Q214926,biologist
Paul Ehrlich,0.267,http://www.wikidata.org/entity/Q57089,biologist
Vladimir Ivanovich Vernadsky,0.261,http://www.wikidata.org/entity/Q316371,biologist
Carl Linnaeus,0.256,http://www.wikidata.org/entity/Q1043,biologist
Richard Dawkins,0.186,http://www.wikidata.org/entity/Q44461,biologist
Stephen Hillenburg,0.163,http://www.wikidata.org/entity/Q318750,biologist
Maria Vorontsova,0.143,http://www.wikidata.org/entity/Q19816371,biologist
Dian Fossey,0.143,http://www.wikidata.org/entity/Q234224,biologist
Rudolf Virchow,0.116,http://www.wikidata.org/entity/Q76432,biologist
Anne Wojcicki,0.064,http://www.wikidata.org/entity/Q2069573,biologist
Katherine Oppenheimer,0.05,http://www.wikidata.org/entity/Q52159113,biologist
Gottfried Wilhelm Leibniz,0.027,http://www.wikidata.org/entity/Q9047,biologist
Shyamala Gopalan,-0.025,http://www.wikidata.org/entity/Q60844968,biologist
Trofim Lysenko,-0.027,http://www.wikidata.org/entity/Q294234,biologist
Mark Benecke,-0.135,http://www.wikidata.org/entity/Q70307,biologist
biology,-0.277,http://www.wikidata.org/entity/Q420,biologist
Nell Newman,-0.342,http://www.wikidata.org/entity/Q6990034,biologist
Robert Koch,-0.417,http://www.wikidata.org/entity/Q37193,biologist
Lizard,-0.875,http://www.wikidata.org/entity/Q19382,biologist
All Quiet on the Western Front,0.857,http://www.wikidata.org/entity/Q108837349,war film
Apocalypse Now,0.7,http://www.wikidata.org/entity/Q182692,war film
Dunkirk,0.4,http://www.wikidata.org/entity/Q21935651,war film
War,0.357,http://www.wikidata.org/entity/Q866673,war film
Inglourious Basterds,0.27,http://www.wikidata.org/entity/Q153723,war film
Gone with the Wind,0.244,http://www.wikidata.org/entity/Q2875,war film
Guy Ritchie's The Covenant,0.2,http://www.wikidata.org/entity/Q110819073,war film
The Battle at Lake Changjin II,0.179,http://www.wikidata.org/entity/Q110795632,war film
Das Boot,0.102,http://www.wikidata.org/entity/Q62730,war film
Downfall,0.0,http://www.wikidata.org/entity/Q152857,war film
The Hunger Games: Mockingjay – Part 2,-0.068,http://www.wikidata.org/entity/Q10307713,war film
War for the Planet of the Apes,-0.139,http://www.wikidata.org/entity/Q19938437,war film
Captain America: The First Avenger,-0.19,http://www.wikidata.org/entity/Q275120,war film
Union of Salvation,-0.194,http://www.wikidata.org/entity/Q53704963,war film
Expend4bles,-0.294,http://www.wikidata.org/entity/Q108813842,war film
Rogue One,-0.324,http://www.wikidata.org/entity/Q19590955,war film
Hotsunlight,-0.472,http://www.wikidata.org/entity/Q108129779,war film
Wonder Woman 1984,-0.488,http://www.wikidata.org/entity/Q33408623,war film
Wonder Woman,-0.553,http://www.wikidata.org/entity/Q20502242,war film
Henry Kissinger,0.763,http://www.wikidata.org/entity/Q66107,political scientist
Condoleezza Rice,0.4,http://www.wikidata.org/entity/Q47216,political scientist
Alexander Boroday,0.2,http://www.wikidata.org/entity/Q16902077,political scientist
Michael D. Higgins,0.158,http://www.wikidata.org/entity/Q57276,political scientist
Woodrow Wilson,0.15,http://www.wikidata.org/entity/Q34296,political scientist
Benjamin Netanyahu,0.119,http://www.wikidata.org/entity/Q43723,political scientist
Aleksandr Dugin,0.103,http://www.wikidata.org/entity/Q438839,political scientist
Dinesh D'Souza,0.077,http://www.wikidata.org/entity/Q1226328,political scientist
Christopher Hitchens,0.026,http://www.wikidata.org/entity/Q49081,political scientist
Sergei Khrushchev,0.022,http://www.wikidata.org/entity/Q1374180,political scientist
Hannah Arendt,0.0,http://www.wikidata.org/entity/Q60025,political scientist
Zbigniew Brzezinski,-0.047,http://www.wikidata.org/entity/Q168041,political scientist
Olha Shariy,-0.136,http://www.wikidata.org/entity/Q56308910,political scientist
Voltaire,-0.143,http://www.wikidata.org/entity/Q9068,political scientist
Janine Wissler,-0.15,http://www.wikidata.org/entity/Q1682774,political scientist
Marina Litvinovich,-0.15,http://www.wikidata.org/entity/Q4263661,political scientist
Bhimrao Ramji Ambedkar,-0.174,http://www.wikidata.org/entity/Q231690,political scientist
Klara Geywitz,-0.19,http://www.wikidata.org/entity/Q1744408,political scientist
Hubertus Heil,-0.22,http://www.wikidata.org/entity/Q71534,political scientist
Helmut Kohl,-0.256,http://www.wikidata.org/entity/Q2518,political scientist
The Karate Kid,0.8,http://www.wikidata.org/entity/Q846679,martial arts film
The Karate Kid Part II,0.413,http://www.wikidata.org/entity/Q1418251,martial arts film
"The Karate Kid, Part III",0.357,http://www.wikidata.org/entity/Q1586077,martial arts film
Mortal Kombat,0.325,http://www.wikidata.org/entity/Q819196,martial arts film
Shang-Chi and the Legend of the Ten Rings,0.289,http://www.wikidata.org/entity/Q65768589,martial arts film
Kill Bill Volume 2,0.243,http://www.wikidata.org/entity/Q928019,martial arts film
Kill Bill Volume 1,0.146,http://www.wikidata.org/entity/Q165325,martial arts film
The Matrix Reloaded,0.116,http://www.wikidata.org/entity/Q189600,martial arts film
Everything Everywhere All at Once,-0.089,http://www.wikidata.org/entity/Q83808444,martial arts film
Brandon Lee,-0.231,http://www.wikidata.org/entity/Q211462,martial arts film
Daredevil,-0.385,http://www.wikidata.org/entity/Q751805,martial arts film
Jet Li,-0.459,http://www.wikidata.org/entity/Q159577,martial arts film
Jackie Chan,-0.462,http://www.wikidata.org/entity/Q36970,martial arts film
Jack Reacher,-0.618,http://www.wikidata.org/entity/Q590252,martial arts film
Rudolf Steiner,0.5,http://www.wikidata.org/entity/Q78484,architect
Leonardo da Vinci,0.409,http://www.wikidata.org/entity/Q762,architect
Albert Speer,0.341,http://www.wikidata.org/entity/Q60045,architect
Michelangelo,0.333,http://www.wikidata.org/entity/Q5592,architect
Vyacheslav Butusov,0.282,http://www.wikidata.org/entity/Q1862092,architect
Andrey Makarevich,0.209,http://www.wikidata.org/entity/Q2227698,architect
Alfred Rosenberg,0.196,http://www.wikidata.org/entity/Q75849,architect
Farah Pahlavi,0.194,http://www.wikidata.org/entity/Q164111,architect
Vitaly Kaloyev,0.19,http://www.wikidata.org/entity/Q554652,architect
Alla Dudayeva,0.023,http://www.wikidata.org/entity/Q4170097,architect
Olena Zelenska,0.0,http://www.wikidata.org/entity/Q59321885,architect
Thomas Jefferson,-0.043,http://www.wikidata.org/entity/Q11812,architect
Yahya Abdul-Mateen II,-0.098,http://www.wikidata.org/entity/Q28655334,architect
Grand Duke Vladimir Alexandrovich of Russia,-0.225,http://www.wikidata.org/entity/Q312819,architect
Kanye West,-0.543,http://www.wikidata.org/entity/Q15935,architect
"Prince Richard, Duke of Gloucester",-0.6,http://www.wikidata.org/entity/Q170294,architect
Jack Nicklaus,-0.714,http://www.wikidata.org/entity/Q9424,architect
Ringo Starr,0.727,http://www.wikidata.org/entity/Q2632,drummer
Lars Ulrich,0.489,http://www.wikidata.org/entity/Q106193,drummer
Roger Taylor,0.444,http://www.wikidata.org/entity/Q15880,drummer
Travis Barker,0.395,http://www.wikidata.org/entity/Q220140,drummer
Tommy Lee,0.351,http://www.wikidata.org/entity/Q331748,drummer
Christoph Schneider,0.255,http://www.wikidata.org/entity/Q57168,drummer
Dave Grohl,0.216,http://www.wikidata.org/entity/Q12006,drummer
Phil Collins,0.163,http://www.wikidata.org/entity/Q144622,drummer
Ivan Makarevich,0.0,http://www.wikidata.org/entity/Q4275255,drummer
Roger Waters,-0.024,http://www.wikidata.org/entity/Q180861,drummer
Valeria Kozlova,-0.146,http://www.wikidata.org/entity/Q2502323,drummer
Bela B,-0.162,http://www.wikidata.org/entity/Q77462,drummer
Varg Vikernes,-0.25,http://www.wikidata.org/entity/Q207824,drummer
Taylor Hawkins,-0.3,http://www.wikidata.org/entity/Q312395,drummer
Paul McCartney,-0.476,http://www.wikidata.org/entity/Q2599,drummer
Whiplash,-0.512,http://www.wikidata.org/entity/Q15648198,drummer
FKA twigs,-0.568,http://www.wikidata.org/entity/Q15291033,drummer
Anish Kapoor,0.703,http://www.wikidata.org/entity/Q327293,Indians
Hindi,0.644,http://www.wikidata.org/entity/Q1568,Indians
Punjabi,0.54,http://www.wikidata.org/entity/Q58635,Indians
Rekhā,0.314,http://www.wikidata.org/entity/Q465826,Indians
Anglo-Indian people,0.267,http://www.wikidata.org/entity/Q368125,Indians
Indigenous peoples of the Americas,0.119,http://www.wikidata.org/entity/Q36747,Indians
Native Americans in the United States,0.116,http://www.wikidata.org/entity/Q49297,Indians
Vyasa,0.023,http://www.wikidata.org/entity/Q330521,Indians
