Joe Biden	0.651	http://www.wikidata.org/entity/Q6279	President of the United States
Ronald Reagan	0.514	http://www.wikidata.org/entity/Q9960	President of the United States
John F. Kennedy	0.442	http://www.wikidata.org/entity/Q9696	President of the United States
Barack Obama	0.389	http://www.wikidata.org/entity/Q76	President of the United States
Franklin Delano Roosevelt	0.324	http://www.wikidata.org/entity/Q8007	President of the United States
Donald Trump	0.303	http://www.wikidata.org/entity/Q22686	President of the United States
Bill Clinton	0.158	http://www.wikidata.org/entity/Q1124	President of the United States
George H. W. Bush	0.024	http://www.wikidata.org/entity/Q23505	President of the United States
Jimmy Carter	0.02	http://www.wikidata.org/entity/Q23685	President of the United States
George W. Bush	-0.132	http://www.wikidata.org/entity/Q207	President of the United States
United States of America	-0.196	http://www.wikidata.org/entity/Q30	President of the United States
2020 United States presidential election	-0.476	http://www.wikidata.org/entity/Q22923830	President of the United States
United States Armed Forces	-0.923	http://www.wikidata.org/entity/Q11211	President of the United States
