Kemal Kılıçdaroğlu	0.562	http://www.wikidata.org/entity/Q44332	Turks
Turkic peoples	0.558	http://www.wikidata.org/entity/Q83328	Turks
Bahaeddin Şakir	0.5	http://www.wikidata.org/entity/Q2616976	Turks
Mesut Özil	0.5	http://www.wikidata.org/entity/Q83488	Turks
Turkish diaspora	0.222	http://www.wikidata.org/entity/Q1796235	Turks
Turkey	0.22	http://www.wikidata.org/entity/Q43	Turks
Turkish	0.114	http://www.wikidata.org/entity/Q256	Turks
Turks in Germany	0.105	http://www.wikidata.org/entity/Q704608	Turks
Bibras Natcho	-0.186	http://www.wikidata.org/entity/Q559910	Turks
The Turk	-0.214	http://www.wikidata.org/entity/Q275924	Turks
2016 Turkish coup d'état attempt	-0.324	http://www.wikidata.org/entity/Q25906338	Turks
Karamanlides	-0.326	http://www.wikidata.org/entity/Q252692	Turks
Asian people	-0.531	http://www.wikidata.org/entity/Q4058325	Turks
Germany	-0.804	http://www.wikidata.org/entity/Q183	Turks
