Game of Thrones	0.652	http://www.wikidata.org/entity/Q23572	drama television series
Yellowstone	0.636	http://www.wikidata.org/entity/Q47452423	drama television series
The Crown	0.632	http://www.wikidata.org/entity/Q20707362	drama television series
Breaking Bad	0.378	http://www.wikidata.org/entity/Q1079	drama television series
The Lord of the Rings: The Rings of Power	0.257	http://www.wikidata.org/entity/Q59149852	drama television series
The Walking Dead	0.119	http://www.wikidata.org/entity/Q232737	drama television series
House of the Dragon	0.114	http://www.wikidata.org/entity/Q72930269	drama television series
The Witcher	0.093	http://www.wikidata.org/entity/Q47500433	drama television series
Stranger Things	0.048	http://www.wikidata.org/entity/Q19798734	drama television series
Peaky Blinders	-0.025	http://www.wikidata.org/entity/Q14944179	drama television series
The Book of Boba Fett	-0.174	http://www.wikidata.org/entity/Q104396610	drama television series
WandaVision	-0.186	http://www.wikidata.org/entity/Q65980217	drama television series
How I Met Your Mother	-0.227	http://www.wikidata.org/entity/Q147235	drama television series
Brigada	-0.294	http://www.wikidata.org/entity/Q915313	drama television series
Dark	-0.385	http://www.wikidata.org/entity/Q28443710	drama television series
Silver Spoon	-0.698	http://www.wikidata.org/entity/Q19619067	drama television series
