Oppenheimer	0.769	http://www.wikidata.org/entity/Q108839994	historical film
Gone with the Wind	0.674	http://www.wikidata.org/entity/Q2875	historical film
The Passion of the Christ	0.652	http://www.wikidata.org/entity/Q51668	historical film
Gladiator	0.556	http://www.wikidata.org/entity/Q128518	historical film
Valkyrie	0.439	http://www.wikidata.org/entity/Q159054	historical film
The Last Duel	0.429	http://www.wikidata.org/entity/Q85000980	historical film
Midway	0.289	http://www.wikidata.org/entity/Q56551019	historical film
Downfall	0.214	http://www.wikidata.org/entity/Q152857	historical film
The Northman	0.213	http://www.wikidata.org/entity/Q87126244	historical film
The King	0.095	http://www.wikidata.org/entity/Q54801155	historical film
Amsterdam	0.026	http://www.wikidata.org/entity/Q104830968	historical film
Land of Legends	0.02	http://www.wikidata.org/entity/Q55659358	historical film
Union of Salvation	0.0	http://www.wikidata.org/entity/Q53704963	historical film
Kingdom of Heaven	0.0	http://www.wikidata.org/entity/Q207698	historical film
Thirteen Lives	-0.188	http://www.wikidata.org/entity/Q105962844	historical film
Champion of the World	-0.222	http://www.wikidata.org/entity/Q65154506	historical film
Das Boot	-0.278	http://www.wikidata.org/entity/Q62730	historical film
Ekaterina	-0.327	http://www.wikidata.org/entity/Q2941802	historical film
Blonde	-0.429	http://www.wikidata.org/entity/Q66823622	historical film
Thomas Brodie-Sangster	-0.554	http://www.wikidata.org/entity/Q312531	historical film
Oliver Reed	-0.595	http://www.wikidata.org/entity/Q313588	historical film
Derek Jacobi	-0.727	http://www.wikidata.org/entity/Q256164	historical film
