Museum of Modern Art	0.791	http://www.wikidata.org/entity/Q188740	museum of modern art
MAXXI – National Museum of the 21st Century Arts	0.5	http://www.wikidata.org/entity/Q1881229	museum of modern art
National Museum of Capodimonte	0.432	http://www.wikidata.org/entity/Q290549	museum of modern art
Galleria Palatina	0.286	http://www.wikidata.org/entity/Q866498	museum of modern art
Gallerie dell'Accademia	0.211	http://www.wikidata.org/entity/Q338330	museum of modern art
Peggy Guggenheim Collection	0.154	http://www.wikidata.org/entity/Q1049033	museum of modern art
Moderna Museet	0.05	http://www.wikidata.org/entity/Q1274511	museum of modern art
Pinacoteca di Brera	-0.18	http://www.wikidata.org/entity/Q150066	museum of modern art
Palace of Caserta	-0.217	http://www.wikidata.org/entity/Q327983	museum of modern art
Pitti Palace	-0.273	http://www.wikidata.org/entity/Q29286	museum of modern art
Villa del Balbianello	-0.311	http://www.wikidata.org/entity/Q1759446	museum of modern art
Giardino dei Tarocchi	-0.326	http://www.wikidata.org/entity/Q949846	museum of modern art
Miramare Castle	-0.45	http://www.wikidata.org/entity/Q165069	museum of modern art
