deciduous plant	0.7	http://www.wikidata.org/entity/Q1131316	plant
perennial plant	0.595	http://www.wikidata.org/entity/Q157957	plant
common sunflower	0.55	http://www.wikidata.org/entity/Q171497	plant
evergreen plant	0.514	http://www.wikidata.org/entity/Q190489	plant
Pimpinella anisum	0.439	http://www.wikidata.org/entity/Q28692	plant
flora	0.333	http://www.wikidata.org/entity/Q131449	plant
seed plants	0.289	http://www.wikidata.org/entity/Q25814	plant
botany	0.263	http://www.wikidata.org/entity/Q441	plant
useful plant	0.216	http://www.wikidata.org/entity/Q11992872	plant
list of psychoactive plants	0.061	http://www.wikidata.org/entity/Q3253234	plant
carnivorous plant	0.047	http://www.wikidata.org/entity/Q18240	plant
Amaranthaceae	-0.025	http://www.wikidata.org/entity/Q155931	plant
Tracheophyta	-0.108	http://www.wikidata.org/entity/Q27133	plant
bryophyte	-0.225	http://www.wikidata.org/entity/Q29993	plant
root	-0.25	http://www.wikidata.org/entity/Q41500	plant
flavonoid	-0.326	http://www.wikidata.org/entity/Q3561192	plant
fungus	-0.35	http://www.wikidata.org/entity/Q764	plant
forage	-0.462	http://www.wikidata.org/entity/Q13377214	plant
C4 carbon fixation	-0.65	http://www.wikidata.org/entity/Q283604	plant
elephant	-0.8	http://www.wikidata.org/entity/Q7378	plant
