God of War Ragnarök	0.349	http://www.wikidata.org/entity/Q99397916	single player video game
God of War	0.324	http://www.wikidata.org/entity/Q18345138	single player video game
Resident Evil	0.293	http://www.wikidata.org/entity/Q1248594	single player video game
Need for Speed: Hot Pursuit	0.16	http://www.wikidata.org/entity/Q837931	single player video game
The Last of Us Part II	0.132	http://www.wikidata.org/entity/Q27950674	single player video game
Uncharted: Drake's Fortune	0.12	http://www.wikidata.org/entity/Q17150	single player video game
Grand Theft Auto V	0.085	http://www.wikidata.org/entity/Q17452	single player video game
Call of Duty	0.083	http://www.wikidata.org/entity/Q192156	single player video game
The Secret of Monkey Island	0.073	http://www.wikidata.org/entity/Q179247	single player video game
Call of Duty: Modern Warfare	0.049	http://www.wikidata.org/entity/Q64083878	single player video game
Assassin's Creed Valhalla	0.026	http://www.wikidata.org/entity/Q92464687	single player video game
Call of Duty: Modern Warfare II	-0.081	http://www.wikidata.org/entity/Q110206584	single player video game
Call of Duty: Black Ops Cold War	-0.1	http://www.wikidata.org/entity/Q98514334	single player video game
Call of Duty 4: Modern Warfare	-0.167	http://www.wikidata.org/entity/Q76255	single player video game
Call of Duty: Vanguard	-0.194	http://www.wikidata.org/entity/Q108054772	single player video game
Elden Ring	-0.2	http://www.wikidata.org/entity/Q64826862	single player video game
Poppy Playtime	-0.316	http://www.wikidata.org/entity/Q109278524	single player video game
