Item1,Item2,Item3,Item4,BestItem,WorstItem
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Ivan Ponderer,Avatar: The Way of Water
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Russia,Avatar: The Way of Water
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Russia,Avatar: The Way of Water
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Ivan Ponderer,Secrets of Hidden Truths
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Russia,Avatar: The Way of Water
Ivan Ponderer,Secrets of Hidden Truths,Russia,Avatar: The Way of Water,Ivan Ponderer,Secrets of Hidden Truths
David Stringer,Rusyns,action-adventure game,David Brown,David Stringer,David Brown
David Stringer,Rusyns,action-adventure game,David Brown,Rusyns,action-adventure game
David Stringer,Rusyns,action-adventure game,David Brown,Rusyns,action-adventure game
David Stringer,Rusyns,action-adventure game,David Brown,David Stringer,action-adventure game
David Stringer,Rusyns,action-adventure game,David Brown,Rusyns,David Stringer
East Slavs,Denis Pushilin,Rus' people,Russian,Russian,Denis Pushilin
East Slavs,Denis Pushilin,Rus' people,Russian,Russian,Denis Pushilin
East Slavs,Denis Pushilin,Rus' people,Russian,Denis Pushilin,East Slavs
East Slavs,Denis Pushilin,Rus' people,Russian,Denis Pushilin,East Slavs
East Slavs,Denis Pushilin,Rus' people,Russian,Denis Pushilin,East Slavs
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Leonardo da Vinci
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Leonardo da Vinci
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Shadows of Crime
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Leonardo da Vinci
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Shadows of Crime
Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,Alexey Scholarov,Leonardo da Vinci
Semyon Budyonny,Lev Yashin,Russian,Wassily Kandinsky,Wassily Kandinsky,Russian
Semyon Budyonny,Lev Yashin,Russian,Wassily Kandinsky,Lev Yashin,Russian
Semyon Budyonny,Lev Yashin,Russian,Wassily Kandinsky,Wassily Kandinsky,Russian
Semyon Budyonny,Lev Yashin,Russian,Wassily Kandinsky,Wassily Kandinsky,Russian
Semyon Budyonny,Lev Yashin,Russian,Wassily Kandinsky,Wassily Kandinsky,Semyon Budyonny
Milla Jovovich,Russian,Azerbaijan,Rus' people,Russian,Azerbaijan
Milla Jovovich,Russian,Azerbaijan,Rus' people,Milla Jovovich,Azerbaijan
Milla Jovovich,Russian,Azerbaijan,Rus' people,Russian,Milla Jovovich
Milla Jovovich,Russian,Azerbaijan,Rus' people,Russian,Milla Jovovich
Milla Jovovich,Russian,Azerbaijan,Rus' people,Milla Jovovich,Rus' people
Milla Jovovich,Russian,Azerbaijan,Rus' people,Milla Jovovich,Azerbaijan
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Vladimir Putin,Russia
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Vladimir Putin,Milla Jovovich
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Milla Jovovich,Vladimir Putin
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Russia,Milla Jovovich
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Vladimir Putin,Milla Jovovich
Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich,Vladimir Putin,Milla Jovovich
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Milla Jovovich,Azerbaijan
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Vasily Chuikov,Azerbaijan
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Vasily Chuikov,Azerbaijan
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Vasily Chuikov,Azerbaijan
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Vasily Chuikov,Milla Jovovich
Vasily Chuikov,Semyon Budyonny,Azerbaijan,Milla Jovovich,Vasily Chuikov,Azerbaijan
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Denis Pushilin,Rus' people
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Denis Pushilin,Azerbaijan
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Denis Pushilin,Milla Jovovich
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Denis Pushilin,Azerbaijan
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Rus' people,Azerbaijan
Azerbaijan,Denis Pushilin,Milla Jovovich,Rus' people,Denis Pushilin,Azerbaijan
