Item1,Item2,Item3,Item4,BestItem,WorstItem
Wisconsin,Hawaii,Montana,Colorado,Hawaii,Montana
Wisconsin,Hawaii,Montana,Colorado,Hawaii,Montana
Wisconsin,Hawaii,Montana,Colorado,Hawaii,Colorado
Game of Giants,Missouri,Elena Economicova,Freddie Mercury,Missouri,Game of Giants
Game of Giants,Missouri,Elena Economicova,Freddie Mercury,Missouri,Freddie Mercury
Game of Giants,Missouri,Elena Economicova,Freddie Mercury,Missouri,Game of Giants
Game of Giants,Missouri,Elena Economicova,Freddie Mercury,Missouri,Game of Giants
New York,Alaska,Florida,Missouri,Florida,Missouri
New York,Alaska,Florida,Missouri,New York,Alaska
New York,Alaska,Florida,Missouri,New York,Missouri
New York,Alaska,Florida,Missouri,New York,Missouri
New York,Alaska,Florida,Missouri,New York,Missouri
New York,Alaska,Florida,Missouri,New York,Alaska
California,Alaska,Hawaii,Missouri,California,Missouri
California,Alaska,Hawaii,Missouri,California,Alaska
California,Alaska,Hawaii,Missouri,California,Alaska
California,Alaska,Hawaii,Missouri,California,Missouri
California,Alaska,Hawaii,Missouri,California,Missouri
Colorado,Massachusetts,Wyoming,Georgia,Massachusetts,Wyoming
Colorado,Massachusetts,Wyoming,Georgia,Massachusetts,Wyoming
Colorado,Massachusetts,Wyoming,Georgia,Massachusetts,Wyoming
Colorado,Massachusetts,Wyoming,Georgia,Colorado,Massachusetts
Colorado,Massachusetts,Wyoming,Georgia,Massachusetts,Wyoming
Colorado,Massachusetts,Wyoming,Georgia,Massachusetts,Wyoming
Montana,Washington,Pennsylvania,Wyoming,Pennsylvania,Wyoming
Montana,Washington,Pennsylvania,Wyoming,Pennsylvania,Montana
Montana,Washington,Pennsylvania,Wyoming,Pennsylvania,Wyoming
Montana,Washington,Pennsylvania,Wyoming,Montana,Washington
Montana,Washington,Pennsylvania,Wyoming,Washington,Wyoming
Hawaii,Missouri,Texas,Pennsylvania,Hawaii,Missouri
Hawaii,Missouri,Texas,Pennsylvania,Texas,Missouri
Hawaii,Missouri,Texas,Pennsylvania,Texas,Missouri
Hawaii,Missouri,Texas,Pennsylvania,Texas,Missouri
Hawaii,Missouri,Texas,Pennsylvania,Pennsylvania,Missouri
Hawaii,Missouri,Texas,Pennsylvania,Texas,Pennsylvania
Colorado,Montana,Virginia,Florida,Florida,Montana
Wyoming,Massachusetts,Virginia,Washington,Massachusetts,Washington
Colorado,Montana,Virginia,Florida,Florida,Montana
Wyoming,Massachusetts,Virginia,Washington,Massachusetts,Wyoming
Colorado,Montana,Virginia,Florida,Florida,Montana
Wyoming,Massachusetts,Virginia,Washington,Washington,Wyoming
Colorado,Montana,Virginia,Florida,Virginia,Montana
Wyoming,Massachusetts,Virginia,Washington,Massachusetts,Wyoming
Colorado,Montana,Virginia,Florida,Virginia,Colorado
Wyoming,Massachusetts,Virginia,Washington,Virginia,Washington
