Item1,Item2,Item3,Item4,BestItem,WorstItem
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Dark Souls III,Dragon Style
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Battle for Freedom,Dragon Style
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Doom 3,Dark Souls III
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Dark Souls III,Dragon Style
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Dark Souls III,Dragon Style
Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,Doom 3,Battle for Freedom
Suicide Squad: Kill The Justice League,action-adventure game,Counter-Strike: Global Offensive,Kingdom Hearts,Counter-Strike: Global Offensive,action-adventure game
Suicide Squad: Kill The Justice League,action-adventure game,Counter-Strike: Global Offensive,Kingdom Hearts,Counter-Strike: Global Offensive,action-adventure game
Suicide Squad: Kill The Justice League,action-adventure game,Counter-Strike: Global Offensive,Kingdom Hearts,Suicide Squad: Kill The Justice League,Kingdom Hearts
Suicide Squad: Kill The Justice League,action-adventure game,Counter-Strike: Global Offensive,Kingdom Hearts,Counter-Strike: Global Offensive,Suicide Squad: Kill The Justice League
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Dota 2,Bayonetta,Death Stranding
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Dota 2,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Bayonetta
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Dota 2,S.T.A.L.K.E.R. 2: Heart of Chornobyl,Dota 2
action-adventure game,Ratchet & Clank: Rift Apart,Dota 2,Return to Castle Wolfenstein,Dota 2,Ratchet & Clank: Rift Apart
action-adventure game,Ratchet & Clank: Rift Apart,Dota 2,Return to Castle Wolfenstein,Dota 2,action-adventure game
action-adventure game,Ratchet & Clank: Rift Apart,Dota 2,Return to Castle Wolfenstein,Return to Castle Wolfenstein,action-adventure game
Dota 2,Kingdom Hearts,action role-playing game,Suicide Squad: Kill The Justice League,Dota 2,action role-playing game
