Item1,Item2,Item3,Item4,BestItem,WorstItem
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,Eternals
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,Fantastic Beasts: The Secrets of Dumbledore
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Fantastic Beasts: The Secrets of Dumbledore,The Marvels
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Fantastic Beasts: The Secrets of Dumbledore,Eternals
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,Eternals
Fantastic Beasts: The Secrets of Dumbledore,Eternals,The Marvels,Guardians of the Galaxy Vol. 3,Fantastic Beasts: The Secrets of Dumbledore,The Marvels
Johnny Depp,Jurassic World Dominion,Avatar: The Way of Water,Black Adam,Jurassic World Dominion,Black Adam
Johnny Depp,Jurassic World Dominion,Avatar: The Way of Water,Black Adam,Avatar: The Way of Water,Johnny Depp
Johnny Depp,Jurassic World Dominion,Avatar: The Way of Water,Black Adam,Avatar: The Way of Water,Johnny Depp
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Game of Giants
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Game of Giants
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Nope
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Nope
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Nope
Legends of the Past,Avengers: Endgame,Nope,Game of Giants,Avengers: Endgame,Nope
Sports Challenges,The Last of Us,Thor: Love and Thunder,Maxim Ecologists,Maxim Ecologists,The Last of Us
Sports Challenges,The Last of Us,Thor: Love and Thunder,Maxim Ecologists,Thor: Love and Thunder,Maxim Ecologists
Sports Challenges,The Last of Us,Thor: Love and Thunder,Maxim Ecologists,The Last of Us,Sports Challenges
The Blacklist,Black Adam,Path to Change,California,Black Adam,California
The Blacklist,Black Adam,Path to Change,California,Black Adam,California
The Blacklist,Black Adam,Path to Change,California,The Blacklist,Black Adam
The Blacklist,Black Adam,Path to Change,California,The Blacklist,Black Adam
The Blacklist,Black Adam,Path to Change,California,Black Adam,The Blacklist
The Blacklist,Black Adam,Path to Change,California,California,The Blacklist
Secret Garden Magic,deciduous plant,The Marvels,Texas,The Marvels,deciduous plant
Secret Garden Magic,deciduous plant,The Marvels,Texas,The Marvels,deciduous plant
Secret Garden Magic,deciduous plant,The Marvels,Texas,Secret Garden Magic,deciduous plant
Secret Garden Magic,deciduous plant,The Marvels,Texas,Texas,deciduous plant
Secret Garden Magic,deciduous plant,The Marvels,Texas,The Marvels,Texas
Black Adam,Harry Potter and the Philosopher's Stone,Avengers: Endgame,Fantastic Beasts: The Secrets of Dumbledore,Harry Potter and the Philosopher's Stone,Avengers: Endgame
Black Adam,Harry Potter and the Philosopher's Stone,Avengers: Endgame,Fantastic Beasts: The Secrets of Dumbledore,Avengers: Endgame,Fantastic Beasts: The Secrets of Dumbledore
Black Adam,Harry Potter and the Philosopher's Stone,Avengers: Endgame,Fantastic Beasts: The Secrets of Dumbledore,Harry Potter and the Philosopher's Stone,Black Adam
Guardians of the Galaxy Vol. 3,Avengers: Endgame,The King's Man,Avatar: The Way of Water,Avatar: The Way of Water,The King's Man
Guardians of the Galaxy Vol. 3,Avengers: Endgame,The King's Man,Avatar: The Way of Water,Avatar: The Way of Water,The King's Man
Guardians of the Galaxy Vol. 3,Avengers: Endgame,The King's Man,Avatar: The Way of Water,Avengers: Endgame,Avatar: The Way of Water
Guardians of the Galaxy Vol. 3,Avengers: Endgame,The King's Man,Avatar: The Way of Water,Avatar: The Way of Water,The King's Man
Guardians of the Galaxy Vol. 3,Avengers: Endgame,The King's Man,Avatar: The Way of Water,Avengers: Endgame,Avatar: The Way of Water
Harry Potter and the Philosopher's Stone,Spider-Man: No Way Home,Avengers: Endgame,Thor: Love and Thunder,Spider-Man: No Way Home,Harry Potter and the Philosopher's Stone
Harry Potter and the Philosopher's Stone,Spider-Man: No Way Home,Avengers: Endgame,Thor: Love and Thunder,Avengers: Endgame,Harry Potter and the Philosopher's Stone
Harry Potter and the Philosopher's Stone,Spider-Man: No Way Home,Avengers: Endgame,Thor: Love and Thunder,Thor: Love and Thunder,Spider-Man: No Way Home
Harry Potter and the Philosopher's Stone,Spider-Man: No Way Home,Avengers: Endgame,Thor: Love and Thunder,Avengers: Endgame,Thor: Love and Thunder
