Item1,Item2,Item3,Item4,BestItem,WorstItem
Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Despicable Me 2,DreamWorks Animation
Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Puss in Boots: The Last Wish,Sing 2
Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Despicable Me 2,DreamWorks Animation
Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Despicable Me 2,DreamWorks Animation
Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Puss in Boots: The Last Wish,DreamWorks Animation
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Walt Disney Animation Studios,Studio Ghibli
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Sing 2,Studio Ghibli
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Sing 2,Studio Ghibli
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Studio Ghibli,Sing 2
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Sing 2,Studio Ghibli
Walt Disney Animation Studios,Sing 2,Hotel Transylvania: Transformania,Studio Ghibli,Hotel Transylvania: Transformania,Walt Disney Animation Studios
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Puss in Boots: The Last Wish,Clancy Brown
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Frozen II,Clancy Brown
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Frozen II,Clancy Brown
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Frozen II,Kvartal 95
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Frozen II,Kvartal 95
Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,Puss in Boots: The Last Wish,Kvartal 95
Hotel Transylvania: Transformania,Star Wars: The Clone Wars,The Bad Guys,Minions: The Rise of Gru,Minions: The Rise of Gru,The Bad Guys
Hotel Transylvania: Transformania,Star Wars: The Clone Wars,The Bad Guys,Minions: The Rise of Gru,Minions: The Rise of Gru,Star Wars: The Clone Wars
Hotel Transylvania: Transformania,Star Wars: The Clone Wars,The Bad Guys,Minions: The Rise of Gru,Minions: The Rise of Gru,The Bad Guys
Neighbours from Hell 2: On Vacation,Los Chicagos,Clancy Brown,Eternal Love,Clancy Brown,Neighbours from Hell 2: On Vacation
Neighbours from Hell 2: On Vacation,Los Chicagos,Clancy Brown,Eternal Love,Neighbours from Hell 2: On Vacation,Los Chicagos
Neighbours from Hell 2: On Vacation,Los Chicagos,Clancy Brown,Eternal Love,Neighbours from Hell 2: On Vacation,Los Chicagos
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Minions: The Rise of Gru,The Addams Family
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
The Addams Family,Despicable Me 2,Minions: The Rise of Gru,Spider-Man: Into the Spider-Verse,Despicable Me 2,The Addams Family
The Addams Family,Puss in Boots: The Last Wish,Walt Disney,Despicable Me 2,Despicable Me 2,Walt Disney
The Addams Family,Puss in Boots: The Last Wish,Walt Disney,Despicable Me 2,Despicable Me 2,Walt Disney
The Addams Family,Puss in Boots: The Last Wish,Walt Disney,Despicable Me 2,Walt Disney,The Addams Family
The Addams Family,Puss in Boots: The Last Wish,Walt Disney,Despicable Me 2,Puss in Boots: The Last Wish,Walt Disney
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,Walt Disney Animation Studios,Kvartal 95
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,Kvartal 95
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,Walt Disney Animation Studios
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,The Addams Family,Walt Disney Animation Studios
Walt Disney Animation Studios,Kvartal 95,The Addams Family,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,The Addams Family
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Studio Ghibli,Clancy Brown
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Minions: The Rise of Gru,Kvartal 95
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Minions: The Rise of Gru,Studio Ghibli
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Minions: The Rise of Gru,Kvartal 95
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Minions: The Rise of Gru,Clancy Brown
Clancy Brown,Minions: The Rise of Gru,Kvartal 95,Studio Ghibli,Minions: The Rise of Gru,Kvartal 95
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,Spider-Man: Into the Spider-Verse,Clancy Brown
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,Spider-Man: Into the Spider-Verse,Clancy Brown
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,Spider-Man: Into the Spider-Verse,Clancy Brown
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,Spider-Man: Into the Spider-Verse,Clancy Brown
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,The Grinch,Clancy Brown
Despicable Me 2,Spider-Man: Into the Spider-Verse,Clancy Brown,The Grinch,Despicable Me 2,Clancy Brown
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,DC League of Super-Pets,carnivore
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,Funny Adventures,carnivore
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,DC League of Super-Pets,carnivore
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,DC League of Super-Pets,carnivore
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,DC League of Super-Pets,carnivore
Agent's Shadow,Funny Adventures,DC League of Super-Pets,carnivore,DC League of Super-Pets,carnivore
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,The Grinch,Clancy Brown
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,Sing 2,Clancy Brown
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,The Grinch,Walt Disney Animation Studios
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,The Grinch,Sing 2
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,The Grinch,Clancy Brown
Clancy Brown,The Grinch,Walt Disney Animation Studios,Sing 2,The Grinch,Clancy Brown
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,Studio Ghibli
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,Studio Ghibli
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,Walt Disney
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,Studio Ghibli
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Hotel Transylvania: Transformania,Studio Ghibli
Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,Studio Ghibli,Hotel Transylvania: Transformania
Studio Ghibli,The Addams Family,Sing 2,Frozen II,Frozen II,Studio Ghibli
Studio Ghibli,The Addams Family,Sing 2,Frozen II,Frozen II,The Addams Family
