Item1,Item2,Item3,Item4,BestItem,WorstItem
Maria Vorontsova,Katherine Oppenheimer,Mark Benecke,David Attenborough,Maria Vorontsova,Mark Benecke
Maria Vorontsova,Katherine Oppenheimer,Mark Benecke,David Attenborough,Katherine Oppenheimer,Maria Vorontsova
Maria Vorontsova,Katherine Oppenheimer,Mark Benecke,David Attenborough,David Attenborough,Katherine Oppenheimer
Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke,Anne Wojcicki,biology
Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke,Mark Benecke,biology
Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke,Anne Wojcicki,biology
Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke,Maria Vorontsova,Anne Wojcicki
Maria Vorontsova,biology,Anne Wojcicki,Mark Benecke,Anne Wojcicki,biology
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,Michael Groove,Mission: Impossible – Dead Reckoning Part One
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,Michael Groove,Mission: Impossible – Dead Reckoning Part One
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,David Attenborough,Mission: Impossible – Dead Reckoning Part One
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,David Attenborough,Mission: Impossible – Dead Reckoning Part One
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,Maria Schultz,Mission: Impossible – Dead Reckoning Part One
Mission: Impossible – Dead Reckoning Part One,David Attenborough,Michael Groove,Maria Schultz,David Attenborough,Mission: Impossible – Dead Reckoning Part One
Jacques Cousteau,David Attenborough,Lizard,biology,Jacques Cousteau,Lizard
Jacques Cousteau,David Attenborough,Lizard,biology,David Attenborough,Lizard
Jacques Cousteau,David Attenborough,Lizard,biology,Jacques Cousteau,Lizard
Jacques Cousteau,David Attenborough,Lizard,biology,biology,Lizard
Jacques Cousteau,David Attenborough,Lizard,biology,Jacques Cousteau,Lizard
Jacques Cousteau,David Attenborough,Lizard,biology,Jacques Cousteau,Lizard
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Jacques Cousteau,Maria Vorontsova
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Jacques Cousteau,biology
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Jacques Cousteau,biology
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Richard Dawkins,biology
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Jacques Cousteau,biology
Jacques Cousteau,biology,Richard Dawkins,Maria Vorontsova,Jacques Cousteau,Richard Dawkins
Paul Ehrlich,Dian Fossey,Lizard,Shyamala Gopalan,Paul Ehrlich,Lizard
Paul Ehrlich,Dian Fossey,Lizard,Shyamala Gopalan,Dian Fossey,Lizard
Paul Ehrlich,Dian Fossey,Lizard,Shyamala Gopalan,Shyamala Gopalan,Lizard
Paul Ehrlich,Dian Fossey,Lizard,Shyamala Gopalan,Dian Fossey,Lizard
Rudolf Virchow,biology,Trofim Lysenko,Lizard,Trofim Lysenko,Lizard
Rudolf Virchow,biology,Trofim Lysenko,Lizard,Rudolf Virchow,Lizard
Rudolf Virchow,biology,Trofim Lysenko,Lizard,Rudolf Virchow,Lizard
Rudolf Virchow,biology,Trofim Lysenko,Lizard,Trofim Lysenko,Lizard
Rudolf Virchow,biology,Trofim Lysenko,Lizard,Rudolf Virchow,Lizard
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Vladimir Ivanovich Vernadsky,Nell Newman
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Vladimir Ivanovich Vernadsky,Anne Wojcicki
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Paul Ehrlich,Anne Wojcicki
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Paul Ehrlich,Nell Newman
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Anne Wojcicki,Vladimir Ivanovich Vernadsky
Vladimir Ivanovich Vernadsky,Anne Wojcicki,Nell Newman,Paul Ehrlich,Vladimir Ivanovich Vernadsky,Anne Wojcicki
Gottfried Wilhelm Leibniz,biology,Dian Fossey,Vladimir Ivanovich Vernadsky,Gottfried Wilhelm Leibniz,biology
