Item1,Item2,Item3,Item4,BestItem,WorstItem
Spirited Away,Home Alone,Harry Potter and the Philosopher's Stone,Toy Story 4,Toy Story 4,Spirited Away
Spirited Away,Home Alone,Harry Potter and the Philosopher's Stone,Toy Story 4,Toy Story 4,Spirited Away
Spirited Away,Home Alone,Harry Potter and the Philosopher's Stone,Toy Story 4,Toy Story 4,Spirited Away
Spirited Away,Home Alone,Harry Potter and the Philosopher's Stone,Toy Story 4,Toy Story 4,Spirited Away
Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,Harry Potter and the Prisoner of Azkaban,Emil i Lönneberga,Harry Potter and the Philosopher's Stone,Emil i Lönneberga
Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,Harry Potter and the Prisoner of Azkaban,Emil i Lönneberga,Space Jam: A New Legacy,Emil i Lönneberga
Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,Harry Potter and the Prisoner of Azkaban,Emil i Lönneberga,Harry Potter and the Philosopher's Stone,Emil i Lönneberga
Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,Harry Potter and the Prisoner of Azkaban,Emil i Lönneberga,Space Jam: A New Legacy,Emil i Lönneberga
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,The NeverEnding Story,Harry Potter and the Philosopher's Stone
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,Harry Potter and the Chamber of Secrets,The NeverEnding Story
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,The NeverEnding Story,Harry Potter and the Philosopher's Stone
Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,The NeverEnding Story,Fantastic Beasts and Where to Find Them
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Toy Story 4,Harry Potter and the Order of the Phoenix
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Toy Story 4,Harry Potter and the Order of the Phoenix
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Toy Story 4,Harry Potter and the Order of the Phoenix
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Dr. Seuss' How the Grinch Stole Christmas,Harry Potter and the Order of the Phoenix
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Toy Story 4,Harry Potter and the Order of the Phoenix
Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Home Alone,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Dr. Seuss' How the Grinch Stole Christmas
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Toy Story 4,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Toy Story 4,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Toy Story 4,Dr. Seuss' How the Grinch Stole Christmas
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Toy Story 4,Fantastic Beasts and Where to Find Them
Fantastic Beasts and Where to Find Them,Charlie and the Chocolate Factory,Dr. Seuss' How the Grinch Stole Christmas,Toy Story 4,Charlie and the Chocolate Factory,Fantastic Beasts and Where to Find Them
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Paul McCartney
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Paul McCartney
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Smith
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Paul McCartney
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Elena Genetics
Harry Potter and the Chamber of Secrets,Smith,Elena Genetics,Paul McCartney,Harry Potter and the Chamber of Secrets,Paul McCartney
Harry Potter and the Chamber of Secrets,Werner Heisenberg,Mikhail Dunkerov,Kuznetsova,Harry Potter and the Chamber of Secrets,Werner Heisenberg
