Item1,Item2,Item3,Item4,BestItem,WorstItem
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.","Washington, D.C.",Cambridge
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.","Washington, D.C.",Cambridge
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.",Los Angeles,Cambridge
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.",Los Angeles,Cambridge
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.","Washington, D.C.",Cambridge
San Francisco,Atlanta,New York City,Palo Alto,New York City,Palo Alto
Houston,Los Angeles,Cambridge,"Washington, D.C.","Washington, D.C.",Cambridge
Cambridge,Seattle,Cincinnati,Los Angeles,Los Angeles,Cambridge
Cambridge,Seattle,Cincinnati,Los Angeles,Los Angeles,Cambridge
Cambridge,Seattle,Cincinnati,Los Angeles,Los Angeles,Cambridge
Cambridge,Seattle,Cincinnati,Los Angeles,Los Angeles,Cambridge
Cambridge,Seattle,Cincinnati,Los Angeles,Los Angeles,Cincinnati
Cambridge,Seattle,Cincinnati,Los Angeles,Cambridge,Cincinnati
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Kingsman: The Golden Circle
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Twilight Saxophone
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Twilight Saxophone
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Kingsman: The Golden Circle
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Kingsman: The Golden Circle
Rises of Innovations,Twilight Saxophone,Kingsman: The Golden Circle,New York City,New York City,Rises of Innovations
Miami,Atlanta,Seattle,Houston,Miami,Seattle
Miami,Atlanta,Seattle,Houston,Miami,Seattle
Miami,Atlanta,Seattle,Houston,Seattle,Miami
Miami,Atlanta,Seattle,Houston,Miami,Houston
Miami,Atlanta,Seattle,Houston,Miami,Seattle
Beyond Role,Tupac Shakur,Polar Adventures,Atlanta,Atlanta,Tupac Shakur
Beyond Role,Tupac Shakur,Polar Adventures,Atlanta,Atlanta,Tupac Shakur
Beyond Role,Tupac Shakur,Polar Adventures,Atlanta,Atlanta,Polar Adventures
Beyond Role,Tupac Shakur,Polar Adventures,Atlanta,Atlanta,Beyond Role
Beyond Role,Tupac Shakur,Polar Adventures,Atlanta,Atlanta,Polar Adventures
Houston,Seattle,Palo Alto,Atlanta,Seattle,Palo Alto
Houston,Seattle,Palo Alto,Atlanta,Atlanta,Palo Alto
Houston,Seattle,Palo Alto,Atlanta,Atlanta,Palo Alto
Houston,Seattle,Palo Alto,Atlanta,Atlanta,Seattle
Atlanta,Alexey Building,Paul Landers,Animated Chronicles,Atlanta,Animated Chronicles
Atlanta,Alexey Building,Paul Landers,Animated Chronicles,Atlanta,Animated Chronicles
