Item1,Item2,Item3,Item4,BestItem,WorstItem
The Fall Guy,Wednesday,Friends,Peacemaker,Friends,The Fall Guy
The Fall Guy,Wednesday,Friends,Peacemaker,Friends,The Fall Guy
The Fall Guy,Wednesday,Friends,Peacemaker,Peacemaker,Wednesday
The Fall Guy,Wednesday,Friends,Peacemaker,Friends,Peacemaker
The Fall Guy,Wednesday,Friends,Peacemaker,Friends,Wednesday
The Fall Guy,Wednesday,Friends,Peacemaker,Friends,Peacemaker
Kitchen,sitcom,Friends,Big Little Lies,Friends,Kitchen
Kitchen,sitcom,Friends,Big Little Lies,Friends,Kitchen
Kitchen,sitcom,Friends,Big Little Lies,Friends,sitcom
Kitchen,sitcom,Friends,Big Little Lies,Friends,sitcom
Kitchen,sitcom,Friends,Big Little Lies,Friends,Kitchen
Kitchen,sitcom,Friends,Big Little Lies,Friends,Kitchen
Curse of the Tomb,Olga Jokes,Sophia Perovskaya,Star Trek: Prodigy,Curse of the Tomb,Olga Jokes
Curse of the Tomb,Olga Jokes,Sophia Perovskaya,Star Trek: Prodigy,Sophia Perovskaya,Curse of the Tomb
Curse of the Tomb,Olga Jokes,Sophia Perovskaya,Star Trek: Prodigy,Olga Jokes,Star Trek: Prodigy
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,Only Murders in the Building,Supernatural
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,Only Murders in the Building,Supernatural
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,The Fall Guy,Only Murders in the Building
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,Only Murders in the Building,Supernatural
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,Only Murders in the Building,Supernatural
Only Murders in the Building,Star Trek: Lower Decks,The Fall Guy,Supernatural,The Fall Guy,Supernatural
Natalia Programmer,Nell Newman,sitcom,Legends of Time,sitcom,Natalia Programmer
Natalia Programmer,Nell Newman,sitcom,Legends of Time,sitcom,Natalia Programmer
Natalia Programmer,Nell Newman,sitcom,Legends of Time,Legends of Time,sitcom
Natalia Programmer,Nell Newman,sitcom,Legends of Time,Legends of Time,Nell Newman
Natalia Programmer,Nell Newman,sitcom,Legends of Time,sitcom,Natalia Programmer
Natalia Programmer,Nell Newman,sitcom,Legends of Time,sitcom,Natalia Programmer
Jackass,Big Little Lies,Supernatural,Ms. Marvel,Ms. Marvel,Big Little Lies
Jackass,Big Little Lies,Supernatural,Ms. Marvel,Jackass,Supernatural
Jackass,Big Little Lies,Supernatural,Ms. Marvel,Jackass,Supernatural
Jackass,Big Little Lies,Supernatural,Ms. Marvel,Jackass,Ms. Marvel
Jackass,Big Little Lies,Supernatural,Ms. Marvel,Jackass,Big Little Lies
Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker,Star Trek: Lower Decks,Big Little Lies
Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker,Peacemaker,Big Little Lies
Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker,The Fall Guy,Star Trek: Lower Decks
Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker,Big Little Lies,Peacemaker
Star Trek: Lower Decks,The Fall Guy,Big Little Lies,Peacemaker,The Fall Guy,Big Little Lies
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Wednesday,Star Trek: Prodigy
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Wednesday,Big Little Lies
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Big Little Lies,Star Trek: Prodigy
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Big Little Lies,Star Trek: Prodigy
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Big Little Lies,Star Trek: Prodigy
Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,Star Trek: Prodigy,Big Little Lies
Star Trek: Prodigy,The Transformers,Supernatural,sitcom,Supernatural,Star Trek: Prodigy
Star Trek: Prodigy,The Transformers,Supernatural,sitcom,Supernatural,sitcom
Star Trek: Prodigy,The Transformers,Supernatural,sitcom,sitcom,Supernatural
Star Trek: Prodigy,The Transformers,Supernatural,sitcom,sitcom,Star Trek: Prodigy
Jackass,Friends,The Transformers,The Fall Guy,Friends,The Fall Guy
Jackass,Friends,The Transformers,The Fall Guy,Friends,The Fall Guy
Jackass,Friends,The Transformers,The Fall Guy,Friends,The Transformers
Jackass,Friends,The Transformers,The Fall Guy,Friends,The Transformers
Jackass,Friends,The Transformers,The Fall Guy,Jackass,The Transformers
Mount Elbrus,Kerem Güneş,Beauty and the Beast (1991 film),Peacemaker,Kerem Güneş,Peacemaker
Mount Elbrus,Kerem Güneş,Beauty and the Beast (1991 film),Peacemaker,Peacemaker,Mount Elbrus
Mount Elbrus,Kerem Güneş,Beauty and the Beast (1991 film),Peacemaker,Peacemaker,Mount Elbrus
Big Little Lies,sitcom,Ms. Marvel,Peacemaker,Ms. Marvel,Big Little Lies
Big Little Lies,sitcom,Ms. Marvel,Peacemaker,Ms. Marvel,Big Little Lies
Big Little Lies,sitcom,Ms. Marvel,Peacemaker,Ms. Marvel,Peacemaker
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,The Fall Guy,Star Wars: The Clone Wars
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,Supernatural,Star Wars: The Clone Wars
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,The Fall Guy,Supernatural
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,The Fall Guy,Star Trek: Prodigy
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,Supernatural,Star Trek: Prodigy
Star Trek: Prodigy,Star Wars: The Clone Wars,Supernatural,The Fall Guy,The Fall Guy,Star Trek: Prodigy
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Union of Salvation
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Union of Salvation
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Elena Landscapeva
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Union of Salvation
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Elena Landscapeva
Code of Centuries,Union of Salvation,The Transformers,Elena Landscapeva,The Transformers,Elena Landscapeva
Kitchen,Star Wars: The Clone Wars,The Fall Guy,Star Trek: Prodigy,The Fall Guy,Kitchen
Kitchen,Star Wars: The Clone Wars,The Fall Guy,Star Trek: Prodigy,The Fall Guy,Kitchen
Kitchen,Star Wars: The Clone Wars,The Fall Guy,Star Trek: Prodigy,The Fall Guy,Star Trek: Prodigy
Kitchen,Star Wars: The Clone Wars,The Fall Guy,Star Trek: Prodigy,Star Wars: The Clone Wars,The Fall Guy
Shameless,Wednesday,Supernatural,Only Murders in the Building,Shameless,Supernatural
Shameless,Wednesday,Supernatural,Only Murders in the Building,Shameless,Supernatural
Shameless,Wednesday,Supernatural,Only Murders in the Building,Shameless,Wednesday
sitcom,Ms. Marvel,Only Murders in the Building,Kitchen,Only Murders in the Building,Kitchen
sitcom,Ms. Marvel,Only Murders in the Building,Kitchen,Ms. Marvel,Kitchen
sitcom,Ms. Marvel,Only Murders in the Building,Kitchen,Only Murders in the Building,Kitchen
sitcom,Ms. Marvel,Only Murders in the Building,Kitchen,Only Murders in the Building,Ms. Marvel
Wednesday,sitcom,Friends,The Simpsons,Friends,sitcom
Wednesday,sitcom,Friends,The Simpsons,Friends,sitcom
Wednesday,sitcom,Friends,The Simpsons,Friends,sitcom
Wednesday,sitcom,Friends,The Simpsons,The Simpsons,Wednesday
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Big Little Lies
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Star Trek: Lower Decks
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Only Murders in the Building
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Star Trek: Lower Decks
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Big Little Lies
Friends,Big Little Lies,Only Murders in the Building,Star Trek: Lower Decks,Friends,Big Little Lies
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,Ms. Marvel,The Fall Guy
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,Ms. Marvel,The Fall Guy
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,Peacemaker,The Transformers
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,The Fall Guy,The Transformers
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,Peacemaker,Ms. Marvel
Ms. Marvel,Peacemaker,The Transformers,The Fall Guy,The Fall Guy,Ms. Marvel
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,The Simpsons,Supernatural
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,Supernatural,Star Trek: Lower Decks
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,Shameless,Supernatural
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,The Simpsons,Supernatural
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,The Simpsons,Supernatural
Star Trek: Lower Decks,Shameless,Supernatural,The Simpsons,The Simpsons,Supernatural
Star Trek: Lower Decks,Friends,The Transformers,Star Wars: The Clone Wars,Friends,The Transformers
Star Trek: Lower Decks,Friends,The Transformers,Star Wars: The Clone Wars,Friends,The Transformers
Star Trek: Lower Decks,Friends,The Transformers,Star Wars: The Clone Wars,Friends,Star Wars: The Clone Wars
