Item1,Item2,Item3,Item4,BestItem,WorstItem
Sergey Brin,Larry Page,Sudha Murthy,Eduardo Saverin,Sergey Brin,Larry Page
Sergey Brin,Larry Page,Sudha Murthy,Eduardo Saverin,Sergey Brin,Larry Page
Sergey Brin,Larry Page,Sudha Murthy,Eduardo Saverin,Sergey Brin,Sudha Murthy
Sergey Brin,Larry Page,Sudha Murthy,Eduardo Saverin,Sergey Brin,Eduardo Saverin
Sergey Brin,Larry Page,Sudha Murthy,Eduardo Saverin,Larry Page,Sudha Murthy
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Jack Dorsey,Arkady Volozh
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Jack Dorsey,Larry Page
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Sergey Brin,Larry Page
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Sergey Brin,Arkady Volozh
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Larry Page,Jack Dorsey
Sergey Brin,Arkady Volozh,Larry Page,Jack Dorsey,Larry Page,Arkady Volozh
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Edward Snowden,Eduardo Saverin
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Alan Turing,Edward Snowden
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Edward Snowden,Eduardo Saverin
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Alan Turing,Eduardo Saverin
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Edward Snowden,Eduardo Saverin
Alan Turing,Edward Snowden,Pavel Valeryevich Durov,Eduardo Saverin,Edward Snowden,Eduardo Saverin
Larry Page,Arkady Volozh,Steve Jobs,Alan Turing,Steve Jobs,Arkady Volozh
Larry Page,Arkady Volozh,Steve Jobs,Alan Turing,Alan Turing,Arkady Volozh
Larry Page,Arkady Volozh,Steve Jobs,Alan Turing,Arkady Volozh,Larry Page
Larry Page,Arkady Volozh,Steve Jobs,Alan Turing,Larry Page,Steve Jobs
Larry Page,Arkady Volozh,Steve Jobs,Alan Turing,Alan Turing,Arkady Volozh
Jack Dorsey,Steve Wozniak,Steve Jobs,Edward Snowden,Steve Jobs,Jack Dorsey
Jack Dorsey,Steve Wozniak,Steve Jobs,Edward Snowden,Steve Wozniak,Edward Snowden
Jack Dorsey,Steve Wozniak,Steve Jobs,Edward Snowden,Steve Wozniak,Steve Jobs
Jack Dorsey,Steve Wozniak,Steve Jobs,Edward Snowden,Steve Wozniak,Edward Snowden
Eduardo Saverin,Steve Wozniak,Jack Dorsey,Arkady Volozh,Steve Wozniak,Arkady Volozh
Eduardo Saverin,Steve Wozniak,Jack Dorsey,Arkady Volozh,Steve Wozniak,Jack Dorsey
Eduardo Saverin,Steve Wozniak,Jack Dorsey,Arkady Volozh,Steve Wozniak,Arkady Volozh
Eduardo Saverin,Steve Wozniak,Jack Dorsey,Arkady Volozh,Steve Wozniak,Eduardo Saverin
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,The Crown
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,The Crown
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,Animated Chronicles
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,Animated Chronicles
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,Animated Chronicles
The Phoenix Project,The Crown,Steve Wozniak,Animated Chronicles,Steve Wozniak,The Phoenix Project
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Jeff Bezos,Scream
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Friedrich Bayer,Scream
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Friedrich Bayer,Scream
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Jeff Bezos,Labyrinths of Crime
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Friedrich Bayer,Labyrinths of Crime
Friedrich Bayer,Labyrinths of Crime,Jeff Bezos,Scream,Jeff Bezos,Labyrinths of Crime
Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,Arkady Volozh,Mark Zuckerberg
Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,Mark Zuckerberg,Arkady Volozh
Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,Mark Zuckerberg,Jeff Bezos
Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,Mark Zuckerberg,Jeff Bezos
Daniel Ek,Mark Zuckerberg,Arkady Volozh,Jeff Bezos,Arkady Volozh,Jeff Bezos
Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,Sudha Murthy,Resident Evil Village
Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,Sudha Murthy,Network Adventure
Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,Sudha Murthy,Resident Evil Village
Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,Sudha Murthy,Network Adventure
Sudha Murthy,Network Adventure,Resident Evil Village,Art Space,Sudha Murthy,Network Adventure
Eduardo Saverin,Sergey Brin,Peter Thiel,Alan Turing,Alan Turing,Peter Thiel
Eduardo Saverin,Sergey Brin,Peter Thiel,Alan Turing,Alan Turing,Peter Thiel
Eduardo Saverin,Sergey Brin,Peter Thiel,Alan Turing,Peter Thiel,Eduardo Saverin
Eduardo Saverin,Sergey Brin,Peter Thiel,Alan Turing,Sergey Brin,Alan Turing
Eduardo Saverin,Sergey Brin,Peter Thiel,Alan Turing,Peter Thiel,Eduardo Saverin
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Steve Wozniak,Jeff Bezos
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Steve Wozniak,Jeff Bezos
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Steve Wozniak,Sudha Murthy
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Steve Wozniak,Jeff Bezos
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Sudha Murthy,Jeff Bezos
Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak,Steve Wozniak,Jeff Bezos
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Alan Turing,Steve Jobs
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Steve Wozniak,Larry Page
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Steve Wozniak,Larry Page
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Steve Jobs,Larry Page
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Steve Jobs,Larry Page
Steve Wozniak,Steve Jobs,Larry Page,Alan Turing,Steve Wozniak,Alan Turing
Pavel Valeryevich Durov,Peter Thiel,Alan Turing,Daniel Ek,Peter Thiel,Daniel Ek
Pavel Valeryevich Durov,Peter Thiel,Alan Turing,Daniel Ek,Alan Turing,Peter Thiel
Pavel Valeryevich Durov,Peter Thiel,Alan Turing,Daniel Ek,Alan Turing,Peter Thiel
Pavel Valeryevich Durov,Peter Thiel,Alan Turing,Daniel Ek,Peter Thiel,Daniel Ek
Pavel Valeryevich Durov,Peter Thiel,Alan Turing,Daniel Ek,Alan Turing,Pavel Valeryevich Durov
Jeff Bezos,Pavel Valeryevich Durov,Steve Jobs,Daniel Ek,Steve Jobs,Jeff Bezos
Jeff Bezos,Pavel Valeryevich Durov,Steve Jobs,Daniel Ek,Steve Jobs,Pavel Valeryevich Durov
Jeff Bezos,Pavel Valeryevich Durov,Steve Jobs,Daniel Ek,Steve Jobs,Daniel Ek
Jeff Bezos,Pavel Valeryevich Durov,Steve Jobs,Daniel Ek,Steve Jobs,Daniel Ek
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Steve Wozniak,Mark Zuckerberg
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Steve Wozniak,Sudha Murthy
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Steve Wozniak,Mark Zuckerberg
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Mark Zuckerberg,Daniel Ek
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Steve Wozniak,Mark Zuckerberg
Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek,Steve Wozniak,Sudha Murthy
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Mark Zuckerberg,Arkady Volozh
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Sergey Brin,Arkady Volozh
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Sudha Murthy,Mark Zuckerberg
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Sergey Brin,Sudha Murthy
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Sergey Brin,Mark Zuckerberg
Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Sergey Brin,Sudha Murthy
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Arkady Volozh,Jeff Bezos
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Steve Jobs,Eduardo Saverin
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Steve Jobs,Arkady Volozh
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Steve Jobs,Jeff Bezos
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Steve Jobs,Jeff Bezos
Steve Jobs,Jeff Bezos,Arkady Volozh,Eduardo Saverin,Steve Jobs,Eduardo Saverin
Peter Thiel,Steve Jobs,Jeff Bezos,Sudha Murthy,Steve Jobs,Jeff Bezos
Peter Thiel,Steve Jobs,Jeff Bezos,Sudha Murthy,Sudha Murthy,Jeff Bezos
Peter Thiel,Steve Jobs,Jeff Bezos,Sudha Murthy,Steve Jobs,Peter Thiel
Peter Thiel,Steve Jobs,Jeff Bezos,Sudha Murthy,Steve Jobs,Peter Thiel
Peter Thiel,Steve Jobs,Jeff Bezos,Sudha Murthy,Steve Jobs,Sudha Murthy
Edward Snowden,Daniel Ek,Jeff Bezos,Sergey Brin,Edward Snowden,Jeff Bezos
Edward Snowden,Daniel Ek,Jeff Bezos,Sergey Brin,Edward Snowden,Daniel Ek
Edward Snowden,Daniel Ek,Jeff Bezos,Sergey Brin,Sergey Brin,Jeff Bezos
Edward Snowden,Daniel Ek,Jeff Bezos,Sergey Brin,Edward Snowden,Daniel Ek
Daniel Ek,Larry Page,Jack Dorsey,Steve Wozniak,Steve Wozniak,Daniel Ek
Daniel Ek,Larry Page,Jack Dorsey,Steve Wozniak,Steve Wozniak,Larry Page
Daniel Ek,Larry Page,Jack Dorsey,Steve Wozniak,Larry Page,Daniel Ek
Daniel Ek,Larry Page,Jack Dorsey,Steve Wozniak,Steve Wozniak,Larry Page
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Eduardo Saverin,Jeff Bezos
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Eduardo Saverin,Edward Snowden
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Edward Snowden,Peter Thiel
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Edward Snowden,Eduardo Saverin
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Peter Thiel,Jeff Bezos
Peter Thiel,Jeff Bezos,Eduardo Saverin,Edward Snowden,Edward Snowden,Eduardo Saverin
Alice Johnson,Los York,Jack Dorsey,Roger Federer,Jack Dorsey,Roger Federer
Alice Johnson,Los York,Jack Dorsey,Roger Federer,Jack Dorsey,Los York
Alice Johnson,Los York,Jack Dorsey,Roger Federer,Jack Dorsey,Alice Johnson
Alice Johnson,Los York,Jack Dorsey,Roger Federer,Alice Johnson,Los York
Mark Zuckerberg,Sudha Murthy,Pavel Valeryevich Durov,Eduardo Saverin,Mark Zuckerberg,Sudha Murthy
Mark Zuckerberg,Sudha Murthy,Pavel Valeryevich Durov,Eduardo Saverin,Sudha Murthy,Mark Zuckerberg
Mark Zuckerberg,Sudha Murthy,Pavel Valeryevich Durov,Eduardo Saverin,Mark Zuckerberg,Eduardo Saverin
Mark Zuckerberg,Sudha Murthy,Pavel Valeryevich Durov,Eduardo Saverin,Pavel Valeryevich Durov,Mark Zuckerberg
Mark Zuckerberg,Sudha Murthy,Pavel Valeryevich Durov,Eduardo Saverin,Mark Zuckerberg,Sudha Murthy
Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,Sudha Murthy,Larry Page
Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,Steve Jobs,Sudha Murthy
Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,Steve Jobs,Daniel Ek
Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,Steve Jobs,Larry Page
Sudha Murthy,Larry Page,Steve Jobs,Daniel Ek,Steve Jobs,Daniel Ek
Mount Kilimanjaro,Michelle Dockery,Sergey Brin,Ivan Brown,Sergey Brin,Ivan Brown
Mount Kilimanjaro,Michelle Dockery,Sergey Brin,Ivan Brown,Ivan Brown,Mount Kilimanjaro
