Item1,Item2,Item3,Item4,BestItem,WorstItem
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,The Lord of the Rings: The Rings of Power,Dark
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,The Witcher,Dark
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,Yellowstone,Dark
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,Yellowstone,Dark
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,Yellowstone,Dark
The Witcher,The Lord of the Rings: The Rings of Power,Dark,Yellowstone,Yellowstone,The Lord of the Rings: The Rings of Power
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Game of Thrones,Stranger Things
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Peaky Blinders,Stranger Things
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Game of Thrones,Stranger Things
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Game of Thrones,Dark
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Game of Thrones,Stranger Things
Peaky Blinders,Stranger Things,Game of Thrones,Dark,Stranger Things,Dark
Game of Thrones,The Book of Boba Fett,Stranger Things,Yellowstone,Game of Thrones,Stranger Things
Game of Thrones,The Book of Boba Fett,Stranger Things,Yellowstone,Yellowstone,The Book of Boba Fett
Game of Thrones,The Book of Boba Fett,Stranger Things,Yellowstone,Game of Thrones,The Book of Boba Fett
Game of Thrones,The Book of Boba Fett,Stranger Things,Yellowstone,Game of Thrones,Stranger Things
Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,Game of Thrones,Silver Spoon
Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,Game of Thrones,Silver Spoon
Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,Game of Thrones,Silver Spoon
Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,Game of Thrones,Silver Spoon
Game of Thrones,Breaking Bad,Silver Spoon,The Walking Dead,Breaking Bad,Silver Spoon
Silver Spoon,The Walking Dead,Stranger Things,Dark,Stranger Things,Silver Spoon
Silver Spoon,The Walking Dead,Stranger Things,Dark,Stranger Things,Dark
Silver Spoon,The Walking Dead,Stranger Things,Dark,Stranger Things,Silver Spoon
Silver Spoon,The Walking Dead,Stranger Things,Dark,Stranger Things,Silver Spoon
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Yellowstone,Silver Spoon
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Game of Thrones,How I Met Your Mother
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Yellowstone,Silver Spoon
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Yellowstone,Silver Spoon
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Game of Thrones,Silver Spoon
How I Met Your Mother,Silver Spoon,Game of Thrones,Yellowstone,Yellowstone,Silver Spoon
Brigada,The Crown,How I Met Your Mother,Breaking Bad,The Crown,How I Met Your Mother
Brigada,The Crown,How I Met Your Mother,Breaking Bad,The Crown,How I Met Your Mother
Brigada,The Crown,How I Met Your Mother,Breaking Bad,The Crown,Brigada
Brigada,The Crown,How I Met Your Mother,Breaking Bad,The Crown,Brigada
Brigada,The Crown,How I Met Your Mother,Breaking Bad,How I Met Your Mother,The Crown
Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,Breaking Bad,Breaking Bad,The Witcher
The Witcher,The Book of Boba Fett,Silver Spoon,Yellowstone,Yellowstone,Silver Spoon
Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,Breaking Bad,The Witcher,Peaky Blinders
The Witcher,The Book of Boba Fett,Silver Spoon,Yellowstone,The Witcher,Silver Spoon
Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,Breaking Bad,Breaking Bad,Peaky Blinders
The Witcher,The Book of Boba Fett,Silver Spoon,Yellowstone,Yellowstone,Silver Spoon
Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,Breaking Bad,The Lord of the Rings: The Rings of Power,The Witcher
The Witcher,The Book of Boba Fett,Silver Spoon,Yellowstone,Yellowstone,The Witcher
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Crown,The Witcher
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,The Witcher
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Crown,The Witcher
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Witcher,The Crown
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Crown,Brigada
The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power,The Crown,Brigada
The Crown,Peaky Blinders,The Lord of the Rings: The Rings of Power,Stranger Things,The Crown,Stranger Things
The Crown,Peaky Blinders,The Lord of the Rings: The Rings of Power,Stranger Things,The Crown,Stranger Things
The Crown,Peaky Blinders,The Lord of the Rings: The Rings of Power,Stranger Things,The Crown,Peaky Blinders
The Crown,Peaky Blinders,The Lord of the Rings: The Rings of Power,Stranger Things,The Crown,The Lord of the Rings: The Rings of Power
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Crown,Silver Spoon
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Book of Boba Fett,Silver Spoon
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Crown,Dark
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Crown,Dark
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Crown,Silver Spoon
Dark,The Crown,Silver Spoon,The Book of Boba Fett,The Book of Boba Fett,The Crown
Dark,The Book of Boba Fett,House of the Dragon,Breaking Bad,Breaking Bad,The Book of Boba Fett
Dark,The Book of Boba Fett,House of the Dragon,Breaking Bad,Breaking Bad,The Book of Boba Fett
Dark,The Book of Boba Fett,House of the Dragon,Breaking Bad,Breaking Bad,Dark
Dark,The Book of Boba Fett,House of the Dragon,Breaking Bad,The Book of Boba Fett,Dark
Dark,The Book of Boba Fett,House of the Dragon,Breaking Bad,Breaking Bad,Dark
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Breaking Bad,Brigada
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Game of Thrones,Brigada
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Game of Thrones,Brigada
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Yellowstone,Brigada
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Yellowstone,Brigada
Game of Thrones,Breaking Bad,Brigada,Yellowstone,Yellowstone,Brigada
Dark,WandaVision,The Witcher,Silver Spoon,Dark,Silver Spoon
Dark,WandaVision,The Witcher,Silver Spoon,Dark,Silver Spoon
Dark,WandaVision,The Witcher,Silver Spoon,WandaVision,Dark
Dark,WandaVision,The Witcher,Silver Spoon,Silver Spoon,Dark
Dark,WandaVision,The Witcher,Silver Spoon,The Witcher,Dark
Dark,WandaVision,The Witcher,Silver Spoon,Dark,WandaVision
The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown,The Crown,How I Met Your Mother
The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown,The Crown,How I Met Your Mother
The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown,The Book of Boba Fett,How I Met Your Mother
The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown,The Crown,The Book of Boba Fett
The Book of Boba Fett,WandaVision,How I Met Your Mother,The Crown,The Crown,The Book of Boba Fett
Stranger Things,Brigada,WandaVision,How I Met Your Mother,Stranger Things,How I Met Your Mother
Stranger Things,Brigada,WandaVision,How I Met Your Mother,Stranger Things,Brigada
Stranger Things,Brigada,WandaVision,How I Met Your Mother,WandaVision,Brigada
Stranger Things,Brigada,WandaVision,How I Met Your Mother,Stranger Things,How I Met Your Mother
Stranger Things,Brigada,WandaVision,How I Met Your Mother,How I Met Your Mother,WandaVision
Stranger Things,Brigada,WandaVision,How I Met Your Mother,WandaVision,How I Met Your Mother
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,The Book of Boba Fett
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,Brigada
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,The Book of Boba Fett
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,The Book of Boba Fett
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,Peaky Blinders
Yellowstone,Brigada,The Book of Boba Fett,Peaky Blinders,Yellowstone,Peaky Blinders
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,The Lord of the Rings: The Rings of Power,How I Met Your Mother
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,The Lord of the Rings: The Rings of Power,How I Met Your Mother
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,How I Met Your Mother,Brigada
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,The Lord of the Rings: The Rings of Power,Brigada
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,The Lord of the Rings: The Rings of Power,WandaVision
How I Met Your Mother,WandaVision,The Lord of the Rings: The Rings of Power,Brigada,WandaVision,How I Met Your Mother
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,Game of Thrones,House of the Dragon
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,Game of Thrones,House of the Dragon
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,Yellowstone,The Walking Dead
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,The Walking Dead,House of the Dragon
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,Game of Thrones,House of the Dragon
House of the Dragon,Yellowstone,The Walking Dead,Game of Thrones,Game of Thrones,House of the Dragon
The Crown,The Witcher,WandaVision,Game of Thrones,Game of Thrones,WandaVision
The Crown,The Witcher,WandaVision,Game of Thrones,The Crown,WandaVision
The Crown,The Witcher,WandaVision,Game of Thrones,The Crown,WandaVision
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,Quincy Jones,The Witcher
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,The Witcher,Quincy Jones
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,The Witcher,Quincy Jones
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,Secret Garden Magic,Quincy Jones
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,The Witcher,Secret Garden Magic
Secret Garden Magic,Galactic Discoveries,Quincy Jones,The Witcher,The Witcher,Quincy Jones
psychedelic rock,House of the Dragon,Mikhail Dunkerov,Kuznetsova,House of the Dragon,psychedelic rock
psychedelic rock,House of the Dragon,Mikhail Dunkerov,Kuznetsova,House of the Dragon,psychedelic rock
psychedelic rock,House of the Dragon,Mikhail Dunkerov,Kuznetsova,House of the Dragon,psychedelic rock
psychedelic rock,House of the Dragon,Mikhail Dunkerov,Kuznetsova,House of the Dragon,Kuznetsova
psychedelic rock,House of the Dragon,Mikhail Dunkerov,Kuznetsova,House of the Dragon,psychedelic rock
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Walking Dead,Brigada
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Crown,The Walking Dead
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Walking Dead,Brigada
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Crown,Brigada
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Crown,Brigada
The Walking Dead,The Book of Boba Fett,Brigada,The Crown,The Crown,The Book of Boba Fett
Mikhail Dunkerov,George Washington,Game of Thrones,Keys to Power,Game of Thrones,Mikhail Dunkerov
Mikhail Dunkerov,George Washington,Game of Thrones,Keys to Power,Game of Thrones,Mikhail Dunkerov
Mikhail Dunkerov,George Washington,Game of Thrones,Keys to Power,Game of Thrones,George Washington
Mikhail Dunkerov,George Washington,Game of Thrones,Keys to Power,Game of Thrones,George Washington
Taylor Swift,Friedrich Bayer,How I Met Your Mother,Elena Architecturova,How I Met Your Mother,Friedrich Bayer
Taylor Swift,Friedrich Bayer,How I Met Your Mother,Elena Architecturova,How I Met Your Mother,Taylor Swift
Taylor Swift,Friedrich Bayer,How I Met Your Mother,Elena Architecturova,How I Met Your Mother,Taylor Swift
Taylor Swift,Friedrich Bayer,How I Met Your Mother,Elena Architecturova,How I Met Your Mother,Taylor Swift
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,The Book of Boba Fett
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,Stranger Things
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,WandaVision
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,WandaVision
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,The Book of Boba Fett
The Book of Boba Fett,Yellowstone,WandaVision,Stranger Things,Yellowstone,WandaVision
Alex Shibutani,Brigada,Maria Researcher,Los York,Brigada,Maria Researcher
Alex Shibutani,Brigada,Maria Researcher,Los York,Brigada,Maria Researcher
Alex Shibutani,Brigada,Maria Researcher,Los York,Brigada,Maria Researcher
Alex Shibutani,Brigada,Maria Researcher,Los York,Brigada,Alex Shibutani
Alex Shibutani,Brigada,Maria Researcher,Los York,Brigada,Maria Researcher
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,House of the Dragon,Silver Spoon
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,Stranger Things,Silver Spoon
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,House of the Dragon,Silver Spoon
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,Silver Spoon,House of the Dragon
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,Stranger Things,Silver Spoon
Silver Spoon,Stranger Things,The Walking Dead,House of the Dragon,The Walking Dead,Silver Spoon
Dark,How I Met Your Mother,House of the Dragon,Peaky Blinders,Peaky Blinders,How I Met Your Mother
Dark,How I Met Your Mother,House of the Dragon,Peaky Blinders,House of the Dragon,How I Met Your Mother
Dark,How I Met Your Mother,House of the Dragon,Peaky Blinders,How I Met Your Mother,Peaky Blinders
WandaVision,The Walking Dead,The Witcher,Brigada,The Walking Dead,Brigada
WandaVision,The Walking Dead,The Witcher,Brigada,The Witcher,WandaVision
WandaVision,The Walking Dead,The Witcher,Brigada,The Witcher,Brigada
WandaVision,The Walking Dead,The Witcher,Brigada,The Witcher,WandaVision
WandaVision,The Walking Dead,The Witcher,Brigada,Brigada,WandaVision
House of the Dragon,Secret Garden Magic,Tennis Mastery,The Book of Boba Fett,House of the Dragon,Tennis Mastery
House of the Dragon,Secret Garden Magic,Tennis Mastery,The Book of Boba Fett,House of the Dragon,Tennis Mastery
House of the Dragon,Secret Garden Magic,Tennis Mastery,The Book of Boba Fett,House of the Dragon,Tennis Mastery
House of the Dragon,Secret Garden Magic,Tennis Mastery,The Book of Boba Fett,House of the Dragon,Tennis Mastery
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Game of Thrones,WandaVision,House of the Dragon,Silver Spoon,Game of Thrones,Silver Spoon
Peaky Blinders,Funny Neighbors,Denali,Rhythmic Chimeras,Peaky Blinders,Rhythmic Chimeras
Peaky Blinders,Funny Neighbors,Denali,Rhythmic Chimeras,Peaky Blinders,Funny Neighbors
Peaky Blinders,Funny Neighbors,Denali,Rhythmic Chimeras,Peaky Blinders,Rhythmic Chimeras
Peaky Blinders,Funny Neighbors,Denali,Rhythmic Chimeras,Peaky Blinders,Denali
Peaky Blinders,Funny Neighbors,Denali,Rhythmic Chimeras,Peaky Blinders,Denali
Breaking Bad,The Lord of the Rings: The Rings of Power,House of the Dragon,How I Met Your Mother,Breaking Bad,How I Met Your Mother
Breaking Bad,The Lord of the Rings: The Rings of Power,House of the Dragon,How I Met Your Mother,Breaking Bad,How I Met Your Mother
Breaking Bad,The Lord of the Rings: The Rings of Power,House of the Dragon,How I Met Your Mother,The Lord of the Rings: The Rings of Power,House of the Dragon
The Walking Dead,House of the Dragon,Breaking Bad,The Crown,The Crown,The Walking Dead
The Walking Dead,House of the Dragon,Breaking Bad,The Crown,The Crown,House of the Dragon
The Walking Dead,House of the Dragon,Breaking Bad,The Crown,The Walking Dead,The Crown
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,Breaking Bad,How I Met Your Mother
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,Breaking Bad,How I Met Your Mother
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,Breaking Bad,Peaky Blinders
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,How I Met Your Mother,Peaky Blinders
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,Breaking Bad,How I Met Your Mother
How I Met Your Mother,Breaking Bad,Peaky Blinders,Stranger Things,Stranger Things,Peaky Blinders
The Walking Dead,Panda Virusovskaya,Nell Newman,Sarah Williams,The Walking Dead,Panda Virusovskaya
The Walking Dead,Panda Virusovskaya,Nell Newman,Sarah Williams,The Walking Dead,Panda Virusovskaya
The Walking Dead,Panda Virusovskaya,Nell Newman,Sarah Williams,The Walking Dead,Nell Newman
The Walking Dead,Panda Virusovskaya,Nell Newman,Sarah Williams,The Walking Dead,Sarah Williams
The Lord of the Rings: The Rings of Power,The Walking Dead,Peaky Blinders,House of the Dragon,Peaky Blinders,The Walking Dead
The Lord of the Rings: The Rings of Power,The Walking Dead,Peaky Blinders,House of the Dragon,House of the Dragon,The Walking Dead
The Lord of the Rings: The Rings of Power,The Walking Dead,Peaky Blinders,House of the Dragon,The Lord of the Rings: The Rings of Power,Peaky Blinders
The Lord of the Rings: The Rings of Power,Dark,Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,Dark
The Lord of the Rings: The Rings of Power,Dark,Peaky Blinders,The Witcher,Peaky Blinders,Dark
The Lord of the Rings: The Rings of Power,Dark,Peaky Blinders,The Witcher,The Lord of the Rings: The Rings of Power,The Witcher
