Item1,Item2,Item3,Item4,BestItem,WorstItem
Jimmy Carter,Leonid Brezhnev,Herbert Hoover,George Washington,Herbert Hoover,George Washington
Jimmy Carter,Leonid Brezhnev,Herbert Hoover,George Washington,Leonid Brezhnev,George Washington
Jimmy Carter,Leonid Brezhnev,Herbert Hoover,George Washington,Herbert Hoover,Leonid Brezhnev
Jimmy Carter,Leonid Brezhnev,Herbert Hoover,George Washington,Leonid Brezhnev,Jimmy Carter
Jimmy Carter,Leonid Brezhnev,Herbert Hoover,George Washington,George Washington,Jimmy Carter
Herbert Hoover,Leonid Kuchma,Leonid Brezhnev,Viktor Yanukovych,Leonid Brezhnev,Herbert Hoover
Herbert Hoover,Leonid Kuchma,Leonid Brezhnev,Viktor Yanukovych,Viktor Yanukovych,Herbert Hoover
Herbert Hoover,Leonid Kuchma,Leonid Brezhnev,Viktor Yanukovych,Herbert Hoover,Leonid Kuchma
Herbert Hoover,Leonid Kuchma,Leonid Brezhnev,Viktor Yanukovych,Viktor Yanukovych,Herbert Hoover
Herbert Hoover,Leonid Kuchma,Leonid Brezhnev,Viktor Yanukovych,Viktor Yanukovych,Herbert Hoover
George Washington,Robert Oppenheimer,Oleksandr Turchynov,Larry Page,Robert Oppenheimer,Larry Page
George Washington,Robert Oppenheimer,Oleksandr Turchynov,Larry Page,Robert Oppenheimer,George Washington
George Washington,Robert Oppenheimer,Oleksandr Turchynov,Larry Page,Robert Oppenheimer,George Washington
George Washington,Robert Oppenheimer,Oleksandr Turchynov,Larry Page,Robert Oppenheimer,Oleksandr Turchynov
Larry Page,Leonid Brezhnev,Nikolai Patrushev,Hu Jintao,Hu Jintao,Leonid Brezhnev
Larry Page,Leonid Brezhnev,Nikolai Patrushev,Hu Jintao,Leonid Brezhnev,Larry Page
Larry Page,Leonid Brezhnev,Nikolai Patrushev,Hu Jintao,Leonid Brezhnev,Larry Page
Larry Page,Leonid Brezhnev,Nikolai Patrushev,Hu Jintao,Larry Page,Nikolai Patrushev
Larry Page,Leonid Brezhnev,Nikolai Patrushev,Hu Jintao,Larry Page,Hu Jintao
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Mikhail Fridman,James Cameron
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Robert Oppenheimer,James Cameron
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Robert Oppenheimer,James Cameron
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Robert Oppenheimer,James Cameron
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Robert Oppenheimer,James Cameron
Leonid Kuchma,Robert Oppenheimer,James Cameron,Mikhail Fridman,Robert Oppenheimer,Leonid Kuchma
Mikhail Fridman,Oleksandr Turchynov,Robert Oppenheimer,Herbert Hoover,Oleksandr Turchynov,Herbert Hoover
