Item1,Item2,Item3,Item4,BestItem,WorstItem
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Isaac Newton
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Isaac Newton
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Isaac Newton
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Isaac Newton
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Rises of Innovations
Impulse of Creativity,Charlie Watts,Rises of Innovations,Isaac Newton,Charlie Watts,Isaac Newton
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Sergey Kuryokhin,Viggo Mortensen
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Dean Martin,Sergey Kuryokhin
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Sergey Kuryokhin,Viggo Mortensen
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Dean Martin,Viggo Mortensen
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Dean Martin,Sergey Kuryokhin
Dean Martin,Viggo Mortensen,Sergey Kuryokhin,Clint Eastwood,Dean Martin,Clint Eastwood
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Barbra Streisand
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Barbra Streisand
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Barbra Streisand
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Sergey Kuryokhin
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Barbra Streisand
Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,Charlie Watts,Barbra Streisand
Woody Allen,Dean Martin,Emin Agalarov,Viggo Mortensen,Dean Martin,Woody Allen
Woody Allen,Dean Martin,Emin Agalarov,Viggo Mortensen,Dean Martin,Woody Allen
Woody Allen,Dean Martin,Emin Agalarov,Viggo Mortensen,Dean Martin,Woody Allen
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Amy Winehouse,Clint Eastwood
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Charlie Watts,Michelle Dockery
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Charlie Watts,Clint Eastwood
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Amy Winehouse,Clint Eastwood
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Amy Winehouse,Clint Eastwood
Amy Winehouse,Clint Eastwood,Michelle Dockery,Charlie Watts,Charlie Watts,Amy Winehouse
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Dean Martin,Michelle Dockery
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Dean Martin,Barbra Streisand
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Michelle Dockery,Barbra Streisand
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Barbra Streisand,Michelle Dockery
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Michelle Dockery,Phil Collins
Michelle Dockery,Dean Martin,Barbra Streisand,Phil Collins,Barbra Streisand,Michelle Dockery
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Charlie Watts,Barbra Streisand
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Frank Sinatra,Barbra Streisand
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Frank Sinatra,Woody Allen
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Frank Sinatra,Barbra Streisand
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Charlie Watts,Woody Allen
Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,Frank Sinatra,Woody Allen
Sergey Kuryokhin,Frank Sinatra,Clint Eastwood,Michelle Dockery,Michelle Dockery,Sergey Kuryokhin
Sergey Kuryokhin,Frank Sinatra,Clint Eastwood,Michelle Dockery,Frank Sinatra,Michelle Dockery
Sergey Kuryokhin,Frank Sinatra,Clint Eastwood,Michelle Dockery,Frank Sinatra,Clint Eastwood
Sergey Kuryokhin,Frank Sinatra,Clint Eastwood,Michelle Dockery,Frank Sinatra,Michelle Dockery
Sergey Kuryokhin,Frank Sinatra,Clint Eastwood,Michelle Dockery,Frank Sinatra,Clint Eastwood
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Sergey Kuryokhin,Viggo Mortensen
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Eric Clapton,Viggo Mortensen
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Eric Clapton,Viggo Mortensen
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Eric Clapton,Sergey Kuryokhin
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Amy Winehouse,Viggo Mortensen
Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,Eric Clapton,Sergey Kuryokhin
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Quincy Jones,Barbra Streisand
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Quincy Jones,Woody Allen
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Woody Allen,Barbra Streisand
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Quincy Jones,Woody Allen
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Frank Sinatra,Woody Allen
Frank Sinatra,Quincy Jones,Barbra Streisand,Woody Allen,Frank Sinatra,Woody Allen
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Quincy Jones,Phil Collins
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Quincy Jones,Phil Collins
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Quincy Jones,Dean Martin
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Quincy Jones,Dean Martin
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Phil Collins,Quincy Jones
Dean Martin,Quincy Jones,Amy Winehouse,Phil Collins,Dean Martin,Amy Winehouse
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Quincy Jones,Barbra Streisand
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Quincy Jones,Barbra Streisand
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Eric Clapton,Dean Martin
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Eric Clapton,Quincy Jones
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Quincy Jones,Dean Martin
Quincy Jones,Barbra Streisand,Eric Clapton,Dean Martin,Dean Martin,Eric Clapton
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Emin Agalarov,Woody Allen
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Phil Collins,Woody Allen
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Woody Allen,Phil Collins
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Phil Collins,Woody Allen
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Sergey Kuryokhin,Woody Allen
Phil Collins,Sergey Kuryokhin,Emin Agalarov,Woody Allen,Phil Collins,Woody Allen
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Eric Clapton,Clint Eastwood
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Eric Clapton,Clint Eastwood
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Clint Eastwood,Viggo Mortensen
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Eric Clapton,Clint Eastwood
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Eric Clapton,Emin Agalarov
Emin Agalarov,Clint Eastwood,Viggo Mortensen,Eric Clapton,Viggo Mortensen,Clint Eastwood
Emin Agalarov,Michelle Dockery,Sergey Kuryokhin,Bhumibol Adulyadej,Sergey Kuryokhin,Michelle Dockery
Emin Agalarov,Michelle Dockery,Sergey Kuryokhin,Bhumibol Adulyadej,Sergey Kuryokhin,Michelle Dockery
Emin Agalarov,Michelle Dockery,Sergey Kuryokhin,Bhumibol Adulyadej,Michelle Dockery,Sergey Kuryokhin
Emin Agalarov,Michelle Dockery,Sergey Kuryokhin,Bhumibol Adulyadej,Michelle Dockery,Bhumibol Adulyadej
