Item1,Item2,Item3,Item4,BestItem,WorstItem
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Albrecht Dürer,Leonardo da Vinci
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Leonardo da Vinci,Max Born
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Max Born,Carl Friedrich Gauss
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Carl Friedrich Gauss,Max Born
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Carl Friedrich Gauss,Leonardo da Vinci
Leonardo da Vinci,Carl Friedrich Gauss,Max Born,Albrecht Dürer,Carl Friedrich Gauss,Max Born
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Boris Grebenshchikov,Max Born
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Isaac Newton,Boris Grebenshchikov
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Isaac Newton,Max Born
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Isaac Newton,Max Born
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Boris Grebenshchikov,Grigori Perelman
Max Born,Boris Grebenshchikov,Grigori Perelman,Isaac Newton,Isaac Newton,Max Born
Isaac Newton,Grigori Perelman,Boris Berezovsky,Joan Clarke,Boris Berezovsky,Joan Clarke
Isaac Newton,Grigori Perelman,Boris Berezovsky,Joan Clarke,Isaac Newton,Joan Clarke
Isaac Newton,Grigori Perelman,Boris Berezovsky,Joan Clarke,Isaac Newton,Boris Berezovsky
Isaac Newton,Grigori Perelman,Boris Berezovsky,Joan Clarke,Isaac Newton,Joan Clarke
Isaac Newton,Grigori Perelman,Boris Berezovsky,Joan Clarke,Isaac Newton,Joan Clarke
Joan Clarke,Immanuel Kant,Thomas Edison,Carl Friedrich Gauss,Carl Friedrich Gauss,Thomas Edison
Joan Clarke,Immanuel Kant,Thomas Edison,Carl Friedrich Gauss,Carl Friedrich Gauss,Thomas Edison
Joan Clarke,Immanuel Kant,Thomas Edison,Carl Friedrich Gauss,Carl Friedrich Gauss,Immanuel Kant
