Item1,Item2,Item3,Item4,BestItem,WorstItem
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panda Virusovskaya,Home Alone 4
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panthera uncia,Home Alone 4
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panthera uncia,Home Alone 4
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panda Virusovskaya,Home Alone 4
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panthera uncia,Home Alone 4
Alexey Guitarov,Panda Virusovskaya,Panthera uncia,Home Alone 4,Panthera uncia,Home Alone 4
Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,Aconcagua,Dmitry Formulary
Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,Aconcagua,Roman Adventures
Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,Aconcagua,SingStar
Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,Aconcagua,Roman Adventures
Roman Adventures,SingStar,Dmitry Formulary,Aconcagua,Aconcagua,Roman Adventures
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Everest,Monte Carlo
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Elbrus,Dufourspitze
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Everest,Dufourspitze
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Everest,Dufourspitze
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Everest,Dufourspitze
Mount Elbrus,Dufourspitze,Monte Carlo,Mount Everest,Mount Everest,Dufourspitze
Denali,Puncak Jaya,Montana,Mona Lisa,Denali,Mona Lisa
Denali,Puncak Jaya,Montana,Mona Lisa,Montana,Mona Lisa
Denali,Puncak Jaya,Montana,Mona Lisa,Denali,Montana
Denali,Puncak Jaya,Montana,Mona Lisa,Denali,Mona Lisa
Denali,Puncak Jaya,Montana,Mona Lisa,Denali,Mona Lisa
Denali,Puncak Jaya,Montana,Mona Lisa,Denali,Mona Lisa
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mount Everest,Mount Athos,Mount Elbrus,Montana,Mount Everest,Montana
Mont Blanc,Seven Summits,stratovolcano,Tambora,Mont Blanc,stratovolcano
Mont Blanc,Seven Summits,stratovolcano,Tambora,Seven Summits,Tambora
Mont Blanc,Seven Summits,stratovolcano,Tambora,Mont Blanc,stratovolcano
Mont Blanc,Seven Summits,stratovolcano,Tambora,Tambora,stratovolcano
Mont Blanc,Seven Summits,stratovolcano,Tambora,Tambora,stratovolcano
Mont Blanc,Seven Summits,stratovolcano,Tambora,Mont Blanc,Tambora
Puncak Jaya,Denali,Panthera uncia,Nanga Parbat,Denali,Panthera uncia
Puncak Jaya,Denali,Panthera uncia,Nanga Parbat,Puncak Jaya,Panthera uncia
Puncak Jaya,Denali,Panthera uncia,Nanga Parbat,Nanga Parbat,Denali
Puncak Jaya,Denali,Panthera uncia,Nanga Parbat,Denali,Puncak Jaya
Aconcagua,stratovolcano,K2,Montana,K2,Montana
Aconcagua,stratovolcano,K2,Montana,K2,Montana
Aconcagua,stratovolcano,K2,Montana,K2,stratovolcano
Aconcagua,stratovolcano,K2,Montana,K2,Montana
Aconcagua,stratovolcano,K2,Montana,K2,Montana
Aconcagua,Dufourspitze,Puncak Jaya,Mount Elbrus,Mount Elbrus,Dufourspitze
Aconcagua,Dufourspitze,Puncak Jaya,Mount Elbrus,Mount Elbrus,Dufourspitze
Aconcagua,Dufourspitze,Puncak Jaya,Mount Elbrus,Mount Elbrus,Dufourspitze
Aconcagua,Dufourspitze,Puncak Jaya,Mount Elbrus,Mount Elbrus,Dufourspitze
Dufourspitze,stratovolcano,Nanga Parbat,Mont Blanc,Mont Blanc,stratovolcano
Dufourspitze,stratovolcano,Nanga Parbat,Mont Blanc,stratovolcano,Nanga Parbat
Dufourspitze,stratovolcano,Nanga Parbat,Mont Blanc,Mont Blanc,stratovolcano
Dufourspitze,stratovolcano,Nanga Parbat,Mont Blanc,Mont Blanc,Dufourspitze
Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Puncak Jaya,Nanga Parbat
Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Nanga Parbat,Tambora
Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Tambora,Panthera uncia
Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Tambora,Panthera uncia
Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Tambora,Panthera uncia
