Item1,Item2,Item3,Item4,BestItem,WorstItem
Ivan Creative,Shadow of the Past,Galleria Palatina,bryophyte,Galleria Palatina,bryophyte
Ivan Creative,Shadow of the Past,Galleria Palatina,bryophyte,Galleria Palatina,bryophyte
Ivan Creative,Shadow of the Past,Galleria Palatina,bryophyte,Galleria Palatina,Ivan Creative
Ivan Creative,Shadow of the Past,Galleria Palatina,bryophyte,bryophyte,Ivan Creative
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Galleria Palatina,Villa del Balbianello
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Villa del Balbianello,Pitti Palace
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Galleria Palatina,Villa del Balbianello
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Villa del Balbianello,Pitti Palace
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Galleria Palatina,Giardino dei Tarocchi
Villa del Balbianello,Galleria Palatina,Giardino dei Tarocchi,Pitti Palace,Galleria Palatina,Pitti Palace
Enchanted Forest,Whiplash,Pitti Palace,Alexander Portretov,Alexander Portretov,Whiplash
Enchanted Forest,Whiplash,Pitti Palace,Alexander Portretov,Pitti Palace,Whiplash
Enchanted Forest,Whiplash,Pitti Palace,Alexander Portretov,Pitti Palace,Whiplash
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Moderna Museet,Palace of Caserta
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Palace of Caserta,Moderna Museet
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Moderna Museet,Palace of Caserta
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Moderna Museet,Giardino dei Tarocchi
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Palace of Caserta,Moderna Museet
Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,Moderna Museet,Giardino dei Tarocchi
