Item1,Item2,Item3,Item4,BestItem,WorstItem
nu metal,post-punk,Neue Deutsche Härte,oi!,nu metal,Neue Deutsche Härte
nu metal,post-punk,Neue Deutsche Härte,oi!,post-punk,Neue Deutsche Härte
nu metal,post-punk,Neue Deutsche Härte,oi!,nu metal,oi!
nu metal,post-punk,Neue Deutsche Härte,oi!,nu metal,oi!
nu metal,post-punk,Neue Deutsche Härte,oi!,post-punk,oi!
rapping,heavy metal,electronic dance music,Neue Deutsche Welle,heavy metal,Neue Deutsche Welle
rapping,heavy metal,electronic dance music,Neue Deutsche Welle,heavy metal,Neue Deutsche Welle
rapping,heavy metal,electronic dance music,Neue Deutsche Welle,electronic dance music,Neue Deutsche Welle
rapping,heavy metal,electronic dance music,Neue Deutsche Welle,heavy metal,Neue Deutsche Welle
rapping,heavy metal,electronic dance music,Neue Deutsche Welle,rapping,Neue Deutsche Welle
Smirnov,heavy metal,Simulation of Sporting Achievements,Italian cuisine,heavy metal,Italian cuisine
Smirnov,heavy metal,Simulation of Sporting Achievements,Italian cuisine,heavy metal,Italian cuisine
Smirnov,heavy metal,Simulation of Sporting Achievements,Italian cuisine,heavy metal,Simulation of Sporting Achievements
Smirnov,heavy metal,Simulation of Sporting Achievements,Italian cuisine,heavy metal,Simulation of Sporting Achievements
trap music,shoegaze,Neue Deutsche Härte,heavy metal,heavy metal,shoegaze
trap music,shoegaze,Neue Deutsche Härte,heavy metal,heavy metal,Neue Deutsche Härte
trap music,shoegaze,Neue Deutsche Härte,heavy metal,heavy metal,Neue Deutsche Härte
trap music,shoegaze,Neue Deutsche Härte,heavy metal,heavy metal,Neue Deutsche Härte
trap music,shoegaze,Neue Deutsche Härte,heavy metal,heavy metal,shoegaze
alternative rock,grunge,punk rock,Neue Deutsche Welle,alternative rock,Neue Deutsche Welle
alternative rock,grunge,punk rock,Neue Deutsche Welle,alternative rock,Neue Deutsche Welle
alternative rock,grunge,punk rock,Neue Deutsche Welle,grunge,Neue Deutsche Welle
alternative rock,grunge,punk rock,Neue Deutsche Welle,alternative rock,Neue Deutsche Welle
alternative rock,grunge,punk rock,Neue Deutsche Welle,alternative rock,Neue Deutsche Welle
alternative rock,grunge,punk rock,Neue Deutsche Welle,punk rock,Neue Deutsche Welle
oi!,post-punk,hip hop music,rock music,hip hop music,oi!
oi!,post-punk,hip hop music,rock music,rock music,oi!
oi!,post-punk,hip hop music,rock music,rock music,oi!
oi!,post-punk,hip hop music,rock music,rock music,oi!
oi!,post-punk,hip hop music,rock music,rock music,oi!
oi!,post-punk,hip hop music,rock music,rock music,oi!
alternative rock,rock music,punk rock,hip hop music,rock music,hip hop music
alternative rock,rock music,punk rock,hip hop music,rock music,punk rock
alternative rock,rock music,punk rock,hip hop music,rock music,punk rock
alternative rock,rock music,punk rock,hip hop music,rock music,alternative rock
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,Neue Deutsche Welle
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,Neue Deutsche Welle
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,Neue Deutsche Welle
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,Neue Deutsche Welle
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,post-punk
post-punk,hip hop music,psychedelic rock,Neue Deutsche Welle,hip hop music,Neue Deutsche Welle
traditional heavy metal,hip hop music,electronic dance music,post-punk,hip hop music,post-punk
traditional heavy metal,hip hop music,electronic dance music,post-punk,hip hop music,post-punk
traditional heavy metal,hip hop music,electronic dance music,post-punk,hip hop music,post-punk
traditional heavy metal,hip hop music,electronic dance music,post-punk,hip hop music,electronic dance music
