Item1,Item2,Item3,Item4,BestItem,WorstItem
Leo Tolstoy,Marcus Aurelius,Aleksandr Dugin,John Paul II,Aleksandr Dugin,John Paul II
Leo Tolstoy,Marcus Aurelius,Aleksandr Dugin,John Paul II,Marcus Aurelius,John Paul II
Leo Tolstoy,Marcus Aurelius,Aleksandr Dugin,John Paul II,Leo Tolstoy,Marcus Aurelius
Leo Tolstoy,Marcus Aurelius,Aleksandr Dugin,John Paul II,John Paul II,Marcus Aurelius
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Doom 3
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Doom 3
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Journey to the Third Dimension
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Hearts in Silhouettes
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Hearts in Silhouettes
Thomas Jefferson,Hearts in Silhouettes,Journey to the Third Dimension,Doom 3,Thomas Jefferson,Doom 3
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,John Paul II
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,Benedict XVI
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,Alexander Hamilton
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,Benedict XVI
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,John Paul II
Alexander Hamilton,John Paul II,Karl Marx,Benedict XVI,Karl Marx,Alexander Hamilton
Mahatma Gandhi,Fyodor Dostoyevsky,Karl Marx,Thomas Jefferson,Karl Marx,Thomas Jefferson
Mahatma Gandhi,Fyodor Dostoyevsky,Karl Marx,Thomas Jefferson,Karl Marx,Thomas Jefferson
Mahatma Gandhi,Fyodor Dostoyevsky,Karl Marx,Thomas Jefferson,Karl Marx,Mahatma Gandhi
Mahatma Gandhi,Fyodor Dostoyevsky,Karl Marx,Thomas Jefferson,Karl Marx,Fyodor Dostoyevsky
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Alexander Hamilton,Richard Harris
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Richard Harris,Benedict XVI
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Alexander Hamilton,Benedict XVI
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Alexander Hamilton,Benedict XVI
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Alexander Hamilton,Richard Harris
Benedict XVI,Alexander Hamilton,Richard Harris,Marcus Aurelius,Alexander Hamilton,Benedict XVI
