Item1,Item2,Item3,Item4,BestItem,WorstItem
Jon Bon Jovi,Alla Pugacheva,Chris Cornell,Jared Leto,Alla Pugacheva,Jared Leto
Jon Bon Jovi,Alla Pugacheva,Chris Cornell,Jared Leto,Alla Pugacheva,Jon Bon Jovi
Jon Bon Jovi,Alla Pugacheva,Chris Cornell,Jared Leto,Alla Pugacheva,Jon Bon Jovi
Jon Bon Jovi,Alla Pugacheva,Chris Cornell,Jared Leto,Alla Pugacheva,Jon Bon Jovi
Taylor Swift,Flea,John Lennon,Brian May,John Lennon,Taylor Swift
Taylor Swift,Flea,John Lennon,Brian May,Brian May,Flea
Taylor Swift,Flea,John Lennon,Brian May,Brian May,Flea
Taylor Swift,Flea,John Lennon,Brian May,Brian May,Flea
John Lennon,Jon Bon Jovi,Lenny Kravitz,Paul McCartney,Paul McCartney,Jon Bon Jovi
John Lennon,Jon Bon Jovi,Lenny Kravitz,Paul McCartney,John Lennon,Jon Bon Jovi
John Lennon,Jon Bon Jovi,Lenny Kravitz,Paul McCartney,Paul McCartney,Lenny Kravitz
John Lennon,Jon Bon Jovi,Lenny Kravitz,Paul McCartney,Jon Bon Jovi,Paul McCartney
David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,Paul McCartney,David Bowie
David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,David Bowie,Sergey Kuznetsov
David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,Sergey Kuznetsov,David Bowie
David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,David Bowie,Freddie Mercury
David Bowie,Freddie Mercury,Sergey Kuznetsov,Paul McCartney,Freddie Mercury,Sergey Kuznetsov
Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,Paul McCartney,Alla Pugacheva
Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,Paul McCartney,Jared Leto
Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,Paul McCartney,Jared Leto
Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,Freddie Mercury,Jared Leto
Jared Leto,Paul McCartney,Alla Pugacheva,Freddie Mercury,Jared Leto,Paul McCartney
Chris Cornell,Jon Bon Jovi,Paul McCartney,John Lennon,Paul McCartney,Jon Bon Jovi
Chris Cornell,Jon Bon Jovi,Paul McCartney,John Lennon,Paul McCartney,Jon Bon Jovi
Chris Cornell,Jon Bon Jovi,Paul McCartney,John Lennon,Chris Cornell,Jon Bon Jovi
Chris Cornell,Jon Bon Jovi,Paul McCartney,John Lennon,John Lennon,Jon Bon Jovi
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Jon Bon Jovi,Jared Leto
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Richard Wagner,Lenny Kravitz
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Jared Leto,Jon Bon Jovi
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Richard Wagner,Jared Leto
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Richard Wagner,Jared Leto
Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,Richard Wagner,Jared Leto
