Item1,Item2,Item3,Item4,BestItem,WorstItem
elephant,deciduous plant,list of psychoactive plants,flavonoid,deciduous plant,elephant
elephant,deciduous plant,list of psychoactive plants,flavonoid,deciduous plant,flavonoid
elephant,deciduous plant,list of psychoactive plants,flavonoid,deciduous plant,elephant
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,evergreen plant,flavonoid
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,flavonoid,Tracheophyta
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,evergreen plant,flavonoid
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,evergreen plant,flavonoid
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,carnivorous plant,flavonoid
Tracheophyta,flavonoid,carnivorous plant,evergreen plant,evergreen plant,flavonoid
useful plant,evergreen plant,forage,flavonoid,useful plant,flavonoid
useful plant,evergreen plant,forage,flavonoid,evergreen plant,flavonoid
useful plant,evergreen plant,forage,flavonoid,evergreen plant,forage
useful plant,evergreen plant,forage,flavonoid,evergreen plant,flavonoid
useful plant,evergreen plant,forage,flavonoid,evergreen plant,forage
useful plant,evergreen plant,forage,flavonoid,useful plant,flavonoid
flora,perennial plant,fungus,useful plant,flora,fungus
useful plant,common sunflower,Tracheophyta,flora,flora,Tracheophyta
flora,perennial plant,fungus,useful plant,flora,fungus
useful plant,common sunflower,Tracheophyta,flora,flora,Tracheophyta
flora,perennial plant,fungus,useful plant,perennial plant,fungus
useful plant,common sunflower,Tracheophyta,flora,flora,common sunflower
flora,perennial plant,fungus,useful plant,perennial plant,fungus
useful plant,common sunflower,Tracheophyta,flora,common sunflower,Tracheophyta
flora,perennial plant,fungus,useful plant,perennial plant,useful plant
useful plant,common sunflower,Tracheophyta,flora,common sunflower,useful plant
flora,perennial plant,fungus,useful plant,perennial plant,useful plant
useful plant,common sunflower,Tracheophyta,flora,common sunflower,useful plant
seed plants,deciduous plant,carnivorous plant,bryophyte,deciduous plant,bryophyte
seed plants,deciduous plant,carnivorous plant,bryophyte,deciduous plant,bryophyte
seed plants,deciduous plant,carnivorous plant,bryophyte,deciduous plant,bryophyte
seed plants,deciduous plant,carnivorous plant,bryophyte,seed plants,bryophyte
seed plants,deciduous plant,carnivorous plant,bryophyte,deciduous plant,bryophyte
seed plants,deciduous plant,carnivorous plant,bryophyte,seed plants,bryophyte
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Freddie Mercury
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Freddie Mercury
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Freddie Mercury
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Smith
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Freddie Mercury
useful plant,Smith,Emir Karadag,Freddie Mercury,useful plant,Freddie Mercury
flavonoid,botany,bryophyte,evergreen plant,bryophyte,botany
flavonoid,botany,bryophyte,evergreen plant,botany,bryophyte
flavonoid,botany,bryophyte,evergreen plant,evergreen plant,flavonoid
flavonoid,botany,bryophyte,evergreen plant,botany,bryophyte
flavonoid,botany,bryophyte,evergreen plant,botany,flavonoid
flavonoid,botany,bryophyte,evergreen plant,botany,bryophyte
bryophyte,flora,list of psychoactive plants,common sunflower,flora,bryophyte
bryophyte,flora,list of psychoactive plants,common sunflower,common sunflower,list of psychoactive plants
bryophyte,flora,list of psychoactive plants,common sunflower,common sunflower,flora
bryophyte,flora,list of psychoactive plants,common sunflower,flora,list of psychoactive plants
Darkness in the Night,Indus River,Magical Fantasy,flavonoid,flavonoid,Darkness in the Night
Darkness in the Night,Indus River,Magical Fantasy,flavonoid,flavonoid,Darkness in the Night
Darkness in the Night,Indus River,Magical Fantasy,flavonoid,flavonoid,Darkness in the Night
Darkness in the Night,Indus River,Magical Fantasy,flavonoid,flavonoid,Magical Fantasy
Darkness in the Night,Indus River,Magical Fantasy,flavonoid,Indus River,Magical Fantasy
botany,Amaranthaceae,deciduous plant,carnivorous plant,deciduous plant,Amaranthaceae
botany,Amaranthaceae,deciduous plant,carnivorous plant,deciduous plant,botany
botany,Amaranthaceae,deciduous plant,carnivorous plant,deciduous plant,Amaranthaceae
botany,Amaranthaceae,deciduous plant,carnivorous plant,carnivorous plant,Amaranthaceae
botany,Amaranthaceae,deciduous plant,carnivorous plant,deciduous plant,Amaranthaceae
botany,Amaranthaceae,deciduous plant,carnivorous plant,deciduous plant,Amaranthaceae
flora,forage,deciduous plant,Pimpinella anisum,deciduous plant,forage
flora,forage,deciduous plant,Pimpinella anisum,deciduous plant,flora
flora,forage,deciduous plant,Pimpinella anisum,deciduous plant,forage
flora,forage,deciduous plant,Pimpinella anisum,deciduous plant,flora
flora,forage,deciduous plant,Pimpinella anisum,Pimpinella anisum,forage
flora,forage,deciduous plant,Pimpinella anisum,Pimpinella anisum,forage
Amaranthaceae,common sunflower,carnivorous plant,forage,common sunflower,forage
Amaranthaceae,common sunflower,carnivorous plant,forage,common sunflower,Amaranthaceae
Amaranthaceae,common sunflower,carnivorous plant,forage,common sunflower,forage
Amaranthaceae,common sunflower,carnivorous plant,forage,Amaranthaceae,forage
Amaranthaceae,common sunflower,carnivorous plant,forage,common sunflower,forage
Amaranthaceae,common sunflower,carnivorous plant,forage,common sunflower,forage
list of psychoactive plants,root,C4 carbon fixation,seed plants,list of psychoactive plants,C4 carbon fixation
list of psychoactive plants,root,C4 carbon fixation,seed plants,seed plants,root
list of psychoactive plants,root,C4 carbon fixation,seed plants,list of psychoactive plants,C4 carbon fixation
list of psychoactive plants,root,C4 carbon fixation,seed plants,seed plants,C4 carbon fixation
list of psychoactive plants,root,C4 carbon fixation,seed plants,seed plants,list of psychoactive plants
list of psychoactive plants,root,C4 carbon fixation,seed plants,seed plants,C4 carbon fixation
The Transformers,Cargo Notes,Rhythmic Chimeras,elephant,Rhythmic Chimeras,The Transformers
The Transformers,Cargo Notes,Rhythmic Chimeras,elephant,elephant,The Transformers
