Item1,Item2,Item3,Item4,BestItem,WorstItem
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Elena Rappinskaya,Colorful Tales
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Vitalik Buterin,Colorful Tales
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Elena Rappinskaya,Donatello
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Vitalik Buterin,Colorful Tales
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Vitalik Buterin,Colorful Tales
Elena Rappinskaya,Colorful Tales,Donatello,Vitalik Buterin,Elena Rappinskaya,Colorful Tales
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Dunkirk,Ivan Chordov,Mask of Mystery,Steve Wozniak,Steve Wozniak,Mask of Mystery
Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,Satoshi Nakamoto,application programming interface
Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,Mark Zuckerberg,application programming interface
Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,application programming interface,Aleksandr Tsoi
Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,Mark Zuckerberg,application programming interface
Mark Zuckerberg,Satoshi Nakamoto,Aleksandr Tsoi,application programming interface,Satoshi Nakamoto,application programming interface
Justice League,Bill Gates,Secret Artifact,Operation Transparency,Bill Gates,Justice League
Justice League,Bill Gates,Secret Artifact,Operation Transparency,Bill Gates,Secret Artifact
Justice League,Bill Gates,Secret Artifact,Operation Transparency,Bill Gates,Secret Artifact
Justice League,Bill Gates,Secret Artifact,Operation Transparency,Bill Gates,Secret Artifact
Justice League,Bill Gates,Secret Artifact,Operation Transparency,Bill Gates,Secret Artifact
Ilya Segalovich,Vitalik Buterin,Steve Wozniak,Eugen Rochko,Steve Wozniak,Eugen Rochko
Ilya Segalovich,Vitalik Buterin,Steve Wozniak,Eugen Rochko,Steve Wozniak,Ilya Segalovich
Ilya Segalovich,Vitalik Buterin,Steve Wozniak,Eugen Rochko,Steve Wozniak,Vitalik Buterin
Ilya Segalovich,Vitalik Buterin,Steve Wozniak,Eugen Rochko,Steve Wozniak,Eugen Rochko
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Vitalik Buterin,Paul G. Allen
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Steve Wozniak,Ada Lovelace
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Paul G. Allen,Mark Zuckerberg
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Steve Wozniak,Julian Assange
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Paul G. Allen,Eugen Rochko
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Steve Wozniak,Julian Assange
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Paul G. Allen,Eugen Rochko
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Steve Wozniak,Ada Lovelace
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Mark Zuckerberg,Paul G. Allen
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Ada Lovelace,Vitalik Buterin
Vitalik Buterin,Paul G. Allen,Mark Zuckerberg,Eugen Rochko,Mark Zuckerberg,Vitalik Buterin
Vitalik Buterin,Steve Wozniak,Julian Assange,Ada Lovelace,Steve Wozniak,Vitalik Buterin
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Steve Wozniak,Markus Persson
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Mark Zuckerberg,Eugen Rochko
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Steve Wozniak,Eugen Rochko
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Steve Wozniak,Eugen Rochko
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Mark Zuckerberg,Markus Persson
Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,Steve Wozniak,Markus Persson
