Item1,Item2,Item3,Item4,BestItem,WorstItem
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The Little Mermaid,"The Karate Kid, Part III"
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The Little Mermaid,"The Karate Kid, Part III"
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The French Dispatch,"The Karate Kid, Part III"
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The Little Mermaid,"The Karate Kid, Part III"
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The Little Mermaid,"The Karate Kid, Part III"
"The Karate Kid, Part III",The French Dispatch,The Little Mermaid,365 Days: This Day,The French Dispatch,The Little Mermaid
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,After We Fell,"The Karate Kid, Part III"
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,After We Fell,Good Will Hunting
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,The French Dispatch,After We Fell
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,Good Will Hunting,"The Karate Kid, Part III"
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,Good Will Hunting,"The Karate Kid, Part III"
After We Fell,The French Dispatch,"The Karate Kid, Part III",Good Will Hunting,After We Fell,The French Dispatch
Journey to the Third Dimension,Hacksaw Ridge,Agent's Shadow,Tupac Shakur,Hacksaw Ridge,Tupac Shakur
Journey to the Third Dimension,Hacksaw Ridge,Agent's Shadow,Tupac Shakur,Journey to the Third Dimension,Tupac Shakur
Journey to the Third Dimension,Hacksaw Ridge,Agent's Shadow,Tupac Shakur,Agent's Shadow,Tupac Shakur
Journey to the Third Dimension,Hacksaw Ridge,Agent's Shadow,Tupac Shakur,Hacksaw Ridge,Tupac Shakur
After We Collided,Top Gun,West Side Story,The Grand Budapest Hotel,West Side Story,Top Gun
