Item1,Item2,Item3,Item4,BestItem,WorstItem
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Dark
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Ahsoka
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Dark
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Obi-Wan Kenobi
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Dark
Dark,Star Trek: The Original Series,Obi-Wan Kenobi,Ahsoka,Star Trek: The Original Series,Obi-Wan Kenobi
Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series,Star Trek: The Next Generation,Twin Peaks
Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series,Star Trek: The Original Series,Twin Peaks
Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series,Star Trek: The Next Generation,Twin Peaks
Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series,Star Trek: The Next Generation,Obi-Wan Kenobi
Star Trek: The Next Generation,Twin Peaks,Obi-Wan Kenobi,Star Trek: The Original Series,Star Trek: The Original Series,Obi-Wan Kenobi
Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Doctor Who,Marvel Cinematic Universe
Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Doctor Who,Marvel Cinematic Universe
Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Doctor Who,Marvel Cinematic Universe
Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Star Trek: Discovery,Marvel Cinematic Universe
Doctor Who,Obi-Wan Kenobi,Marvel Cinematic Universe,Star Trek: Discovery,Doctor Who,Marvel Cinematic Universe
Stranger Things,Doctor Who,Star Trek: Discovery,The Mandalorian,Star Trek: Discovery,Stranger Things
Stranger Things,Doctor Who,Star Trek: Discovery,The Mandalorian,Doctor Who,Stranger Things
Stranger Things,Doctor Who,Star Trek: Discovery,The Mandalorian,Stranger Things,Doctor Who
Stranger Things,Doctor Who,Star Trek: Discovery,The Mandalorian,Doctor Who,Stranger Things
Stranger Things,Doctor Who,Star Trek: Discovery,The Mandalorian,Doctor Who,Star Trek: Discovery
Doctor Who,Star Trek: The Original Series,Star Trek: Picard,Star Trek: The Next Generation,Doctor Who,Star Trek: The Next Generation
