Item1,Item2,Item3,Item4,BestItem,WorstItem
relief sculpture,Pietà,Lion man of the Hohlenstein Stadel,Venus of Galgenberg,Pietà,relief sculpture
relief sculpture,Pietà,Lion man of the Hohlenstein Stadel,Venus of Galgenberg,Venus of Galgenberg,Pietà
relief sculpture,Pietà,Lion man of the Hohlenstein Stadel,Venus of Galgenberg,Lion man of the Hohlenstein Stadel,Pietà
relief sculpture,Pietà,Lion man of the Hohlenstein Stadel,Venus of Galgenberg,Lion man of the Hohlenstein Stadel,Pietà
Fallen Astronaut,Bacchus,relief sculpture,Sheela na gig,Fallen Astronaut,relief sculpture
Fallen Astronaut,Bacchus,relief sculpture,Sheela na gig,Bacchus,Sheela na gig
Fallen Astronaut,Bacchus,relief sculpture,Sheela na gig,Bacchus,relief sculpture
Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,Venus de Milo,Laocoön and His Sons
Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,Venus de Milo,Zbruch Idol
Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,Venus de Milo,Zbruch Idol
Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,Laocoön and His Sons,Zbruch Idol
Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,Venus de Milo,Laocoön and His Sons
Bacchus,terracotta,Victory Arch,Venus of Willendorf,Victory Arch,Bacchus
Bacchus,terracotta,Victory Arch,Venus of Willendorf,Bacchus,terracotta
Bacchus,terracotta,Victory Arch,Venus of Willendorf,Victory Arch,terracotta
Bacchus,terracotta,Victory Arch,Venus of Willendorf,Venus of Willendorf,Bacchus
Bacchus,terracotta,Victory Arch,Venus of Willendorf,Venus of Willendorf,terracotta
Capitoline Wolf,death mask,Bacchus,terracotta,Bacchus,death mask
Capitoline Wolf,death mask,Bacchus,terracotta,Bacchus,terracotta
Capitoline Wolf,death mask,Bacchus,terracotta,Capitoline Wolf,Bacchus
Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,Venus of Willendorf,Network Adventure
Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,Venus of Willendorf,Secret Games
Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,Venus of Willendorf,Secret Games
Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,Venus of Willendorf,Secret Games
Venus of Willendorf,Network Adventure,Chikatilo,Secret Games,Venus of Willendorf,Network Adventure
Jack Dorsey,Kyffhäuser Monument,Elena Numericalova,Alexey Building,Kyffhäuser Monument,Jack Dorsey
Jack Dorsey,Kyffhäuser Monument,Elena Numericalova,Alexey Building,Kyffhäuser Monument,Jack Dorsey
