Item1,Item2,Item3,Item4,BestItem,WorstItem
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Curse of the Tomb
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Curse of the Tomb
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Curse of the Tomb
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Curse of the Tomb
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Elena Numericalova
Dirk Nowitzki,Curse of the Tomb,Elena Numericalova,Ricky Gervais,Ricky Gervais,Curse of the Tomb
Hans Frank,Nick Kroll,Frank Sinatra,Mystery of Hopelessness,Nick Kroll,Mystery of Hopelessness
Hans Frank,Nick Kroll,Frank Sinatra,Mystery of Hopelessness,Nick Kroll,Frank Sinatra
Hans Frank,Nick Kroll,Frank Sinatra,Mystery of Hopelessness,Hans Frank,Frank Sinatra
Hans Frank,Nick Kroll,Frank Sinatra,Mystery of Hopelessness,Nick Kroll,Frank Sinatra
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Kumail Nanjiani,Leonid Yarmolnik
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Kumail Nanjiani,Leonid Yarmolnik
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Kumail Nanjiani,Garik Martirosyan
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Brett Goldstein,Leonid Yarmolnik
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Brett Goldstein,Leonid Yarmolnik
Garik Martirosyan,Leonid Yarmolnik,Kumail Nanjiani,Brett Goldstein,Brett Goldstein,Garik Martirosyan
Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani,Brett Goldstein,Jemaine Clement
Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani,Chelsea Peretti,Kumail Nanjiani
Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani,Brett Goldstein,Kumail Nanjiani
Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani,Jemaine Clement,Kumail Nanjiani
Jemaine Clement,Brett Goldstein,Chelsea Peretti,Kumail Nanjiani,Brett Goldstein,Kumail Nanjiani
Kumail Nanjiani,Garik Martirosyan,Chris Rock,Robin Williams,Chris Rock,Garik Martirosyan
Kumail Nanjiani,Garik Martirosyan,Chris Rock,Robin Williams,Chris Rock,Kumail Nanjiani
Kumail Nanjiani,Garik Martirosyan,Chris Rock,Robin Williams,Chris Rock,Garik Martirosyan
Kumail Nanjiani,Garik Martirosyan,Chris Rock,Robin Williams,Chris Rock,Garik Martirosyan
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,Maxim Galkin,John Mulaney
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,Brett Goldstein,Stephen Merchant
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,Stephen Merchant,Maxim Galkin
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,John Mulaney,Maxim Galkin
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,Maxim Galkin,John Mulaney
Brett Goldstein,Maxim Galkin,Stephen Merchant,John Mulaney,John Mulaney,Maxim Galkin
John Mulaney,Sergey Pakhomov,Ricky Gervais,Chelsea Peretti,John Mulaney,Chelsea Peretti
John Mulaney,Sergey Pakhomov,Ricky Gervais,Chelsea Peretti,Ricky Gervais,Sergey Pakhomov
John Mulaney,Sergey Pakhomov,Ricky Gervais,Chelsea Peretti,John Mulaney,Chelsea Peretti
John Mulaney,Sergey Pakhomov,Ricky Gervais,Chelsea Peretti,Ricky Gervais,Sergey Pakhomov
