topic,Spearman,Pearson
англичане,0.8678,0.9013
штат США,0.8719,0.8492
специалист в области информатики,0.7549,0.7880
американцы США,0.9185,0.9367
турки,0.9251,0.9477
спортивный симулятор,0.9041,0.9312
рождественский фильм,0.9351,0.9604
животные,0.9291,0.9577
политолог,0.6703,0.6775
криминальный телесериал,0.8938,0.9186
научная фантастика на телевидении,0.8871,0.9019
литература ужасов,0.6140,0.7807
боевые искусства,0.8515,0.8758
музыкальная компьютерная игра,0.8036,0.8059
бас гитарист,0.7245,0.8196
музей современного искусства,0.9197,0.9262
президент США,0.9313,0.9565
актёр,0.9140,0.9252
приключенческий фильм,0.6708,0.7706
action,0.6233,0.6497
фильм тайна,0.7770,0.8056
рэпер,0.9408,0.9401
философ,0.8999,0.9280
спортсмен,0.8082,0.8481
многопользовательская игра,0.7528,0.7803
шпионский фильм,0.6645,0.6758
гора,0.9022,0.9543
инженер,0.8624,0.8783
математик,0.8509,0.8690
архитектор,0.8768,0.8747
китайцы,0.8580,0.9506
криминальный фильм,0.8546,0.9131
афроамериканцы,0.9297,0.9231
баскетболист,0.7597,0.8295
музыкальный жанр,0.9201,0.9158
скульптура,0.8202,0.8393
индийцы,0.9089,0.9227
фильм ужасов,0.8929,0.9057
100 женщин,0.7020,0.7272
немцы,0.9720,0.9564
фильм сказка,0.9419,0.9521
гитарист,0.8744,0.8818
итальянцы,0.8985,0.9526
боевик,0.9076,0.9044
спортивный фильм,0.8675,0.8667
теннисист,0.6998,0.8434
компьютерная стратегическая игра,0.7788,0.8148
борец за права женщин,0.7009,0.7551
учёный,0.8979,0.9194
джазмен,0.9139,0.9038
модельер,0.8030,0.8798
исторический фильм,0.8211,0.8523
растения,0.8780,0.9037
пианист,0.7779,0.8081
комедийный телесериал,0.9222,0.9446
пейзажист,0.5114,0.5411
романтический фильм,0.8786,0.9001
детский фильм,0.8889,0.9217
военный фильм,0.8313,0.8772
однопользовательская игра,0.2204,0.2535
художник,0.8192,0.8708
"человек, связанный со спортом",0.7009,0.8284
телефильм,0.8966,0.9137
стендап комик,0.6793,0.7176
аниме фильм,0.7528,0.7895
биолог,0.8407,0.8885
драматический сериал,0.7705,0.7686
программист,0.7272,0.8515
экономист,0.8469,0.9088
большой город в США,0.9671,0.9756
барабанщик,0.7748,0.8782
русские,0.9017,0.9430
3D фильм,0.8028,0.8712
мультфильм,0.9255,0.9421
интернет мем,0.6241,0.6654
