Джейн Фонда	0.281	http://www.wikidata.org/entity/Q41142	100 женщин
Алла Пугачёва	0.26	http://www.wikidata.org/entity/Q80510	100 женщин
Хилари Суонк	0.149	http://www.wikidata.org/entity/Q93187	100 женщин
Рита Морено	0.129	http://www.wikidata.org/entity/Q230151	100 женщин
Урсула фон дер Ляйен	0.115	http://www.wikidata.org/entity/Q60772	100 женщин
Светлана Георгиевна Тихановская	0.086	http://www.wikidata.org/entity/Q97010473	100 женщин
Приянка Чопра	0.064	http://www.wikidata.org/entity/Q158957	100 женщин
Билли Айлиш	0.062	http://www.wikidata.org/entity/Q29564107	100 женщин
Сэльма Блэр	0.052	http://www.wikidata.org/entity/Q264748	100 женщин
Белла Торн	0.043	http://www.wikidata.org/entity/Q208117	100 женщин
Мишель Йео	-0.094	http://www.wikidata.org/entity/Q214289	100 женщин
Джамила Джамил	-0.149	http://www.wikidata.org/entity/Q2404977	100 женщин
Санна Марин	-0.161	http://www.wikidata.org/entity/Q16986436	100 женщин
Аша Бхосле	-0.17	http://www.wikidata.org/entity/Q38393	100 женщин
Елена Владимировна Зеленская	-0.302	http://www.wikidata.org/entity/Q59321885	100 женщин
Минг-На Вен	-0.333	http://www.wikidata.org/entity/Q254205	100 женщин
