Микеланджело	0.646	http://www.wikidata.org/entity/Q5592	архитектор
Альберт Шпеер	0.468	http://www.wikidata.org/entity/Q60045	архитектор
Леонардо да Винчи	0.417	http://www.wikidata.org/entity/Q762	архитектор
Виталий Константинович Калоев	0.312	http://www.wikidata.org/entity/Q554652	архитектор
Рудольф Штайнер	0.267	http://www.wikidata.org/entity/Q78484	архитектор
Томас Джефферсон	0.156	http://www.wikidata.org/entity/Q11812	архитектор
Розенберг, Альфред	0.042	http://www.wikidata.org/entity/Q75849	архитектор
Никлаус, Джек	0.042	http://www.wikidata.org/entity/Q9424	архитектор
Яхья Абдул-Матин II	0.023	http://www.wikidata.org/entity/Q28655334	архитектор
Фарах Пехлеви	-0.042	http://www.wikidata.org/entity/Q164111	архитектор
Вячеслав Геннадьевич Бутусов	-0.191	http://www.wikidata.org/entity/Q1862092	архитектор
Канье Уэст	-0.289	http://www.wikidata.org/entity/Q15935	архитектор
Дудаева, Алла Фёдоровна	-0.292	http://www.wikidata.org/entity/Q4170097	архитектор
Владимир Александрович	-0.312	http://www.wikidata.org/entity/Q312819	архитектор
Ричард Виндзор, герцог Глостерский	-0.354	http://www.wikidata.org/entity/Q170294	архитектор
Андрей Вадимович Макаревич	-0.438	http://www.wikidata.org/entity/Q2227698	архитектор
Елена Владимировна Зеленская	-0.447	http://www.wikidata.org/entity/Q59321885	архитектор
