Майкл Джордан	0.729	http://www.wikidata.org/entity/Q41421	баскетболист
Леброн Джеймс	0.438	http://www.wikidata.org/entity/Q36159	баскетболист
Шакил О’Нил	0.396	http://www.wikidata.org/entity/Q169452	баскетболист
Коби Брайант	0.229	http://www.wikidata.org/entity/Q25369	баскетболист
Пэт Райли	0.13	http://www.wikidata.org/entity/Q335762	баскетболист
Глори Джонсон	0.104	http://www.wikidata.org/entity/Q3109154	баскетболист
Карим Абдул-Джаббар	0.022	http://www.wikidata.org/entity/Q179051	баскетболист
Стефен Карри	0.021	http://www.wikidata.org/entity/Q352159	баскетболист
Ларри Бёрд	-0.021	http://www.wikidata.org/entity/Q190152	баскетболист
Дирк Новицки	-0.062	http://www.wikidata.org/entity/Q44068	баскетболист
Александр Александрович Белов	-0.087	http://www.wikidata.org/entity/Q714318	баскетболист
Кевин Нэш	-0.104	http://www.wikidata.org/entity/Q280793	баскетболист
Джеймс Кэвизел	-0.125	http://www.wikidata.org/entity/Q200841	баскетболист
Джерри Басс	-0.125	http://www.wikidata.org/entity/Q1509908	баскетболист
Хуан Эрнангомес	-0.208	http://www.wikidata.org/entity/Q18644229	баскетболист
Том Селлек	-0.271	http://www.wikidata.org/entity/Q213706	баскетболист
Гринер, Бриттни	-0.292	http://www.wikidata.org/entity/Q2925780	баскетболист
Махершалалхашбаз Али	-0.354	http://www.wikidata.org/entity/Q360531	баскетболист
Ник Нолти	-0.435	http://www.wikidata.org/entity/Q188018	баскетболист
