Николай Иванович Вавилов	0.548	http://www.wikidata.org/entity/Q214926	биолог
Вернадский Владимир Иванович	0.438	http://www.wikidata.org/entity/Q316371	биолог
Роберт Кох	0.427	http://www.wikidata.org/entity/Q37193	биолог
Карл Линней	0.219	http://www.wikidata.org/entity/Q1043	биолог
Трофим Денисович Лысенко	0.208	http://www.wikidata.org/entity/Q294234	биолог
Пауль Эрлих	0.125	http://www.wikidata.org/entity/Q57089	биолог
Жак-Ив Кусто	0.094	http://www.wikidata.org/entity/Q83233	биолог
Готфрид Вильгельм Лейбниц	0.062	http://www.wikidata.org/entity/Q9047	биолог
Ричард Докинз	0.032	http://www.wikidata.org/entity/Q44461	биолог
Марк Бенеке	0.011	http://www.wikidata.org/entity/Q70307	биолог
биология	0.0	http://www.wikidata.org/entity/Q420	биолог
Рудольф Вирхов	-0.052	http://www.wikidata.org/entity/Q76432	биолог
Дэвид Аттенборо	-0.076	http://www.wikidata.org/entity/Q183337	биолог
Мария Владимировна Воронцова	-0.104	http://www.wikidata.org/entity/Q19816371	биолог
Дайан Фосси	-0.129	http://www.wikidata.org/entity/Q234224	биолог
Энн Воджицки	-0.135	http://www.wikidata.org/entity/Q2069573	биолог
Оппенгеймер, Кэтрин	-0.177	http://www.wikidata.org/entity/Q52159113	биолог
Стивен Хилленберг	-0.229	http://www.wikidata.org/entity/Q318750	биолог
Нелл Поттс	-0.301	http://www.wikidata.org/entity/Q6990034	биолог
Шамала Гопалан	-0.302	http://www.wikidata.org/entity/Q60844968	биолог
Ящер	-0.663	http://www.wikidata.org/entity/Q19382	биолог
