На Западном фронте без перемен	0.792	http://www.wikidata.org/entity/Q108837349	военный фильм
Война	0.604	http://www.wikidata.org/entity/Q866673	военный фильм
Солнцепёк	0.375	http://www.wikidata.org/entity/Q108129779	военный фильм
Апокалипсис сегодня	0.227	http://www.wikidata.org/entity/Q182692	военный фильм
Битва при Чосинском водохранилище II	0.208	http://www.wikidata.org/entity/Q110795632	военный фильм
Дюнкерк	0.188	http://www.wikidata.org/entity/Q21935651	военный фильм
Бесславные ублюдки	0.125	http://www.wikidata.org/entity/Q153723	военный фильм
Бункер	0.125	http://www.wikidata.org/entity/Q152857	военный фильм
Союз спасения	0.0	http://www.wikidata.org/entity/Q53704963	военный фильм
Переводчик	-0.125	http://www.wikidata.org/entity/Q110819073	военный фильм
Лодка	-0.188	http://www.wikidata.org/entity/Q62730	военный фильм
Неудержимые 4	-0.188	http://www.wikidata.org/entity/Q108813842	военный фильм
Планета обезьян: Война	-0.227	http://www.wikidata.org/entity/Q19938437	военный фильм
Первый мститель	-0.229	http://www.wikidata.org/entity/Q275120	военный фильм
Унесённые ветром	-0.271	http://www.wikidata.org/entity/Q2875	военный фильм
Чудо-женщина 1984	-0.292	http://www.wikidata.org/entity/Q33408623	военный фильм
Изгой-один. Звёздные войны: Истории	-0.295	http://www.wikidata.org/entity/Q19590955	военный фильм
Чудо-женщина	-0.432	http://www.wikidata.org/entity/Q20502242	военный фильм
Голодные игры: Сойка-пересмешница. Часть 2	-0.458	http://www.wikidata.org/entity/Q10307713	военный фильм
