Виктор Робертович Цой	0.6	http://www.wikidata.org/entity/Q487125	гитарист
Пол Маккартни	0.426	http://www.wikidata.org/entity/Q2599	гитарист
Егор Летов	0.417	http://www.wikidata.org/entity/Q363371	гитарист
Крис Корнелл	0.375	http://www.wikidata.org/entity/Q270935	гитарист
Джон Леннон	0.319	http://www.wikidata.org/entity/Q1203	гитарист
Гарри Стайлз	0.25	http://www.wikidata.org/entity/Q3626966	гитарист
Крис Мартин	0.191	http://www.wikidata.org/entity/Q712860	гитарист
Фредди Меркьюри	0.146	http://www.wikidata.org/entity/Q15869	гитарист
Том Каулитц	0.125	http://www.wikidata.org/entity/Q1622098	гитарист
Круспе, Рихард	0.104	http://www.wikidata.org/entity/Q77040	гитарист
Ривер Феникс	0.083	http://www.wikidata.org/entity/Q106514	гитарист
Джаред Лето	-0.021	http://www.wikidata.org/entity/Q484523	гитарист
Джесси Племонс	-0.062	http://www.wikidata.org/entity/Q1138674	гитарист
Ландерс, Пауль	-0.064	http://www.wikidata.org/entity/Q165644	гитарист
Томми Ли	-0.067	http://www.wikidata.org/entity/Q331748	гитарист
Шура Би-2	-0.067	http://www.wikidata.org/entity/Q4527923	гитарист
Пол Беттани	-0.239	http://www.wikidata.org/entity/Q242707	гитарист
Майков, Павел Сергеевич	-0.362	http://www.wikidata.org/entity/Q3656891	гитарист
Джонни Депп	-0.417	http://www.wikidata.org/entity/Q37175	гитарист
Тейлор Свифт	-0.447	http://www.wikidata.org/entity/Q26876	гитарист
Сергей Безруков	-0.625	http://www.wikidata.org/entity/Q473580	гитарист
Адам Сэндлер	-0.689	http://www.wikidata.org/entity/Q132952	гитарист
