Пиноккио	0.421	http://www.wikidata.org/entity/Q105482844	детский фильм
Один дома	0.365	http://www.wikidata.org/entity/Q105031	детский фильм
История игрушек 4	0.312	http://www.wikidata.org/entity/Q18517638	детский фильм
Гарри Поттер и философский камень	0.25	http://www.wikidata.org/entity/Q102438	детский фильм
Гарри Поттер и тайная комната	0.25	http://www.wikidata.org/entity/Q102244	детский фильм
Гринч — похититель Рождества	0.177	http://www.wikidata.org/entity/Q131864	детский фильм
Миньоны	0.168	http://www.wikidata.org/entity/Q13619743	детский фильм
Чарли и шоколадная фабрика	0.146	http://www.wikidata.org/entity/Q218235	детский фильм
Гарри Поттер и Кубок огня	0.021	http://www.wikidata.org/entity/Q102225	детский фильм
Гарри Поттер и Орден Феникса	-0.01	http://www.wikidata.org/entity/Q102235	детский фильм
Гарри Поттер и узник Азкабана	-0.021	http://www.wikidata.org/entity/Q102448	детский фильм
Эмиль из Лённеберги	-0.284	http://www.wikidata.org/entity/Q557990	детский фильм
Космический джем 2: Новое поколение	-0.323	http://www.wikidata.org/entity/Q56850065	детский фильм
Бесконечная история	-0.458	http://www.wikidata.org/entity/Q316555	детский фильм
Унесённые призраками	-0.5	http://www.wikidata.org/entity/Q155653	детский фильм
Фантастические твари и где они обитают	-0.604	http://www.wikidata.org/entity/Q18199330	детский фильм
