Крёстный отец 2	0.833	http://www.wikidata.org/entity/Q184768	криминальный фильм
Крёстный отец	0.792	http://www.wikidata.org/entity/Q47703	криминальный фильм
Брат 2	0.458	http://www.wikidata.org/entity/Q1528731	криминальный фильм
Убийство в Восточном экспрессе	0.333	http://www.wikidata.org/entity/Q27689100	криминальный фильм
Джентльмены	0.167	http://www.wikidata.org/entity/Q60614686	криминальный фильм
Достать ножи: Стеклянная луковица	0.0	http://www.wikidata.org/entity/Q84712797	криминальный фильм
Достать ножи	-0.021	http://www.wikidata.org/entity/Q57982486	криминальный фильм
Казино «Рояль»	-0.021	http://www.wikidata.org/entity/Q151904	криминальный фильм
Однажды в Голливуде	-0.042	http://www.wikidata.org/entity/Q47300912	криминальный фильм
Тёмный рыцарь	-0.114	http://www.wikidata.org/entity/Q163872	криминальный фильм
Красный дракон	-0.122	http://www.wikidata.org/entity/Q9125658	криминальный фильм
Смерть на Ниле	-0.146	http://www.wikidata.org/entity/Q56816969	криминальный фильм
Kingsman: Золотое кольцо	-0.292	http://www.wikidata.org/entity/Q23780457	криминальный фильм
Колин Фаррелл	-0.312	http://www.wikidata.org/entity/Q172035	криминальный фильм
Амстердам	-0.318	http://www.wikidata.org/entity/Q104830968	криминальный фильм
Бэтгёрл	-0.396	http://www.wikidata.org/entity/Q109860581	криминальный фильм
Изобретая Анну	-0.467	http://www.wikidata.org/entity/Q82396632	криминальный фильм
Корона	-0.488	http://www.wikidata.org/entity/Q20707362	криминальный фильм
