рок-музыка	0.795	http://www.wikidata.org/entity/Q11399	музыкальный жанр
хип-хоп	0.583	http://www.wikidata.org/entity/Q11401	музыкальный жанр
хеви-метал	0.542	http://www.wikidata.org/entity/Q1133657	музыкальный жанр
метал	0.375	http://www.wikidata.org/entity/Q38848	музыкальный жанр
панк-рок	0.366	http://www.wikidata.org/entity/Q3071	музыкальный жанр
рэп	0.295	http://www.wikidata.org/entity/Q6010	музыкальный жанр
альтернативный рок	0.267	http://www.wikidata.org/entity/Q11366	музыкальный жанр
блэк-метал	0.25	http://www.wikidata.org/entity/Q132438	музыкальный жанр
постпанк	0.146	http://www.wikidata.org/entity/Q598929	музыкальный жанр
психоделический рок	-0.021	http://www.wikidata.org/entity/Q206159	музыкальный жанр
краут-рок	-0.042	http://www.wikidata.org/entity/Q320592	музыкальный жанр
евродэнс	-0.067	http://www.wikidata.org/entity/Q216961	музыкальный жанр
шлягер	-0.104	http://www.wikidata.org/entity/Q959583	музыкальный жанр
гранж	-0.104	http://www.wikidata.org/entity/Q11365	музыкальный жанр
ню-метал	-0.159	http://www.wikidata.org/entity/Q263734	музыкальный жанр
Neue Deutsche Härte	-0.229	http://www.wikidata.org/entity/Q213572	музыкальный жанр
трэп	-0.289	http://www.wikidata.org/entity/Q2913982	музыкальный жанр
Neue Deutsche Welle	-0.312	http://www.wikidata.org/entity/Q646679	музыкальный жанр
шугейзинг	-0.458	http://www.wikidata.org/entity/Q272167	музыкальный жанр
EDM	-0.479	http://www.wikidata.org/entity/Q851213	музыкальный жанр
новая волна	-0.479	http://www.wikidata.org/entity/Q187760	музыкальный жанр
Oi!	-0.75	http://www.wikidata.org/entity/Q274401	музыкальный жанр
