Assassin’s Creed Valhalla	0.229	http://www.wikidata.org/entity/Q92464687	однопользовательская игра
God of War Ragnarök	0.188	http://www.wikidata.org/entity/Q99397916	однопользовательская игра
The Last of Us Part II	0.146	http://www.wikidata.org/entity/Q27950674	однопользовательская игра
Call of Duty: Modern Warfare	0.083	http://www.wikidata.org/entity/Q64083878	однопользовательская игра
Resident Evil	0.083	http://www.wikidata.org/entity/Q1248594	однопользовательская игра
God of War	0.083	http://www.wikidata.org/entity/Q390137	однопользовательская игра
Call of Duty 4: Modern Warfare	0.0	http://www.wikidata.org/entity/Q76255	однопользовательская игра
Uncharted: Drake’s Fortune	0.0	http://www.wikidata.org/entity/Q17150	однопользовательская игра
Grand Theft Auto V	-0.021	http://www.wikidata.org/entity/Q17452	однопользовательская игра
Poppy Playtime	-0.021	http://www.wikidata.org/entity/Q109278524	однопользовательская игра
Elden Ring	-0.022	http://www.wikidata.org/entity/Q64826862	однопользовательская игра
Need for Speed: Hot Pursuit	-0.042	http://www.wikidata.org/entity/Q837931	однопользовательская игра
The Secret of Monkey Island	-0.083	http://www.wikidata.org/entity/Q179247	однопользовательская игра
Call of Duty	-0.089	http://www.wikidata.org/entity/Q192156	однопользовательская игра
Call of Duty: Modern Warfare II	-0.104	http://www.wikidata.org/entity/Q110206584	однопользовательская игра
Call of Duty: Black Ops Cold War	-0.167	http://www.wikidata.org/entity/Q98514334	однопользовательская игра
Call of Duty: Vanguard	-0.289	http://www.wikidata.org/entity/Q108054772	однопользовательская игра
