Джо Байден	0.562	http://www.wikidata.org/entity/Q6279	президент США
Дональд Трамп	0.562	http://www.wikidata.org/entity/Q22686	президент США
Барак Обама	0.292	http://www.wikidata.org/entity/Q76	президент США
Джон Фицджеральд Кеннеди	0.281	http://www.wikidata.org/entity/Q9696	президент США
Франклин Делано Рузвельт	0.177	http://www.wikidata.org/entity/Q8007	президент США
Джордж Уокер Буш	0.135	http://www.wikidata.org/entity/Q207	президент США
Джордж Герберт Уокер Буш	0.094	http://www.wikidata.org/entity/Q23505	президент США
Рональд Рейган	0.052	http://www.wikidata.org/entity/Q9960	президент США
Билл Клинтон	0.01	http://www.wikidata.org/entity/Q1124	президент США
Джимми Картер	-0.219	http://www.wikidata.org/entity/Q23685	президент США
Президентские выборы в США в 2020 году	-0.458	http://www.wikidata.org/entity/Q22923830	президент США
США	-0.5	http://www.wikidata.org/entity/Q30	президент США
Вооружённые силы США	-0.812	http://www.wikidata.org/entity/Q11211	президент США
