Item1,Item2,Item3,Item4,BestItem,WorstItem
God of War: Chains of Olympus,Ratchet & Clank: Сквозь миры,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,Suicide Squad: Kill the Justice League
Suicide Squad: Kill the Justice League,action/RPG,Counter-Strike: Global Offensive,Kingdom Hearts,Suicide Squad: Kill the Justice League,action/RPG
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Metal Gear Rising: Revengeance
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Kingdom Hearts
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,action/RPG,Dota 2
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,Dota 2,action/RPG
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,Metal Gear Rising: Revengeance,Dota 2
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,action/RPG,Return to Castle Wolfenstein
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,Metal Gear Rising: Revengeance,Dota 2
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,симулятор выживания,God of War: Chains of Olympus
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,Dota 2,Return to Castle Wolfenstein
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,Dota 2,симулятор выживания
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,action/RPG,Dota 2
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,Dota 2,Ratchet & Clank: Сквозь миры
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,Dota 2,симулятор выживания
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,action/RPG,Ratchet & Clank: Сквозь миры
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,The Last of Us Part II,Ratchet & Clank: Сквозь миры
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Metal Gear Rising: Revengeance
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,Ratchet & Clank: Сквозь миры,S.T.A.L.K.E.R. 2: Сердце Чернобыля
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Suicide Squad: Kill the Justice League,Counter-Strike: Global Offensive
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Suicide Squad: Kill the Justice League,action-adventure
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Counter-Strike: Global Offensive,action-adventure
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Kingdom Hearts
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Suicide Squad: Kill the Justice League,Kingdom Hearts
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,Dota 2,симулятор выживания
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,action/RPG,Ratchet & Clank: Сквозь миры
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,Doom 3,Dota 2
симулятор выживания,Dota 2,God of War: Chains of Olympus,Doom 3,Dota 2,Doom 3
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Ratchet & Clank: Сквозь миры
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,Ratchet & Clank: Сквозь миры,The Last of Us Part II
Ratchet & Clank: Сквозь миры,Metal Gear Rising: Revengeance,S.T.A.L.K.E.R. 2: Сердце Чернобыля,The Last of Us Part II,Ratchet & Clank: Сквозь миры,The Last of Us Part II
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Counter-Strike: Global Offensive,Suicide Squad: Kill the Justice League
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Counter-Strike: Global Offensive,action-adventure
Death Stranding,Counter-Strike: Global Offensive,action-adventure,Suicide Squad: Kill the Justice League,Counter-Strike: Global Offensive,action-adventure
Kingdom Hearts,Metal Gear Rising: Revengeance,Suicide Squad: Kill the Justice League,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Metal Gear Rising: Revengeance,Kingdom Hearts
action/RPG,Ratchet & Clank: Сквозь миры,Dota 2,Return to Castle Wolfenstein,Return to Castle Wolfenstein,action/RPG
Return to Castle Wolfenstein,Dota 2,Metal Gear Rising: Revengeance,action/RPG,Return to Castle Wolfenstein,action/RPG
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,God of War: Chains of Olympus,action/RPG
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus
Metal Gear Rising: Revengeance,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля,God of War: Chains of Olympus,action/RPG,S.T.A.L.K.E.R. 2: Сердце Чернобыля
