Item1,Item2,Item3,Item4,BestItem,WorstItem
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Джонни Депп,Талула Райли
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Дженнифер Коннелли,Талула Райли
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Джонни Депп,Родольфо Гуччи
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Дженнифер Коннелли,Ванесса Паради
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Джонни Депп,Ванесса Паради
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Джонни Депп,Ванесса Паради
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Дженнифер Коннелли,Талула Райли
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Талула Райли,Джонни Депп
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Дженнифер Коннелли,Ванесса Паради
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Талула Райли,Зои Кравиц
Ванесса Паради,Джонни Депп,Талула Райли,Родольфо Гуччи,Джонни Депп,Родольфо Гуччи
Талула Райли,Дженнифер Коннелли,Ванесса Паради,Зои Кравиц,Дженнифер Коннелли,Зои Кравиц
Зои Кравиц,Джонни Депп,Кейт Бланшетт,Валерий Тодоровский,Джонни Депп,Валерий Тодоровский
Зои Кравиц,Джонни Депп,Кейт Бланшетт,Валерий Тодоровский,Джонни Депп,Зои Кравиц
Талула Райли,Зендея,Валерий Тодоровский,Стеллан Скарсгард,Зендея,Валерий Тодоровский
Зои Кравиц,Джонни Депп,Кейт Бланшетт,Валерий Тодоровский,Джонни Депп,Зои Кравиц
Талула Райли,Зендея,Валерий Тодоровский,Стеллан Скарсгард,Валерий Тодоровский,Зендея
Талула Райли,Зендея,Валерий Тодоровский,Стеллан Скарсгард,Стеллан Скарсгард,Валерий Тодоровский
Талула Райли,Зендея,Валерий Тодоровский,Стеллан Скарсгард,Талула Райли,Стеллан Скарсгард
Зои Кравиц,Джонни Депп,Кейт Бланшетт,Валерий Тодоровский,Зои Кравиц,Кейт Бланшетт
Зои Кравиц,Джонни Депп,Кейт Бланшетт,Валерий Тодоровский,Джонни Депп,Зои Кравиц
Талула Райли,Зендея,Валерий Тодоровский,Стеллан Скарсгард,Зендея,Валерий Тодоровский
Вайнона Райдер,Владимир Александрович Зеленский,Валерий Тодоровский,Кейт Бланшетт,Валерий Тодоровский,Владимир Александрович Зеленский
Райан Рейнольдс,Присцилла Пресли,Кейт Бланшетт,Вайнона Райдер,Вайнона Райдер,Райан Рейнольдс
Вайнона Райдер,Владимир Александрович Зеленский,Валерий Тодоровский,Кейт Бланшетт,Владимир Александрович Зеленский,Валерий Тодоровский
Райан Рейнольдс,Присцилла Пресли,Кейт Бланшетт,Вайнона Райдер,Райан Рейнольдс,Присцилла Пресли
Вайнона Райдер,Владимир Александрович Зеленский,Валерий Тодоровский,Кейт Бланшетт,Кейт Бланшетт,Владимир Александрович Зеленский
Вайнона Райдер,Владимир Александрович Зеленский,Валерий Тодоровский,Кейт Бланшетт,Вайнона Райдер,Владимир Александрович Зеленский
Райан Рейнольдс,Присцилла Пресли,Кейт Бланшетт,Вайнона Райдер,Вайнона Райдер,Присцилла Пресли
