Item1,Item2,Item3,Item4,BestItem,WorstItem
афроамериканцы,Джон Дэвисон Рокфеллер,белые американцы,Братья Коэн,Джон Дэвисон Рокфеллер,афроамериканцы
афроамериканцы,Джон Дэвисон Рокфеллер,белые американцы,Братья Коэн,Джон Дэвисон Рокфеллер,Братья Коэн
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джон Дэвисон Рокфеллер,Игорь Иванович Сикорский
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джон Дэвисон Рокфеллер,Игорь Иванович Сикорский
Джей Кей Симмонс,Джулианна Маргулис,Лиза Боне,Братья Коэн,Братья Коэн,Джей Кей Симмонс
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джон Дэвисон Рокфеллер,Игорь Иванович Сикорский
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,белые американцы,Ава Гарднер
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,белые американцы,Джон Дэвисон Рокфеллер
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,белые американцы,Лиза Боне
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,белые американцы,Лиза Боне
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,Джон Дэвисон Рокфеллер,белые американцы
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Джей Кей Симмонс,Гражданство США
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Джулианна Маргулис,Гражданство США
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Гражданство США,Джей Кей Симмонс
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Джулианна Маргулис,Гражданство США
афроамериканцы,коренные народы США,Томас Алва Эдисон,Игорь Иванович Сикорский,коренные народы США,Игорь Иванович Сикорский
афроамериканцы,Джон Дэвисон Рокфеллер,белые американцы,Братья Коэн,Братья Коэн,Джон Дэвисон Рокфеллер
Джей Кей Симмонс,Джулианна Маргулис,Лиза Боне,Братья Коэн,Братья Коэн,Джулианна Маргулис
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джон Дэвисон Рокфеллер,Дороти Воган
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джей Кей Симмонс,Игорь Иванович Сикорский
Джей Кей Симмонс,Джулианна Маргулис,Лиза Боне,Братья Коэн,Джей Кей Симмонс,Лиза Боне
белые американцы,Лиза Боне,Ава Гарднер,Джон Дэвисон Рокфеллер,Джон Дэвисон Рокфеллер,белые американцы
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Лиза Боне,Джей Кей Симмонс
Лиза Боне,Джей Кей Симмонс,Джулианна Маргулис,Гражданство США,Джей Кей Симмонс,Гражданство США
афроамериканцы,коренные народы США,Томас Алва Эдисон,Игорь Иванович Сикорский,Томас Алва Эдисон,коренные народы США
афроамериканцы,коренные народы США,Томас Алва Эдисон,Игорь Иванович Сикорский,коренные народы США,Игорь Иванович Сикорский
афроамериканцы,коренные народы США,Томас Алва Эдисон,Игорь Иванович Сикорский,коренные народы США,Игорь Иванович Сикорский
афроамериканцы,коренные народы США,Томас Алва Эдисон,Игорь Иванович Сикорский,коренные народы США,Игорь Иванович Сикорский
Джей Кей Симмонс,Джулианна Маргулис,Лиза Боне,Братья Коэн,Братья Коэн,Лиза Боне
Джей Кей Симмонс,Джулианна Маргулис,Лиза Боне,Братья Коэн,Братья Коэн,Лиза Боне
Джон Дэвисон Рокфеллер,Дороти Воган,Игорь Иванович Сикорский,Джей Кей Симмонс,Джон Дэвисон Рокфеллер,Игорь Иванович Сикорский
Лиза Боне,афроамериканцы,Джон Дэвисон Рокфеллер,коренные народы США,коренные народы США,Джон Дэвисон Рокфеллер
Лиза Боне,афроамериканцы,Джон Дэвисон Рокфеллер,коренные народы США,коренные народы США,Лиза Боне
Ава Гарднер,Братья Коэн,Томас Алва Эдисон,китайцы в США,китайцы в США,Братья Коэн
Лиза Боне,афроамериканцы,Джон Дэвисон Рокфеллер,коренные народы США,коренные народы США,афроамериканцы
Ава Гарднер,Братья Коэн,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,китайцы в США
Ава Гарднер,Братья Коэн,Томас Алва Эдисон,китайцы в США,Братья Коэн,китайцы в США
Ава Гарднер,Братья Коэн,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,китайцы в США
Лиза Боне,афроамериканцы,Джон Дэвисон Рокфеллер,коренные народы США,коренные народы США,Лиза Боне
Ава Гарднер,Братья Коэн,Томас Алва Эдисон,китайцы в США,Братья Коэн,китайцы в США
Гражданство США,коренные народы США,Игорь Иванович Сикорский,Джулианна Маргулис,коренные народы США,Игорь Иванович Сикорский
Гражданство США,коренные народы США,Игорь Иванович Сикорский,Джулианна Маргулис,коренные народы США,Гражданство США
Игорь Иванович Сикорский,Братья Коэн,Гражданство США,Лиза Боне,Братья Коэн,Игорь Иванович Сикорский
Гражданство США,белые американцы,Томас Алва Эдисон,Ава Гарднер,Гражданство США,Ава Гарднер
Игорь Иванович Сикорский,Братья Коэн,Гражданство США,Лиза Боне,Гражданство США,Братья Коэн
Гражданство США,белые американцы,Томас Алва Эдисон,Ава Гарднер,Гражданство США,Томас Алва Эдисон
Игорь Иванович Сикорский,Братья Коэн,Гражданство США,Лиза Боне,Братья Коэн,Гражданство США
Игорь Иванович Сикорский,Братья Коэн,Гражданство США,Лиза Боне,Братья Коэн,Гражданство США
Гражданство США,белые американцы,Томас Алва Эдисон,Ава Гарднер,Гражданство США,Ава Гарднер
Гражданство США,белые американцы,Томас Алва Эдисон,Ава Гарднер,Гражданство США,белые американцы
Гражданство США,белые американцы,Томас Алва Эдисон,Ава Гарднер,Гражданство США,Томас Алва Эдисон
Джей Кей Симмонс,Джулианна Маргулис,белые американцы,Гражданство США,Гражданство США,Джей Кей Симмонс
Джей Кей Симмонс,Джулианна Маргулис,белые американцы,Гражданство США,Джей Кей Симмонс,Гражданство США
Джей Кей Симмонс,Джулианна Маргулис,белые американцы,Гражданство США,Гражданство США,Джей Кей Симмонс
Джей Кей Симмонс,Джулианна Маргулис,белые американцы,Гражданство США,Гражданство США,Джулианна Маргулис
Джей Кей Симмонс,Джулианна Маргулис,белые американцы,Гражданство США,Гражданство США,Джей Кей Симмонс
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Дороти Воган,китайцы в США
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Джей Кей Симмонс,китайцы в США
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,Джей Кей Симмонс
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,китайцы в США
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,китайцы в США
Джей Кей Симмонс,Дороти Воган,Томас Алва Эдисон,китайцы в США,Томас Алва Эдисон,китайцы в США
Ава Гарднер,Джон Дэвисон Рокфеллер,Дороти Воган,коренные народы США,коренные народы США,Ава Гарднер
Томас Алва Эдисон,Джей Кей Симмонс,Джулианна Маргулис,афроамериканцы,Джей Кей Симмонс,афроамериканцы
Томас Алва Эдисон,Джей Кей Симмонс,Джулианна Маргулис,афроамериканцы,Томас Алва Эдисон,афроамериканцы
Ава Гарднер,Джон Дэвисон Рокфеллер,Дороти Воган,коренные народы США,коренные народы США,Джон Дэвисон Рокфеллер
Ава Гарднер,Джон Дэвисон Рокфеллер,Дороти Воган,коренные народы США,Джон Дэвисон Рокфеллер,коренные народы США
Томас Алва Эдисон,Джей Кей Симмонс,Джулианна Маргулис,афроамериканцы,Джей Кей Симмонс,Джулианна Маргулис
Ава Гарднер,Джон Дэвисон Рокфеллер,Дороти Воган,коренные народы США,коренные народы США,Ава Гарднер
Ава Гарднер,Джон Дэвисон Рокфеллер,Дороти Воган,коренные народы США,коренные народы США,Джон Дэвисон Рокфеллер
Томас Алва Эдисон,Джей Кей Симмонс,Джулианна Маргулис,афроамериканцы,Томас Алва Эдисон,Джулианна Маргулис
Томас Алва Эдисон,Джей Кей Симмонс,Джулианна Маргулис,афроамериканцы,афроамериканцы,Джулианна Маргулис
