Item1,Item2,Item3,Item4,BestItem,WorstItem
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Джордж Оруэлл,Доктор Ливси
Доктор Ливси,Джордж Оруэлл,Аня Тейлор-Джой,Дэниел Дэй-Льюис,Джордж Оруэлл,Аня Тейлор-Джой
Доктор Ливси,Джордж Оруэлл,Аня Тейлор-Джой,Дэниел Дэй-Льюис,Джордж Оруэлл,Доктор Ливси
Доктор Ливси,Джордж Оруэлл,Аня Тейлор-Джой,Дэниел Дэй-Льюис,Джордж Оруэлл,Доктор Ливси
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Том Харди,Доктор Ливси
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Джордж Оруэлл,Доктор Ливси
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Роджер Мур,Доктор Ливси
Доктор Ливси,Аня Тейлор-Джой,Роджер Мур,Исаак Ньютон,Исаак Ньютон,Доктор Ливси
Доктор Ливси,Аня Тейлор-Джой,Роджер Мур,Исаак Ньютон,Исаак Ньютон,Доктор Ливси
Доктор Ливси,Аня Тейлор-Джой,Роджер Мур,Исаак Ньютон,Исаак Ньютон,Роджер Мур
Доктор Ливси,Аня Тейлор-Джой,Роджер Мур,Исаак Ньютон,Исаак Ньютон,Роджер Мур
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен","Фрейд, Люсьен",Дэниел Дэй-Льюис
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Том Харди,Доктор Ливси
Доктор Ливси,Джордж Оруэлл,Аня Тейлор-Джой,Дэниел Дэй-Льюис,Джордж Оруэлл,Аня Тейлор-Джой
Доктор Ливси,Том Харди,Джордж Оруэлл,Роджер Мур,Том Харди,Доктор Ливси
Доктор Ливси,Аня Тейлор-Джой,Роджер Мур,Исаак Ньютон,Доктор Ливси,Исаак Ньютон
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен",Роджер Мур,"Фрейд, Люсьен"
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен",Роджер Мур,Доктор Ливси
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен",Дэниел Дэй-Льюис,"Фрейд, Люсьен"
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен",Роджер Мур,Дэниел Дэй-Льюис
Доктор Ливси,Джордж Оруэлл,Аня Тейлор-Джой,Дэниел Дэй-Льюис,Доктор Ливси,Аня Тейлор-Джой
Роджер Мур,Дэниел Дэй-Льюис,Доктор Ливси,"Фрейд, Люсьен","Фрейд, Люсьен",Дэниел Дэй-Льюис
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Том Харди,Аня Тейлор-Джой
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Том Харди,Гарри Поттер
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Гарри Поттер,Аня Тейлор-Джой
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Том Харди,Аня Тейлор-Джой
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Том Харди,Гарри Поттер
Том Харди,Гарри Поттер,Аня Тейлор-Джой,Роджер Мур,Гарри Поттер,Аня Тейлор-Джой
Джордж Оруэлл,Исаак Ньютон,"Колби, Энджел",Уильям Блейк,Джордж Оруэлл,"Колби, Энджел"
Джордж Оруэлл,Исаак Ньютон,"Колби, Энджел",Уильям Блейк,Уильям Блейк,Джордж Оруэлл
"Колби, Энджел",Клинт Иствуд,Гарри Поттер,Аня Тейлор-Джой,Клинт Иствуд,Гарри Поттер
"Колби, Энджел",Клинт Иствуд,Гарри Поттер,Аня Тейлор-Джой,Гарри Поттер,Клинт Иствуд
"Колби, Энджел",Клинт Иствуд,Гарри Поттер,Аня Тейлор-Джой,Гарри Поттер,Аня Тейлор-Джой
Клинт Иствуд,Том Харди,Исаак Ньютон,Роджер Мур,Клинт Иствуд,Том Харди
Клинт Иствуд,Том Харди,Исаак Ньютон,Роджер Мур,Исаак Ньютон,Роджер Мур
Клинт Иствуд,Том Харди,Исаак Ньютон,Роджер Мур,Исаак Ньютон,Роджер Мур
Гарри Поттер,Исаак Ньютон,"Фрейд, Люсьен",Аня Тейлор-Джой,Гарри Поттер,"Фрейд, Люсьен"
Гарри Поттер,Исаак Ньютон,"Фрейд, Люсьен",Аня Тейлор-Джой,Исаак Ньютон,Аня Тейлор-Джой
Клинт Иствуд,Том Харди,Исаак Ньютон,Роджер Мур,Клинт Иствуд,Исаак Ньютон
Гарри Поттер,Исаак Ньютон,"Фрейд, Люсьен",Аня Тейлор-Джой,Исаак Ньютон,Аня Тейлор-Джой
