Item1,Item2,Item3,Item4,BestItem,WorstItem
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Ая и ведьма,Навсикая из Долины ветров
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Навсикая из Долины ветров,Красавица и дракон
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Навсикая из Долины ветров,Красавица и дракон
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time
Навсикая из Долины ветров,Красавица и дракон,Ая и ведьма,Evangelion: 3.0+1.0: Thrice Upon a Time,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,Красавица и дракон
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,аниме,Neon Genesis Evangelion: The End of Evangelion
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,аниме
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,Принцесса Мононокэ,Красавица и дракон
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,аниме,Красавица и дракон
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Небесный замок Лапута,Навсикая из Долины ветров
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Красавица и дракон,Ходячий замок
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Красавица и дракон,Neon Genesis Evangelion: Death & Rebirth
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Ходячий замок,Красавица и дракон
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Neon Genesis Evangelion: Death & Rebirth,Ветер крепчает
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Ходячий замок,Neon Genesis Evangelion: Death & Rebirth
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Принцесса Мононокэ,Ветер крепчает
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Принцесса Мононокэ,Ветер крепчает
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Твоё имя
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Небесный замок Лапута,Истребитель демонов: Поезд «Бесконечный»
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Небесный замок Лапута,Neon Genesis Evangelion: Death & Rebirth
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Небесный замок Лапута,Истребитель демонов: Поезд «Бесконечный»
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,Навсикая из Долины ветров,Neon Genesis Evangelion: The End of Evangelion
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,аниме,Neon Genesis Evangelion: The End of Evangelion
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,Принцесса Мононокэ,Neon Genesis Evangelion: The End of Evangelion
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,Красавица и дракон,аниме
Принцесса Мононокэ,Красавица и дракон,аниме,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,Красавица и дракон
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Навсикая из Долины ветров,Твоё имя
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Навсикая из Долины ветров,Твоё имя
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Навсикая из Долины ветров,Твоё имя
Neon Genesis Evangelion: Death & Rebirth,Красавица и дракон,Ветер крепчает,Ходячий замок,Ходячий замок,Neon Genesis Evangelion: Death & Rebirth
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Твоё имя,Ая и ведьма
Твоё имя,Навсикая из Долины ветров,Ая и ведьма,Небесный замок Лапута,Небесный замок Лапута,Ая и ведьма
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Небесный замок Лапута,Evangelion: 3.0+1.0: Thrice Upon a Time
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Ветер крепчает,Evangelion: 3.0+1.0: Thrice Upon a Time
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,Твоё имя
Ая и ведьма,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Принцесса Мононокэ,Принцесса Мононокэ,Ая и ведьма
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,Навсикая из Долины ветров,аниме
Навсикая из Долины ветров,аниме,Небесный замок Лапута,Neon Genesis Evangelion: The End of Evangelion,аниме,Neon Genesis Evangelion: The End of Evangelion
Evangelion: 3.0+1.0: Thrice Upon a Time,Ветер крепчает,Принцесса Мононокэ,Небесный замок Лапута,Принцесса Мононокэ,Ветер крепчает
Истребитель демонов: Поезд «Бесконечный»,Небесный замок Лапута,Твоё имя,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Neon Genesis Evangelion: Death & Rebirth
Ая и ведьма,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Принцесса Мононокэ,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»
Ая и ведьма,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Принцесса Мононокэ,Принцесса Мононокэ,Neon Genesis Evangelion: Death & Rebirth
Ая и ведьма,Neon Genesis Evangelion: Death & Rebirth,Истребитель демонов: Поезд «Бесконечный»,Принцесса Мононокэ,Принцесса Мононокэ,Neon Genesis Evangelion: Death & Rebirth
Ходячий замок,Твоё имя,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time
Ходячий замок,Твоё имя,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time,Evangelion: 3.0+1.0: Thrice Upon a Time,Твоё имя
Ходячий замок,Твоё имя,Красавица и дракон,Evangelion: 3.0+1.0: Thrice Upon a Time,Твоё имя,Красавица и дракон
