Item1,Item2,Item3,Item4,BestItem,WorstItem
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Яхья Абдул-Матин II,Владимир Александрович
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Альберт Шпеер,Яхья Абдул-Матин II
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Альберт Шпеер,Яхья Абдул-Матин II
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Альберт Шпеер,Владимир Александрович
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Альберт Шпеер,Андрей Вадимович Макаревич
Владимир Александрович,Яхья Абдул-Матин II,Андрей Вадимович Макаревич,Альберт Шпеер,Яхья Абдул-Матин II,Владимир Александрович
Яхья Абдул-Матин II,Канье Уэст,Рудольф Штайнер,Томас Джефферсон,Яхья Абдул-Матин II,Томас Джефферсон
Яхья Абдул-Матин II,Канье Уэст,Рудольф Штайнер,Томас Джефферсон,Яхья Абдул-Матин II,Рудольф Штайнер
Альберт Шпеер,Яхья Абдул-Матин II,Вячеслав Геннадьевич Бутусов,Елена Владимировна Зеленская,Яхья Абдул-Матин II,Елена Владимировна Зеленская
Яхья Абдул-Матин II,Канье Уэст,Рудольф Штайнер,Томас Джефферсон,Рудольф Штайнер,Канье Уэст
Альберт Шпеер,Яхья Абдул-Матин II,Вячеслав Геннадьевич Бутусов,Елена Владимировна Зеленская,Альберт Шпеер,Вячеслав Геннадьевич Бутусов
Альберт Шпеер,Яхья Абдул-Матин II,Вячеслав Геннадьевич Бутусов,Елена Владимировна Зеленская,Елена Владимировна Зеленская,Альберт Шпеер
Альберт Шпеер,Яхья Абдул-Матин II,Вячеслав Геннадьевич Бутусов,Елена Владимировна Зеленская,Альберт Шпеер,Вячеслав Геннадьевич Бутусов
Альберт Шпеер,Яхья Абдул-Матин II,Вячеслав Геннадьевич Бутусов,Елена Владимировна Зеленская,Альберт Шпеер,Елена Владимировна Зеленская
Виталий Константинович Калоев,Альберт Шпеер,"Ричард Виндзор, герцог Глостерский",Вячеслав Геннадьевич Бутусов,Виталий Константинович Калоев,"Ричард Виндзор, герцог Глостерский"
Виталий Константинович Калоев,Альберт Шпеер,"Ричард Виндзор, герцог Глостерский",Вячеслав Геннадьевич Бутусов,Вячеслав Геннадьевич Бутусов,Альберт Шпеер
Андрей Вадимович Макаревич,Елена Владимировна Зеленская,Канье Уэст,Виталий Константинович Калоев,Виталий Константинович Калоев,Канье Уэст
Канье Уэст,Фарах Пехлеви,"Ричард Виндзор, герцог Глостерский","Дудаева, Алла Фёдоровна","Дудаева, Алла Фёдоровна",Канье Уэст
Канье Уэст,Фарах Пехлеви,"Ричард Виндзор, герцог Глостерский","Дудаева, Алла Фёдоровна",Фарах Пехлеви,Канье Уэст
Канье Уэст,Фарах Пехлеви,"Ричард Виндзор, герцог Глостерский","Дудаева, Алла Фёдоровна",Канье Уэст,"Ричард Виндзор, герцог Глостерский"
Канье Уэст,Фарах Пехлеви,"Ричард Виндзор, герцог Глостерский","Дудаева, Алла Фёдоровна","Дудаева, Алла Фёдоровна","Ричард Виндзор, герцог Глостерский"
Андрей Вадимович Макаревич,Альберт Шпеер,"Дудаева, Алла Фёдоровна",Леонардо да Винчи,Леонардо да Винчи,"Дудаева, Алла Фёдоровна"
Андрей Вадимович Макаревич,Альберт Шпеер,"Дудаева, Алла Фёдоровна",Леонардо да Винчи,Альберт Шпеер,Андрей Вадимович Макаревич
Андрей Вадимович Макаревич,Альберт Шпеер,"Дудаева, Алла Фёдоровна",Леонардо да Винчи,Леонардо да Винчи,Андрей Вадимович Макаревич
Фарах Пехлеви,"Дудаева, Алла Фёдоровна",Микеланджело,Виталий Константинович Калоев,Микеланджело,Виталий Константинович Калоев
Фарах Пехлеви,"Дудаева, Алла Фёдоровна",Микеланджело,Виталий Константинович Калоев,Виталий Константинович Калоев,"Дудаева, Алла Фёдоровна"
Фарах Пехлеви,"Дудаева, Алла Фёдоровна",Микеланджело,Виталий Константинович Калоев,Микеланджело,Виталий Константинович Калоев
Леонардо да Винчи,Андрей Вадимович Макаревич,Томас Джефферсон,"Никлаус, Джек",Леонардо да Винчи,Андрей Вадимович Макаревич
Леонардо да Винчи,Андрей Вадимович Макаревич,Томас Джефферсон,"Никлаус, Джек",Леонардо да Винчи,"Никлаус, Джек"
Леонардо да Винчи,Андрей Вадимович Макаревич,Томас Джефферсон,"Никлаус, Джек",Леонардо да Винчи,Андрей Вадимович Макаревич
"Дудаева, Алла Фёдоровна",Леонардо да Винчи,"Розенберг, Альфред","Ричард Виндзор, герцог Глостерский","Розенберг, Альфред","Дудаева, Алла Фёдоровна"
"Дудаева, Алла Фёдоровна",Леонардо да Винчи,"Розенберг, Альфред","Ричард Виндзор, герцог Глостерский",Леонардо да Винчи,"Ричард Виндзор, герцог Глостерский"
"Дудаева, Алла Фёдоровна",Леонардо да Винчи,"Розенберг, Альфред","Ричард Виндзор, герцог Глостерский",Леонардо да Винчи,"Дудаева, Алла Фёдоровна"
Андрей Вадимович Макаревич,Елена Владимировна Зеленская,Канье Уэст,Виталий Константинович Калоев,Канье Уэст,Елена Владимировна Зеленская
Андрей Вадимович Макаревич,Елена Владимировна Зеленская,Канье Уэст,Виталий Константинович Калоев,Канье Уэст,Елена Владимировна Зеленская
Андрей Вадимович Макаревич,Елена Владимировна Зеленская,Канье Уэст,Виталий Константинович Калоев,Андрей Вадимович Макаревич,Елена Владимировна Зеленская
Виталий Константинович Калоев,Альберт Шпеер,"Ричард Виндзор, герцог Глостерский",Вячеслав Геннадьевич Бутусов,Виталий Константинович Калоев,Вячеслав Геннадьевич Бутусов
Виталий Константинович Калоев,Альберт Шпеер,"Ричард Виндзор, герцог Глостерский",Вячеслав Геннадьевич Бутусов,Виталий Константинович Калоев,"Ричард Виндзор, герцог Глостерский"
