Item1,Item2,Item3,Item4,BestItem,WorstItem
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Уилл Смит,Конфедеративные Штаты Америки
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Уилл Смит,Джада Пинкетт-Смит
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Уилл Смит,Конфедеративные Штаты Америки
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Уилл Смит,Конфедеративные Штаты Америки
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Конфедеративные Штаты Америки,Уилл Смит
Джада Пинкетт-Смит,Уилл Смит,Серена Уильямс,Конфедеративные Штаты Америки,Серена Уильямс,Уилл Смит
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Дензел Вашингтон,Кристофер Скарвер
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Джими Хендрикс,Джада Пинкетт-Смит
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Дензел Вашингтон,Кристофер Скарвер
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Уилл Смит,Конфедеративные Штаты Америки
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Уилл Смит,Конфедеративные Штаты Америки
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Уилл Смит,Винус Уильямс
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Конфедеративные Штаты Америки,Винус Уильямс
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Канье Уэст,Конфедеративные Штаты Америки
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Уилл Смит,Джейми Фокс
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Барак Обама,Джейми Фокс
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Барак Обама,Джейми Фокс
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Уилл Смит,Джейми Фокс
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Дензел Вашингтон,Кристофер Скарвер
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Джими Хендрикс,Кристофер Скарвер
Конфедеративные Штаты Америки,Уилл Смит,Винус Уильямс,Канье Уэст,Уилл Смит,Конфедеративные Штаты Америки
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Уилл Смит,Джейми Фокс
Уилл Смит,Джейми Фокс,Канье Уэст,Барак Обама,Уилл Смит,Джейми Фокс
Кристофер Скарвер,Джада Пинкетт-Смит,Джими Хендрикс,Дензел Вашингтон,Джада Пинкетт-Смит,Джими Хендрикс
Серена Уильямс,Уилл Смит,Барак Обама,Джими Хендрикс,Барак Обама,Джими Хендрикс
Серена Уильямс,Уилл Смит,Барак Обама,Джими Хендрикс,Уилл Смит,Джими Хендрикс
Джада Пинкетт-Смит,Джими Хендрикс,Кристофер Скарвер,Винус Уильямс,Джими Хендрикс,Джада Пинкетт-Смит
Джада Пинкетт-Смит,Джими Хендрикс,Кристофер Скарвер,Винус Уильямс,Винус Уильямс,Джими Хендрикс
Джада Пинкетт-Смит,Джими Хендрикс,Кристофер Скарвер,Винус Уильямс,Джими Хендрикс,Джада Пинкетт-Смит
Джада Пинкетт-Смит,Джими Хендрикс,Кристофер Скарвер,Винус Уильямс,Винус Уильямс,Кристофер Скарвер
Тупак Шакур,"Харрис, Камала",Конфедеративные Штаты Америки,Канье Уэст,Тупак Шакур,Конфедеративные Штаты Америки
Тупак Шакур,"Харрис, Камала",Конфедеративные Штаты Америки,Канье Уэст,Тупак Шакур,Конфедеративные Штаты Америки
Тупак Шакур,"Харрис, Камала",Конфедеративные Штаты Америки,Канье Уэст,Конфедеративные Штаты Америки,"Харрис, Камала"
Тупак Шакур,"Харрис, Камала",Конфедеративные Штаты Америки,Канье Уэст,Конфедеративные Штаты Америки,Тупак Шакур
Тупак Шакур,"Харрис, Камала",Конфедеративные Штаты Америки,Канье Уэст,Тупак Шакур,Конфедеративные Штаты Америки
Канье Уэст,Серена Уильямс,Джада Пинкетт-Смит,Тупак Шакур,Канье Уэст,Джада Пинкетт-Смит
Канье Уэст,Серена Уильямс,Джада Пинкетт-Смит,Тупак Шакур,Канье Уэст,Джада Пинкетт-Смит
Канье Уэст,Серена Уильямс,Джада Пинкетт-Смит,Тупак Шакур,Канье Уэст,Тупак Шакур
Канье Уэст,Серена Уильямс,Джада Пинкетт-Смит,Тупак Шакур,Серена Уильямс,Джада Пинкетт-Смит
Джими Хендрикс,Кристофер Скарвер,Морган Фримен,Винус Уильямс,Морган Фримен,Винус Уильямс
Джими Хендрикс,Кристофер Скарвер,Морган Фримен,Винус Уильямс,Морган Фримен,Кристофер Скарвер
Джими Хендрикс,Кристофер Скарвер,Морган Фримен,Винус Уильямс,Морган Фримен,Кристофер Скарвер
Джими Хендрикс,Кристофер Скарвер,Морган Фримен,Винус Уильямс,Морган Фримен,Джими Хендрикс
Джими Хендрикс,Кристофер Скарвер,Морган Фримен,Винус Уильямс,Джими Хендрикс,Кристофер Скарвер
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",Тупак Шакур,США
Джими Хендрикс,Барак Обама,Канье Уэст,Кристофер Скарвер,Барак Обама,Джими Хендрикс
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",США,"Харрис, Камала"
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",Дензел Вашингтон,США
Джими Хендрикс,Барак Обама,Канье Уэст,Кристофер Скарвер,Барак Обама,Кристофер Скарвер
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",США,Тупак Шакур
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",США,"Харрис, Камала"
Джими Хендрикс,Барак Обама,Канье Уэст,Кристофер Скарвер,Барак Обама,Кристофер Скарвер
Тупак Шакур,США,Дензел Вашингтон,"Харрис, Камала",Тупак Шакур,США
Джими Хендрикс,Барак Обама,Канье Уэст,Кристофер Скарвер,Канье Уэст,Барак Обама
Джими Хендрикс,Барак Обама,Канье Уэст,Кристофер Скарвер,Канье Уэст,Барак Обама
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Морган Фримен,Винус Уильямс
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Морган Фримен,Серена Уильямс
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Майкл Джексон,Серена Уильямс
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Серена Уильямс,Винус Уильямс
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Морган Фримен,Серена Уильямс
Дензел Вашингтон,Джими Хендрикс,Джейми Фокс,Канье Уэст,Канье Уэст,Джими Хендрикс
Серена Уильямс,Майкл Джексон,Винус Уильямс,Морган Фримен,Морган Фримен,Майкл Джексон
Дензел Вашингтон,Джими Хендрикс,Джейми Фокс,Канье Уэст,Канье Уэст,Дензел Вашингтон
Дензел Вашингтон,Джими Хендрикс,Джейми Фокс,Канье Уэст,Джими Хендрикс,Канье Уэст
Дензел Вашингтон,Джими Хендрикс,Джейми Фокс,Канье Уэст,Джейми Фокс,Дензел Вашингтон
Винус Уильямс,Морган Фримен,Джими Хендрикс,Барак Обама,Барак Обама,Морган Фримен
Дензел Вашингтон,Джими Хендрикс,Джейми Фокс,Канье Уэст,Дензел Вашингтон,Джейми Фокс
Винус Уильямс,Морган Фримен,Джими Хендрикс,Барак Обама,Барак Обама,Джими Хендрикс
Винус Уильямс,Морган Фримен,Джими Хендрикс,Барак Обама,Барак Обама,Винус Уильямс
Винус Уильямс,Морган Фримен,Джими Хендрикс,Барак Обама,Барак Обама,Винус Уильямс
Канье Уэст,Кристофер Скарвер,Джада Пинкетт-Смит,Дензел Вашингтон,Канье Уэст,Дензел Вашингтон
Канье Уэст,Кристофер Скарвер,Джада Пинкетт-Смит,Дензел Вашингтон,Дензел Вашингтон,Кристофер Скарвер
Канье Уэст,Кристофер Скарвер,Джада Пинкетт-Смит,Дензел Вашингтон,Канье Уэст,Дензел Вашингтон
Канье Уэст,Кристофер Скарвер,Джада Пинкетт-Смит,Дензел Вашингтон,Дензел Вашингтон,Кристофер Скарвер
Конфедеративные Штаты Америки,Серена Уильямс,Кристофер Скарвер,Дензел Вашингтон,Дензел Вашингтон,Конфедеративные Штаты Америки
Конфедеративные Штаты Америки,Серена Уильямс,Кристофер Скарвер,Дензел Вашингтон,Дензел Вашингтон,Конфедеративные Штаты Америки
Конфедеративные Штаты Америки,Серена Уильямс,Кристофер Скарвер,Дензел Вашингтон,Дензел Вашингтон,Конфедеративные Штаты Америки
Конфедеративные Штаты Америки,Серена Уильямс,Кристофер Скарвер,Дензел Вашингтон,Дензел Вашингтон,Конфедеративные Штаты Америки
Тупак Шакур,Винус Уильямс,Морган Фримен,США,Тупак Шакур,США
Тупак Шакур,Винус Уильямс,Морган Фримен,США,США,Морган Фримен
Тупак Шакур,Винус Уильямс,Морган Фримен,США,США,Винус Уильямс
Тупак Шакур,Винус Уильямс,Морган Фримен,США,США,Винус Уильямс
Тупак Шакур,Винус Уильямс,Морган Фримен,США,Тупак Шакур,США
Морган Фримен,Тупак Шакур,Уилл Смит,Джада Пинкетт-Смит,Тупак Шакур,Джада Пинкетт-Смит
Морган Фримен,Тупак Шакур,Уилл Смит,Джада Пинкетт-Смит,Морган Фримен,Джада Пинкетт-Смит
Морган Фримен,Тупак Шакур,Уилл Смит,Джада Пинкетт-Смит,Морган Фримен,Джада Пинкетт-Смит
Морган Фримен,Тупак Шакур,Уилл Смит,Джада Пинкетт-Смит,Уилл Смит,Джада Пинкетт-Смит
Морган Фримен,Тупак Шакур,Уилл Смит,Джада Пинкетт-Смит,Морган Фримен,Джада Пинкетт-Смит
