Item1,Item2,Item3,Item4,BestItem,WorstItem
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго","Ландерс, Пауль",Сид Вишес
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго",Джордж Харрисон,"Гонсалес, Родриго"
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго","Ландерс, Пауль","Гонсалес, Родриго"
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго",Джордж Харрисон,"Ландерс, Пауль"
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго","Гонсалес, Родриго",Джордж Харрисон
Сид Вишес,Джордж Харрисон,"Ландерс, Пауль","Гонсалес, Родриго",Джордж Харрисон,Сид Вишес
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,Джордж Харрисон,"Ландерс, Пауль"
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,"Уилсон, Брайан",Джордж Харрисон
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,"Ландерс, Пауль",Роджер Тейлор
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,"Ландерс, Пауль",Роджер Тейлор
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,Джордж Харрисон,"Ландерс, Пауль"
"Ландерс, Пауль","Уилсон, Брайан",Роджер Тейлор,Джордж Харрисон,"Уилсон, Брайан",Джордж Харрисон
Белла Торн,Фли,Джин Симмонс,Клаус Фишер,Клаус Фишер,Белла Торн
Белла Торн,Фли,Джин Симмонс,Клаус Фишер,Клаус Фишер,Белла Торн
Белла Торн,Фли,Джин Симмонс,Клаус Фишер,Клаус Фишер,Фли
Белла Торн,Фли,Джин Симмонс,Клаус Фишер,Джин Симмонс,Фли
Белла Торн,Фли,Джин Симмонс,Клаус Фишер,Клаус Фишер,Фли
Пол Маккартни,Джин Симмонс,"Ландерс, Пауль","Уилсон, Брайан",Пол Маккартни,"Ландерс, Пауль"
Пол Маккартни,Джин Симмонс,"Ландерс, Пауль","Уилсон, Брайан",Пол Маккартни,"Ландерс, Пауль"
Павел Артемьевич Артемьев,Пол Маккартни,Роджер Тейлор,Сергей Владимирович Шнуров,Пол Маккартни,Роджер Тейлор
Пол Маккартни,Белла Торн,Джермейн Джексон,Наталья Юрьевна Чумакова,Джермейн Джексон,Белла Торн
Наталья Юрьевна Чумакова,Глеб Рудольфович Самойлов,Томас Сангстер,Пол Маккартни,Пол Маккартни,Томас Сангстер
Пол Маккартни,Белла Торн,Джермейн Джексон,Наталья Юрьевна Чумакова,Пол Маккартни,Наталья Юрьевна Чумакова
Наталья Юрьевна Чумакова,Глеб Рудольфович Самойлов,Томас Сангстер,Пол Маккартни,Пол Маккартни,Наталья Юрьевна Чумакова
Пол Маккартни,Белла Торн,Джермейн Джексон,Наталья Юрьевна Чумакова,Пол Маккартни,Наталья Юрьевна Чумакова
Наталья Юрьевна Чумакова,"Ландерс, Пауль",Роджер Тейлор,Сид Вишес,"Ландерс, Пауль",Наталья Юрьевна Чумакова
Наталья Юрьевна Чумакова,"Ландерс, Пауль",Роджер Тейлор,Сид Вишес,Сид Вишес,Наталья Юрьевна Чумакова
Наталья Юрьевна Чумакова,"Ландерс, Пауль",Роджер Тейлор,Сид Вишес,"Ландерс, Пауль",Наталья Юрьевна Чумакова
