Item1,Item2,Item3,Item4,BestItem,WorstItem
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Роберт Кох,Вернадский Владимир Иванович
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Вернадский Владимир Иванович,Роберт Кох
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Вернадский Владимир Иванович,Марк Бенеке
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Вернадский Владимир Иванович,Роберт Кох
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Роберт Кох,Мария Владимировна Воронцова
Вернадский Владимир Иванович,Марк Бенеке,Мария Владимировна Воронцова,Роберт Кох,Вернадский Владимир Иванович,Мария Владимировна Воронцова
Дайан Фосси,Нелл Поттс,Дэвид Аттенборо,Николай Иванович Вавилов,Николай Иванович Вавилов,Дайан Фосси
Дайан Фосси,Нелл Поттс,Дэвид Аттенборо,Николай Иванович Вавилов,Николай Иванович Вавилов,Дайан Фосси
Ящер,Марк Бенеке,Дэвид Аттенборо,Ричард Докинз,Марк Бенеке,Ричард Докинз
Ящер,Марк Бенеке,Дэвид Аттенборо,Ричард Докинз,Ричард Докинз,Ящер
Дайан Фосси,"Оппенгеймер, Кэтрин",Вернадский Владимир Иванович,Трофим Денисович Лысенко,"Оппенгеймер, Кэтрин",Трофим Денисович Лысенко
Дайан Фосси,"Оппенгеймер, Кэтрин",Вернадский Владимир Иванович,Трофим Денисович Лысенко,Вернадский Владимир Иванович,Дайан Фосси
Ящер,Марк Бенеке,Дэвид Аттенборо,Ричард Докинз,Ричард Докинз,Ящер
Дайан Фосси,"Оппенгеймер, Кэтрин",Вернадский Владимир Иванович,Трофим Денисович Лысенко,"Оппенгеймер, Кэтрин",Дайан Фосси
Дайан Фосси,"Оппенгеймер, Кэтрин",Вернадский Владимир Иванович,Трофим Денисович Лысенко,Трофим Денисович Лысенко,"Оппенгеймер, Кэтрин"
Дайан Фосси,"Оппенгеймер, Кэтрин",Вернадский Владимир Иванович,Трофим Денисович Лысенко,Дайан Фосси,"Оппенгеймер, Кэтрин"
Готфрид Вильгельм Лейбниц,Трофим Денисович Лысенко,Мария Владимировна Воронцова,Дэвид Аттенборо,Трофим Денисович Лысенко,Дэвид Аттенборо
Роберт Кох,Рудольф Вирхов,Николай Иванович Вавилов,Жак-Ив Кусто,Роберт Кох,Жак-Ив Кусто
Готфрид Вильгельм Лейбниц,Трофим Денисович Лысенко,Мария Владимировна Воронцова,Дэвид Аттенборо,Готфрид Вильгельм Лейбниц,Мария Владимировна Воронцова
Роберт Кох,Рудольф Вирхов,Николай Иванович Вавилов,Жак-Ив Кусто,Николай Иванович Вавилов,Жак-Ив Кусто
Готфрид Вильгельм Лейбниц,Трофим Денисович Лысенко,Мария Владимировна Воронцова,Дэвид Аттенборо,Мария Владимировна Воронцова,Трофим Денисович Лысенко
Роберт Кох,Рудольф Вирхов,Николай Иванович Вавилов,Жак-Ив Кусто,Николай Иванович Вавилов,Роберт Кох
Роберт Кох,Рудольф Вирхов,Николай Иванович Вавилов,Жак-Ив Кусто,Жак-Ив Кусто,Рудольф Вирхов
Николай Иванович Вавилов,Ричард Докинз,Готфрид Вильгельм Лейбниц,Рудольф Вирхов,Николай Иванович Вавилов,Рудольф Вирхов
Николай Иванович Вавилов,Ричард Докинз,Готфрид Вильгельм Лейбниц,Рудольф Вирхов,Николай Иванович Вавилов,Рудольф Вирхов
Дэвид Аттенборо,Пауль Эрлих,Мария Владимировна Воронцова,"Оппенгеймер, Кэтрин","Оппенгеймер, Кэтрин",Мария Владимировна Воронцова
Дэвид Аттенборо,Пауль Эрлих,Мария Владимировна Воронцова,"Оппенгеймер, Кэтрин","Оппенгеймер, Кэтрин",Мария Владимировна Воронцова
"Оппенгеймер, Кэтрин",Шамала Гопалан,Мария Владимировна Воронцова,Энн Воджицки,"Оппенгеймер, Кэтрин",Энн Воджицки
"Оппенгеймер, Кэтрин",Шамала Гопалан,Мария Владимировна Воронцова,Энн Воджицки,"Оппенгеймер, Кэтрин",Мария Владимировна Воронцова
Дэвид Аттенборо,Жак-Ив Кусто,Дайан Фосси,Пауль Эрлих,Дэвид Аттенборо,Пауль Эрлих
Дэвид Аттенборо,Жак-Ив Кусто,Дайан Фосси,Пауль Эрлих,Пауль Эрлих,Дэвид Аттенборо
Дэвид Аттенборо,Жак-Ив Кусто,Дайан Фосси,Пауль Эрлих,Пауль Эрлих,Дэвид Аттенборо
Жак-Ив Кусто,Дайан Фосси,Пауль Эрлих,Энн Воджицки,Жак-Ив Кусто,Энн Воджицки
Жак-Ив Кусто,Дайан Фосси,Пауль Эрлих,Энн Воджицки,Дайан Фосси,Энн Воджицки
Жак-Ив Кусто,Готфрид Вильгельм Лейбниц,Марк Бенеке,Шамала Гопалан,Жак-Ив Кусто,Шамала Гопалан
Жак-Ив Кусто,Готфрид Вильгельм Лейбниц,Марк Бенеке,Шамала Гопалан,Готфрид Вильгельм Лейбниц,Шамала Гопалан
Жак-Ив Кусто,Готфрид Вильгельм Лейбниц,Марк Бенеке,Шамала Гопалан,Жак-Ив Кусто,Шамала Гопалан
Ящер,Мария Владимировна Воронцова,Рудольф Вирхов,"Оппенгеймер, Кэтрин","Оппенгеймер, Кэтрин",Ящер
Ричард Докинз,Трофим Денисович Лысенко,Рудольф Вирхов,Ящер,Трофим Денисович Лысенко,Ящер
Ящер,Мария Владимировна Воронцова,Рудольф Вирхов,"Оппенгеймер, Кэтрин",Мария Владимировна Воронцова,Рудольф Вирхов
Ричард Докинз,Трофим Денисович Лысенко,Рудольф Вирхов,Ящер,Ричард Докинз,Ящер
