Item1,Item2,Item3,Item4,BestItem,WorstItem
Сакраменто,Джуно,Лос-Анджелес,Сан-Франциско,Лос-Анджелес,Сакраменто
Сакраменто,Джуно,Лос-Анджелес,Сан-Франциско,Лос-Анджелес,Джуно
Сакраменто,Джуно,Лос-Анджелес,Сан-Франциско,Лос-Анджелес,Джуно
Сакраменто,Джуно,Лос-Анджелес,Сан-Франциско,Лос-Анджелес,Джуно
Сакраменто,Джуно,Лос-Анджелес,Сан-Франциско,Лос-Анджелес,Джуно
Сиэтл,Пало-Алто,Анкоридж,Кембридж,Сиэтл,Кембридж
Сиэтл,Пало-Алто,Анкоридж,Кембридж,Сиэтл,Кембридж
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Анкоридж
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Анкоридж
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Цинциннати
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Цинциннати
Джуно,Лос-Анджелес,Сиэтл,Бостон,Джуно,Бостон
Джуно,Лос-Анджелес,Сиэтл,Бостон,Лос-Анджелес,Джуно
Джуно,Лос-Анджелес,Сиэтл,Бостон,Лос-Анджелес,Джуно
Джуно,Лос-Анджелес,Сиэтл,Бостон,Лос-Анджелес,Джуно
Джуно,Лос-Анджелес,Сиэтл,Бостон,Лос-Анджелес,Джуно
Джуно,Лос-Анджелес,Сиэтл,Бостон,Лос-Анджелес,Джуно
Новый Орлеан,Атланта,Бостон,Пало-Алто,Новый Орлеан,Пало-Алто
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Новый Орлеан,Кембридж
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Новый Орлеан,Пало-Алто
Новый Орлеан,Атланта,Бостон,Пало-Алто,Бостон,Пало-Алто
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Хьюстон,Пало-Алто
Новый Орлеан,Атланта,Бостон,Пало-Алто,Новый Орлеан,Пало-Алто
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Лос-Анджелес,Пало-Алто
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Лос-Анджелес,Джуно
Новый Орлеан,Атланта,Бостон,Пало-Алто,Бостон,Пало-Алто
Новый Орлеан,Атланта,Бостон,Пало-Алто,Бостон,Пало-Алто
Кембридж,Майами,Новый Орлеан,Джуно,Майами,Джуно
Кембридж,Майами,Новый Орлеан,Джуно,Джуно,Кембридж
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Сан-Франциско,Пало-Алто
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Сан-Франциско,Кембридж
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Сан-Франциско,Цинциннати
Майами,Сан-Франциско,Джуно,Сиэтл,Сан-Франциско,Джуно
Майами,Сан-Франциско,Джуно,Сиэтл,Сиэтл,Джуно
Майами,Сан-Франциско,Джуно,Сиэтл,Сан-Франциско,Джуно
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Цинциннати
Анкоридж,Лос-Анджелес,Сакраменто,Цинциннати,Лос-Анджелес,Сакраменто
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Новый Орлеан,Пало-Алто
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Новый Орлеан,Кембридж
Новый Орлеан,Кембридж,Хьюстон,Пало-Алто,Новый Орлеан,Пало-Алто
Новый Орлеан,Атланта,Бостон,Пало-Алто,Бостон,Пало-Алто
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Атланта,Джуно
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Лос-Анджелес,Пало-Алто
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Лос-Анджелес,Пало-Алто
Джуно,Лос-Анджелес,Пало-Алто,Атланта,Лос-Анджелес,Джуно
Кембридж,Майами,Новый Орлеан,Джуно,Майами,Джуно
Кембридж,Майами,Новый Орлеан,Джуно,Новый Орлеан,Джуно
Кембридж,Майами,Новый Орлеан,Джуно,Новый Орлеан,Джуно
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Сан-Франциско,Кембридж
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Цинциннати,Сан-Франциско
Пало-Алто,Сан-Франциско,Кембридж,Цинциннати,Сан-Франциско,Кембридж
Майами,Сан-Франциско,Джуно,Сиэтл,Сан-Франциско,Джуно
Майами,Сан-Франциско,Джуно,Сиэтл,Сан-Франциско,Джуно
Майами,Сан-Франциско,Джуно,Сиэтл,Сан-Франциско,Джуно
Кембридж,Майами,Новый Орлеан,Джуно,Майами,Джуно
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Пало-Алто
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Пало-Алто
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Джуно
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Джуно
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Пало-Алто
Цинциннати,Бостон,Сакраменто,Пало-Алто,Пало-Алто,Бостон
Пало-Алто,Джуно,Лос-Анджелес,Бостон,Лос-Анджелес,Пало-Алто
Цинциннати,Бостон,Сакраменто,Пало-Алто,Бостон,Сакраменто
Цинциннати,Бостон,Сакраменто,Пало-Алто,Бостон,Пало-Алто
Цинциннати,Бостон,Сакраменто,Пало-Алто,Пало-Алто,Цинциннати
Цинциннати,Бостон,Сакраменто,Пало-Алто,Бостон,Пало-Алто
Анкоридж,Кембридж,Майами,Цинциннати,Цинциннати,Кембридж
Анкоридж,Кембридж,Майами,Цинциннати,Майами,Анкоридж
Анкоридж,Кембридж,Майами,Цинциннати,Майами,Цинциннати
Анкоридж,Кембридж,Майами,Цинциннати,Майами,Кембридж
Атланта,Цинциннати,Майами,Сиэтл,Сиэтл,Цинциннати
Анкоридж,Кембридж,Майами,Цинциннати,Майами,Кембридж
Атланта,Цинциннати,Майами,Сиэтл,Майами,Цинциннати
Атланта,Цинциннати,Майами,Сиэтл,Майами,Атланта
Анкоридж,Кембридж,Майами,Цинциннати,Майами,Анкоридж
Атланта,Цинциннати,Майами,Сиэтл,Майами,Цинциннати
Джуно,Хьюстон,Сан-Франциско,Новый Орлеан,Сан-Франциско,Джуно
Джуно,Хьюстон,Сан-Франциско,Новый Орлеан,Сан-Франциско,Джуно
Джуно,Хьюстон,Сан-Франциско,Новый Орлеан,Сан-Франциско,Джуно
Джуно,Хьюстон,Сан-Франциско,Новый Орлеан,Сан-Франциско,Джуно
Новый Орлеан,Хьюстон,Атланта,Майами,Майами,Хьюстон
Новый Орлеан,Хьюстон,Атланта,Майами,Майами,Атланта
Новый Орлеан,Хьюстон,Атланта,Майами,Майами,Новый Орлеан
Бостон,Хьюстон,Сиэтл,Майами,Майами,Бостон
Пало-Алто,Лос-Анджелес,Сакраменто,Новый Орлеан,Лос-Анджелес,Пало-Алто
Пало-Алто,Лос-Анджелес,Сакраменто,Новый Орлеан,Лос-Анджелес,Новый Орлеан
Бостон,Хьюстон,Сиэтл,Майами,Бостон,Майами
Пало-Алто,Лос-Анджелес,Сакраменто,Новый Орлеан,Лос-Анджелес,Новый Орлеан
Бостон,Хьюстон,Сиэтл,Майами,Сиэтл,Бостон
Бостон,Хьюстон,Сиэтл,Майами,Хьюстон,Майами
Бостон,Хьюстон,Сиэтл,Майами,Бостон,Сиэтл
