Item1,Item2,Item3,Item4,BestItem,WorstItem
"Картер, Розалин",Эва Перон,Софья Перовская,Глория Стейнем,Эва Перон,"Картер, Розалин"
"Картер, Розалин",Эва Перон,Софья Перовская,Глория Стейнем,Глория Стейнем,"Картер, Розалин"
Эва Перон,Элеонора Рузвельт,Бхимрао Рамджи Амбедкар,Фридрих Энгельс,Фридрих Энгельс,Бхимрао Рамджи Амбедкар
"Картер, Розалин",Эва Перон,Софья Перовская,Глория Стейнем,Софья Перовская,"Картер, Розалин"
Эва Перон,Элеонора Рузвельт,Бхимрао Рамджи Амбедкар,Фридрих Энгельс,Элеонора Рузвельт,Бхимрао Рамджи Амбедкар
"Картер, Розалин",Эва Перон,Софья Перовская,Глория Стейнем,"Картер, Розалин",Софья Перовская
Эва Перон,Элеонора Рузвельт,Бхимрао Рамджи Амбедкар,Фридрих Энгельс,Бхимрао Рамджи Амбедкар,Эва Перон
"Картер, Розалин",Эва Перон,Софья Перовская,Глория Стейнем,Глория Стейнем,"Картер, Розалин"
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Линда Лавлейс,Фридрих Энгельс
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Валери Соланас,Фридрих Энгельс
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Фридрих Энгельс,Линда Лавлейс
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,Валери Соланас,Гудрун Энслин
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,Валери Соланас,Бхимрао Рамджи Амбедкар
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,Фридрих Энгельс,"Картер, Розалин"
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Линда Лавлейс,Эва Перон
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Глория Стейнем,Валери Соланас
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Глория Стейнем,Эва Перон
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Глория Стейнем,Эва Перон
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,Глория Стейнем,Фридрих Энгельс
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,Глория Стейнем,Фридрих Энгельс
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,"Шварцер, Алиса",Линда Лавлейс
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,Элеонора Рузвельт,"Шварцер, Алиса"
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Линда Лавлейс,Фридрих Энгельс
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Фридрих Энгельс,Варис Дирие
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Линда Лавлейс,Фридрих Энгельс
Эва Перон,Элеонора Рузвельт,Бхимрао Рамджи Амбедкар,Фридрих Энгельс,Элеонора Рузвельт,Фридрих Энгельс
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Фридрих Энгельс,Валери Соланас
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Элеонора Рузвельт,Вирджиния Вулф
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,Валери Соланас,Бхимрао Рамджи Амбедкар
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Вирджиния Вулф,Элеонора Рузвельт
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,Валери Соланас,"Картер, Розалин"
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,"Картер, Розалин",Бхимрао Рамджи Амбедкар
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Александра Михайловна Коллонтай,Гудрун Энслин
Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Картер, Розалин",Валери Соланас,Бхимрао Рамджи Амбедкар,"Картер, Розалин"
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Вирджиния Вулф,Александра Михайловна Коллонтай
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Линда Лавлейс,Валери Соланас
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Линда Лавлейс,Фридрих Энгельс
Эва Перон,Глория Стейнем,Линда Лавлейс,Валери Соланас,Глория Стейнем,Эва Перон
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,Глория Стейнем,Фридрих Энгельс
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,Глория Стейнем,Фридрих Энгельс
Фридрих Энгельс,Глория Стейнем,"Картер, Розалин",Валери Соланас,"Картер, Розалин",Фридрих Энгельс
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,Элеонора Рузвельт,Софья Перовская
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,Элеонора Рузвельт,"Шварцер, Алиса"
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,Элеонора Рузвельт,Линда Лавлейс
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Глория Стейнем,Фридрих Энгельс
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Варис Дирие,Фридрих Энгельс
Варис Дирие,Фридрих Энгельс,Глория Стейнем,Линда Лавлейс,Линда Лавлейс,Фридрих Энгельс
Валери Соланас,Линда Лавлейс,Фридрих Энгельс,Варис Дирие,Линда Лавлейс,Фридрих Энгельс
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Александра Михайловна Коллонтай,Гудрун Энслин
Александра Михайловна Коллонтай,Элеонора Рузвельт,Вирджиния Вулф,Гудрун Энслин,Александра Михайловна Коллонтай,Вирджиния Вулф
Линда Лавлейс,"Шварцер, Алиса",Софья Перовская,Элеонора Рузвельт,Элеонора Рузвельт,Софья Перовская
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Вирджиния Вулф,"Шварцер, Алиса"
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Вирджиния Вулф,"Форд, Бетти"
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Вирджиния Вулф,"Форд, Бетти"
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Гудрун Энслин,Вирджиния Вулф
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Вирджиния Вулф,Гудрун Энслин
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти","Шварцер, Алиса",Бхимрао Рамджи Амбедкар
Вирджиния Вулф,Гудрун Энслин,"Шварцер, Алиса","Форд, Бетти",Вирджиния Вулф,"Форд, Бетти"
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти","Шварцер, Алиса","Форд, Бетти"
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти","Шварцер, Алиса",Валери Соланас
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти","Шварцер, Алиса","Форд, Бетти"
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,Бхимрао Рамджи Амбедкар,Гудрун Энслин
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Софья Перовская,Фридрих Энгельс
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Форд, Бетти",Бхимрао Рамджи Амбедкар
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,Гудрун Энслин,"Форд, Бетти"
Клара Цеткин,"Форд, Бетти",Александра Михайловна Коллонтай,Гудрун Энслин,Клара Цеткин,Александра Михайловна Коллонтай
Клара Цеткин,"Форд, Бетти",Александра Михайловна Коллонтай,Гудрун Энслин,Клара Цеткин,Гудрун Энслин
Клара Цеткин,"Форд, Бетти",Александра Михайловна Коллонтай,Гудрун Энслин,Клара Цеткин,"Форд, Бетти"
Клара Цеткин,"Форд, Бетти",Александра Михайловна Коллонтай,Гудрун Энслин,Клара Цеткин,"Форд, Бетти"
Клара Цеткин,"Форд, Бетти",Александра Михайловна Коллонтай,Гудрун Энслин,Клара Цеткин,Александра Михайловна Коллонтай
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,Варис Дирие,Линда Лавлейс
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,Варис Дирие,Линда Лавлейс
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,Мария Шрайвер,"Форд, Бетти"
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,Линда Лавлейс,Варис Дирие
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,Варис Дирие,Линда Лавлейс
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,Эва Перон,Линда Лавлейс
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,"Шварцер, Алиса",Линда Лавлейс
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,Александра Михайловна Коллонтай,Линда Лавлейс
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,"Шварцер, Алиса",Эва Перон
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Эва Перон,Фридрих Энгельс
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Варис Дирие,Фридрих Энгельс
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса",Элеонора Рузвельт,Фридрих Энгельс
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса",Элеонора Рузвельт,Фридрих Энгельс
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Гудрун Энслин,Фридрих Энгельс
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса",Элеонора Рузвельт,Фридрих Энгельс
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,Александра Михайловна Коллонтай,Линда Лавлейс
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Фридрих Энгельс,Гудрун Энслин
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса",Элеонора Рузвельт,Фридрих Энгельс
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Мария Шрайвер,Варис Дирие
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Клара Цеткин,Мария Шрайвер
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Александра Михайловна Коллонтай,Клара Цеткин
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Варис Дирие,Александра Михайловна Коллонтай
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Клара Цеткин,Александра Михайловна Коллонтай
Мария Шрайвер,Александра Михайловна Коллонтай,Варис Дирие,Клара Цеткин,Мария Шрайвер,Клара Цеткин
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Софья Перовская,Вирджиния Вулф
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Валери Соланас,Александра Михайловна Коллонтай
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Александра Михайловна Коллонтай,Софья Перовская
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Александра Михайловна Коллонтай,Валери Соланас
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Валери Соланас,Александра Михайловна Коллонтай
Валери Соланас,Александра Михайловна Коллонтай,Софья Перовская,Вирджиния Вулф,Александра Михайловна Коллонтай,Валери Соланас
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Мария Шрайвер,Софья Перовская
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Фридрих Энгельс,Софья Перовская
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти",Бхимрао Рамджи Амбедкар,"Форд, Бетти"
Валери Соланас,Бхимрао Рамджи Амбедкар,"Шварцер, Алиса","Форд, Бетти","Форд, Бетти","Шварцер, Алиса"
Клара Цеткин,"Картер, Розалин",Софья Перовская,Фридрих Энгельс,Клара Цеткин,Фридрих Энгельс
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,"Форд, Бетти",Бхимрао Рамджи Амбедкар
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,Эва Перон,Бхимрао Рамджи Амбедкар
Варис Дирие,Мария Шрайвер,"Форд, Бетти",Линда Лавлейс,"Форд, Бетти",Варис Дирие
"Форд, Бетти",Эва Перон,Бхимрао Рамджи Амбедкар,Гудрун Энслин,Бхимрао Рамджи Амбедкар,Эва Перон
Линда Лавлейс,"Шварцер, Алиса",Александра Михайловна Коллонтай,Эва Перон,"Шварцер, Алиса",Линда Лавлейс
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Варис Дирие,Фридрих Энгельс
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса",Элеонора Рузвельт,"Шварцер, Алиса"
Элеонора Рузвельт,"Картер, Розалин",Фридрих Энгельс,"Шварцер, Алиса","Шварцер, Алиса","Картер, Розалин"
Фридрих Энгельс,Эва Перон,Варис Дирие,Гудрун Энслин,Эва Перон,Варис Дирие
Клара Цеткин,Софья Перовская,Мария Шрайвер,Фридрих Энгельс,Мария Шрайвер,Фридрих Энгельс
Мария Шрайвер,Вирджиния Вулф,"Картер, Розалин",Эва Перон,Вирджиния Вулф,Мария Шрайвер
Мария Шрайвер,Вирджиния Вулф,"Картер, Розалин",Эва Перон,Мария Шрайвер,Эва Перон
Мария Шрайвер,Вирджиния Вулф,"Картер, Розалин",Эва Перон,Вирджиния Вулф,"Картер, Розалин"
Мария Шрайвер,Вирджиния Вулф,"Картер, Розалин",Эва Перон,Вирджиния Вулф,Эва Перон
Эва Перон,Клара Цеткин,Вирджиния Вулф,Мария Шрайвер,Вирджиния Вулф,Мария Шрайвер
Эва Перон,Клара Цеткин,Вирджиния Вулф,Мария Шрайвер,Клара Цеткин,Эва Перон
Эва Перон,Клара Цеткин,Вирджиния Вулф,Мария Шрайвер,Вирджиния Вулф,Клара Цеткин
Эва Перон,Клара Цеткин,Вирджиния Вулф,Мария Шрайвер,Клара Цеткин,Эва Перон
Мария Шрайвер,Вирджиния Вулф,"Картер, Розалин",Эва Перон,Эва Перон,Мария Шрайвер
Глория Стейнем,Клара Цеткин,"Форд, Бетти",Софья Перовская,Клара Цеткин,"Форд, Бетти"
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти","Форд, Бетти",Линда Лавлейс
Глория Стейнем,Клара Цеткин,"Форд, Бетти",Софья Перовская,"Форд, Бетти",Клара Цеткин
Глория Стейнем,Клара Цеткин,"Форд, Бетти",Софья Перовская,"Форд, Бетти",Софья Перовская
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти","Форд, Бетти",Софья Перовская
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти","Форд, Бетти",Линда Лавлейс
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти","Форд, Бетти",Мария Шрайвер
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти",Линда Лавлейс,"Форд, Бетти"
Линда Лавлейс,Мария Шрайвер,Софья Перовская,"Форд, Бетти","Форд, Бетти",Линда Лавлейс
Глория Стейнем,Клара Цеткин,"Форд, Бетти",Софья Перовская,Глория Стейнем,Софья Перовская
