Item1,Item2,Item3,Item4,BestItem,WorstItem
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,Гарри Стайлз,Сергей Безруков
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,Шура Би-2,Сергей Безруков
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,Сергей Безруков,Шура Би-2
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,"Ландерс, Пауль",Сергей Безруков
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Шура Би-2,Крис Корнелл
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,Гарри Стайлз,Сергей Безруков
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Томми Ли,Шура Би-2
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Крис Корнелл,Томми Ли
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Пол Маккартни,Шура Би-2
Шура Би-2,"Ландерс, Пауль",Сергей Безруков,Гарри Стайлз,"Ландерс, Пауль",Сергей Безруков
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Пол Маккартни,"Ландерс, Пауль"
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Шура Би-2,Том Каулитц
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Пол Маккартни,Шура Би-2
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Шура Би-2,Пол Маккартни
Пол Маккартни,Шура Би-2,"Ландерс, Пауль",Том Каулитц,Пол Маккартни,Том Каулитц
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Крис Корнелл,Гарри Стайлз
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Крис Корнелл,Шура Би-2
Шура Би-2,Томми Ли,Гарри Стайлз,Крис Корнелл,Гарри Стайлз,Томми Ли
Виктор Робертович Цой,Томми Ли,Адам Сэндлер,Шура Би-2,Виктор Робертович Цой,Адам Сэндлер
Виктор Робертович Цой,Томми Ли,Адам Сэндлер,Шура Би-2,Томми Ли,Адам Сэндлер
Виктор Робертович Цой,Томми Ли,Адам Сэндлер,Шура Би-2,Виктор Робертович Цой,Томми Ли
"Ландерс, Пауль",Пол Маккартни,Пол Беттани,Джон Леннон,Пол Маккартни,Джон Леннон
"Ландерс, Пауль",Пол Маккартни,Пол Беттани,Джон Леннон,Пол Маккартни,"Ландерс, Пауль"
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Крис Мартин,Пол Беттани
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Джонни Депп,Крис Мартин
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич",Ривер Феникс,Сергей Безруков
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич","Ландерс, Пауль",Сергей Безруков
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Джаред Лето,Адам Сэндлер
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Крис Корнелл,Адам Сэндлер
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Джаред Лето,Адам Сэндлер
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Крис Корнелл,Адам Сэндлер
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард",Крис Корнелл,"Майков, Павел Сергеевич"
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард",Крис Корнелл,Томми Ли
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард",Крис Корнелл,"Круспе, Рихард"
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Сергей Безруков
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль",Джон Леннон,Сергей Безруков
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Сергей Безруков
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Егор Летов,Джонни Депп
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Сергей Безруков
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Егор Летов,Гарри Стайлз
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Гарри Стайлз,Томми Ли
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард",Фредди Меркьюри,Адам Сэндлер
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард",Гарри Стайлз,Адам Сэндлер
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард",Гарри Стайлз,Адам Сэндлер
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Пол Маккартни,Адам Сэндлер
Том Каулитц,Крис Корнелл,"Круспе, Рихард",Адам Сэндлер,Том Каулитц,Адам Сэндлер
"Ландерс, Пауль",Пол Маккартни,Пол Беттани,Джон Леннон,Джон Леннон,Пол Беттани
"Ландерс, Пауль",Пол Маккартни,Пол Беттани,Джон Леннон,Пол Маккартни,Джон Леннон
"Ландерс, Пауль",Пол Маккартни,Пол Беттани,Джон Леннон,Джон Леннон,Пол Беттани
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Джонни Депп,Пол Беттани
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Крис Мартин,Пол Беттани
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Фредди Меркьюри,Пол Беттани
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич",Ривер Феникс,Сергей Безруков
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич","Ландерс, Пауль","Майков, Павел Сергеевич"
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич","Ландерс, Пауль","Майков, Павел Сергеевич"
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Крис Корнелл,Адам Сэндлер
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард",Крис Корнелл,"Майков, Павел Сергеевич"
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард",Томми Ли,"Майков, Павел Сергеевич"
Томми Ли,"Майков, Павел Сергеевич",Крис Корнелл,"Круспе, Рихард","Круспе, Рихард","Майков, Павел Сергеевич"
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль",Джон Леннон,Сергей Безруков
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Джонни Депп
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Сергей Безруков
Сергей Безруков,Крис Корнелл,Джонни Депп,Джаред Лето,Крис Корнелл,Сергей Безруков
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль","Майков, Павел Сергеевич","Ландерс, Пауль"
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль",Джон Леннон,"Ландерс, Пауль"
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Егор Летов,Джонни Депп
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль",Джон Леннон,Сергей Безруков
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард",Адам Сэндлер,"Круспе, Рихард"
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Егор Летов,Джонни Депп
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард","Круспе, Рихард",Адам Сэндлер
Гарри Стайлз,Адам Сэндлер,Фредди Меркьюри,"Круспе, Рихард",Гарри Стайлз,"Круспе, Рихард"
Том Каулитц,Крис Корнелл,"Круспе, Рихард",Адам Сэндлер,Крис Корнелл,Адам Сэндлер
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Пол Маккартни,Адам Сэндлер
Том Каулитц,Крис Корнелл,"Круспе, Рихард",Адам Сэндлер,Крис Корнелл,Адам Сэндлер
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Пол Маккартни,Адам Сэндлер
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Пол Маккартни,Адам Сэндлер
Фредди Меркьюри,Крис Мартин,Джонни Депп,Пол Беттани,Крис Мартин,Фредди Меркьюри
Адам Сэндлер,Джесси Племонс,Джаред Лето,Крис Корнелл,Крис Корнелл,Адам Сэндлер
"Ландерс, Пауль",Сергей Безруков,Ривер Феникс,"Майков, Павел Сергеевич","Ландерс, Пауль",Сергей Безруков
Гарри Стайлз,Томми Ли,Егор Летов,Джонни Депп,Томми Ли,Джонни Депп
Джон Леннон,Сергей Безруков,"Майков, Павел Сергеевич","Ландерс, Пауль",Джон Леннон,"Ландерс, Пауль"
Том Каулитц,Крис Корнелл,"Круспе, Рихард",Адам Сэндлер,Крис Корнелл,Адам Сэндлер
Том Каулитц,Крис Корнелл,"Круспе, Рихард",Адам Сэндлер,Том Каулитц,Адам Сэндлер
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Шура Би-2,Ривер Феникс
Адам Сэндлер,Шура Би-2,Ривер Феникс,Пол Маккартни,Пол Маккартни,Адам Сэндлер
Джаред Лето,Фредди Меркьюри,Шура Би-2,Ривер Феникс,Фредди Меркьюри,Джаред Лето
Джаред Лето,Фредди Меркьюри,Шура Би-2,Ривер Феникс,Фредди Меркьюри,Ривер Феникс
Джаред Лето,Фредди Меркьюри,Шура Би-2,Ривер Феникс,Фредди Меркьюри,Джаред Лето
Джаред Лето,Фредди Меркьюри,Шура Би-2,Ривер Феникс,Фредди Меркьюри,Джаред Лето
Ривер Феникс,Томми Ли,Крис Мартин,Сергей Безруков,Томми Ли,Ривер Феникс
Ривер Феникс,Томми Ли,Крис Мартин,Сергей Безруков,Ривер Феникс,Сергей Безруков
Ривер Феникс,Томми Ли,Крис Мартин,Сергей Безруков,Ривер Феникс,Томми Ли
"Майков, Павел Сергеевич",Тейлор Свифт,Джесси Племонс,Егор Летов,Егор Летов,Тейлор Свифт
"Майков, Павел Сергеевич",Тейлор Свифт,Джесси Племонс,Егор Летов,Егор Летов,Джесси Племонс
"Майков, Павел Сергеевич",Тейлор Свифт,Джесси Племонс,Егор Летов,Егор Летов,"Майков, Павел Сергеевич"
"Майков, Павел Сергеевич",Тейлор Свифт,Джесси Племонс,Егор Летов,Егор Летов,Тейлор Свифт
"Майков, Павел Сергеевич",Тейлор Свифт,Джесси Племонс,Егор Летов,Егор Летов,Тейлор Свифт
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,Шура Би-2,Том Каулитц
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,Том Каулитц,"Майков, Павел Сергеевич"
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,Том Каулитц,"Майков, Павел Сергеевич"
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,Егор Летов,"Майков, Павел Сергеевич"
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,Том Каулитц,Шура Би-2
Шура Би-2,"Майков, Павел Сергеевич",Том Каулитц,Егор Летов,"Майков, Павел Сергеевич",Шура Би-2
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,Гарри Стайлз,Виктор Робертович Цой
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,"Круспе, Рихард"
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,Гарри Стайлз,Виктор Робертович Цой
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,"Круспе, Рихард",Виктор Робертович Цой
"Круспе, Рихард",Гарри Стайлз,Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,Гарри Стайлз
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,Гарри Стайлз,"Круспе, Рихард"
"Круспе, Рихард",Гарри Стайлз,Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,"Круспе, Рихард"
"Круспе, Рихард",Гарри Стайлз,Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,Пол Беттани
"Круспе, Рихард",Гарри Стайлз,Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,Пол Беттани
"Круспе, Рихард",Гарри Стайлз,Пол Беттани,Виктор Робертович Цой,Виктор Робертович Цой,"Круспе, Рихард"
Гарри Стайлз,"Круспе, Рихард",Пол Беттани,Виктор Робертович Цой,"Круспе, Рихард",Гарри Стайлз
"Круспе, Рихард",Виктор Робертович Цой,Джонни Депп,Ривер Феникс,"Круспе, Рихард",Джонни Депп
"Круспе, Рихард",Виктор Робертович Цой,Джонни Депп,Ривер Феникс,Виктор Робертович Цой,Ривер Феникс
"Круспе, Рихард",Виктор Робертович Цой,Джонни Депп,Ривер Феникс,Виктор Робертович Цой,Джонни Депп
"Круспе, Рихард",Виктор Робертович Цой,Джонни Депп,Ривер Феникс,"Круспе, Рихард",Джонни Депп
Шура Би-2,Джесси Племонс,Джонни Депп,Фредди Меркьюри,Шура Би-2,Джонни Депп
Шура Би-2,Джесси Племонс,Джонни Депп,Фредди Меркьюри,Фредди Меркьюри,Джонни Депп
Шура Би-2,Джесси Племонс,Джонни Депп,Фредди Меркьюри,Шура Би-2,Джонни Депп
Шура Би-2,Джесси Племонс,Джонни Депп,Фредди Меркьюри,Джесси Племонс,Шура Би-2
"Круспе, Рихард",Виктор Робертович Цой,Джонни Депп,Ривер Феникс,Виктор Робертович Цой,"Круспе, Рихард"
Шура Би-2,Джесси Племонс,Джонни Депп,Фредди Меркьюри,Джесси Племонс,Шура Би-2
Джесси Племонс,Пол Маккартни,Тейлор Свифт,Крис Мартин,Пол Маккартни,Тейлор Свифт
