Item1,Item2,Item3,Item4,BestItem,WorstItem
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Ванда/Вижн
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Ходячие мертвецы
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Книга Бобы Фетта
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Книга Бобы Фетта
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Ходячие мертвецы
Ходячие мертвецы,Ванда/Вижн,Книга Бобы Фетта,Игра престолов,Игра престолов,Ванда/Вижн
Ванда/Вижн,Корона,Дом Дракона,Бригада,Дом Дракона,Бригада
Ванда/Вижн,Корона,Дом Дракона,Бригада,Бригада,Корона
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Мажор,Ходячие мертвецы
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Мажор,Очень странные дела
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Очень странные дела,Мажор
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Очень странные дела,Ведьмак
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Острые козырьки,Мажор
Мажор,Ведьмак,Игра престолов,Очень странные дела,Игра престолов,Мажор
Мажор,Ведьмак,Игра престолов,Очень странные дела,Мажор,Ведьмак
Мажор,Ведьмак,Игра престолов,Очень странные дела,Очень странные дела,Ведьмак
Властелин колец: Кольца власти,Бригада,Ванда/Вижн,Ходячие мертвецы,Ванда/Вижн,Ходячие мертвецы
Тьма,Острые козырьки,Очень странные дела,Ванда/Вижн,Острые козырьки,Ванда/Вижн
Властелин колец: Кольца власти,Бригада,Ванда/Вижн,Ходячие мертвецы,Бригада,Властелин колец: Кольца власти
Тьма,Острые козырьки,Очень странные дела,Ванда/Вижн,Тьма,Очень странные дела
Тьма,Острые козырьки,Очень странные дела,Ванда/Вижн,Ванда/Вижн,Очень странные дела
Тьма,Острые козырьки,Очень странные дела,Ванда/Вижн,Очень странные дела,Ванда/Вижн
Острые козырьки,Книга Бобы Фетта,Ванда/Вижн,Корона,Острые козырьки,Книга Бобы Фетта
Книга Бобы Фетта,Ходячие мертвецы,Тьма,Как я встретил вашу маму,Как я встретил вашу маму,Ходячие мертвецы
Острые козырьки,Книга Бобы Фетта,Ванда/Вижн,Корона,Корона,Книга Бобы Фетта
Книга Бобы Фетта,Ходячие мертвецы,Тьма,Как я встретил вашу маму,Тьма,Как я встретил вашу маму
Книга Бобы Фетта,Ходячие мертвецы,Тьма,Как я встретил вашу маму,Книга Бобы Фетта,Ходячие мертвецы
Острые козырьки,Во все тяжкие,Бригада,Корона,Корона,Острые козырьки
Бригада,Мажор,Во все тяжкие,Дом Дракона,Во все тяжкие,Дом Дракона
Острые козырьки,Во все тяжкие,Бригада,Корона,Бригада,Во все тяжкие
Бригада,Мажор,Во все тяжкие,Дом Дракона,Бригада,Мажор
Бригада,Мажор,Во все тяжкие,Дом Дракона,Во все тяжкие,Мажор
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Очень странные дела,Ведьмак
Очень странные дела,Мажор,Ведьмак,Ходячие мертвецы,Ходячие мертвецы,Ведьмак
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Во все тяжкие,Мажор
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Во все тяжкие,Мажор
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Мажор,Острые козырьки
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Мажор,Во все тяжкие
Мажор,Острые козырьки,Игра престолов,Во все тяжкие,Во все тяжкие,Игра престолов
Мажор,Ведьмак,Игра престолов,Очень странные дела,Очень странные дела,Ведьмак
Мажор,Ведьмак,Игра престолов,Очень странные дела,Мажор,Очень странные дела
Тьма,Острые козырьки,Очень странные дела,Ванда/Вижн,Острые козырьки,Ванда/Вижн
Властелин колец: Кольца власти,Бригада,Ванда/Вижн,Ходячие мертвецы,Бригада,Ходячие мертвецы
