Item1,Item2,Item3,Item4,BestItem,WorstItem
Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Джордж Вашингтон,Николай Платонович Патрушев,Николай Платонович Патрушев,Михаил Владимирович Мишустин
Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Джордж Вашингтон,Николай Платонович Патрушев,Михаил Владимирович Мишустин,Джордж Вашингтон
Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Джордж Вашингтон,Николай Платонович Патрушев,Джордж Вашингтон,Николай Платонович Патрушев
Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Джордж Вашингтон,Николай Платонович Патрушев,Михаил Владимирович Мишустин,Николай Платонович Патрушев
Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Джордж Вашингтон,Николай Платонович Патрушев,Николай Платонович Патрушев,Михаил Владимирович Мишустин
Николай Платонович Патрушев,Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Ху Цзиньтао,Михаил Владимирович Мишустин,Виктор Фёдорович Янукович
Николай Платонович Патрушев,Михаил Владимирович Мишустин,Виктор Фёдорович Янукович,Ху Цзиньтао,Николай Платонович Патрушев,Ху Цзиньтао
Михаил Владимирович Мишустин,Михаил Маратович Фридман,Джордж Вашингтон,Джеймс Кэмерон,Джордж Вашингтон,Джеймс Кэмерон
Джимми Картер,Александр Валентинович Турчинов,Джордж Вашингтон,Ларри Пейдж,Александр Валентинович Турчинов,Джордж Вашингтон
Александр Валентинович Турчинов,Михаил Владимирович Мишустин,Джеймс Кэмерон,Джимми Картер,Александр Валентинович Турчинов,Михаил Владимирович Мишустин
Джимми Картер,Александр Валентинович Турчинов,Джордж Вашингтон,Ларри Пейдж,Александр Валентинович Турчинов,Джордж Вашингтон
Леонид Ильич Брежнев,Николай Платонович Патрушев,Роберт Оппенгеймер,Герберт Гувер,Николай Платонович Патрушев,Леонид Ильич Брежнев
Александр Валентинович Турчинов,Михаил Владимирович Мишустин,Джеймс Кэмерон,Джимми Картер,Александр Валентинович Турчинов,Джеймс Кэмерон
