Item1,Item2,Item3,Item4,BestItem,WorstItem
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй","Русский военный корабль, иди на хуй",порноместь
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй",порноместь,"Русский военный корабль, иди на хуй"
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй",Яйцо из «Инстаграма»,"Русский военный корабль, иди на хуй"
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй",Яйцо из «Инстаграма»,"Русский военный корабль, иди на хуй"
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй",Яйцо из «Инстаграма»,порноместь
Яйцо из «Инстаграма»,порноместь,Ахэгао,"Русский военный корабль, иди на хуй",Яйцо из «Инстаграма»,"Русский военный корабль, иди на хуй"
Инцидент с Уиллом Смитом и Крисом Роком,Doge,Эффект Манделы,Морбиус,Морбиус,Эффект Манделы
Инцидент с Уиллом Смитом и Крисом Роком,Doge,Эффект Манделы,Морбиус,Инцидент с Уиллом Смитом и Крисом Роком,Эффект Манделы
Чак Норрис,Ахэгао,лягушонок Пепе,Шок-сайты,Чак Норрис,Шок-сайты
Чак Норрис,Ахэгао,лягушонок Пепе,Шок-сайты,лягушонок Пепе,Чак Норрис
список интернет-феноменов,Морбиус,Рикроллинг,Лин,Морбиус,список интернет-феноменов
Чак Норрис,Ахэгао,лягушонок Пепе,Шок-сайты,Чак Норрис,лягушонок Пепе
Чак Норрис,Ахэгао,лягушонок Пепе,Шок-сайты,Чак Норрис,Шок-сайты
Инцидент с Уиллом Смитом и Крисом Роком,Doge,Эффект Манделы,Морбиус,Морбиус,Doge
Чак Норрис,Ахэгао,лягушонок Пепе,Шок-сайты,Ахэгао,лягушонок Пепе
список интернет-феноменов,Морбиус,Рикроллинг,Лин,список интернет-феноменов,Рикроллинг
Инцидент с Уиллом Смитом и Крисом Роком,Doge,Эффект Манделы,Морбиус,Doge,Морбиус
Лин,Шок-сайты,Яйцо из «Инстаграма»,Шлëпа,Шлëпа,Шок-сайты
лягушонок Пепе,Рикроллинг,Морбиус,Инцидент с Уиллом Смитом и Крисом Роком,лягушонок Пепе,Инцидент с Уиллом Смитом и Крисом Роком
Лин,Шок-сайты,Яйцо из «Инстаграма»,Шлëпа,Яйцо из «Инстаграма»,Шок-сайты
Лин,Шок-сайты,Яйцо из «Инстаграма»,Шлëпа,Шлëпа,Лин
лягушонок Пепе,Рикроллинг,Морбиус,Инцидент с Уиллом Смитом и Крисом Роком,Рикроллинг,Морбиус
Ахэгао,Doge,Рикроллинг,Чак Норрис,Ахэгао,Рикроллинг
Ахэгао,Doge,Рикроллинг,Чак Норрис,Doge,Рикроллинг
Ахэгао,Doge,Рикроллинг,Чак Норрис,Doge,Чак Норрис
Ахэгао,Doge,Рикроллинг,Чак Норрис,Doge,Ахэгао
Ахэгао,Doge,Рикроллинг,Чак Норрис,Рикроллинг,Doge
"Русский военный корабль, иди на хуй",Факты о Чаке Норрисе,Яйцо из «Инстаграма»,Эффект Манделы,Факты о Чаке Норрисе,Эффект Манделы
"Русский военный корабль, иди на хуй",Факты о Чаке Норрисе,Яйцо из «Инстаграма»,Эффект Манделы,"Русский военный корабль, иди на хуй",Факты о Чаке Норрисе
"Русский военный корабль, иди на хуй",Факты о Чаке Норрисе,Яйцо из «Инстаграма»,Эффект Манделы,"Русский военный корабль, иди на хуй",Факты о Чаке Норрисе
Лин,альтернативные правые,Рикроллинг,Шлëпа,Шлëпа,альтернативные правые
