Item1,Item2,Item3,Item4,BestItem,WorstItem
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Данте Габриэль Россетти,Семья Аньелли
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Данте Габриэль Россетти,Семья Аньелли
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Луиджи,Майкл Империоли
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Луиджи,Семья Аньелли
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Луиджи,Майкл Империоли
Луиджи,Семья Аньелли,Данте Габриэль Россетти,Майкл Империоли,Семья Аньелли,Луиджи
Сандро Боттичелли,Микеланджело,Франциск Ассизский,Рафаэль Санти,Сандро Боттичелли,Франциск Ассизский
Сандро Боттичелли,Микеланджело,Франциск Ассизский,Рафаэль Санти,Микеланджело,Рафаэль Санти
Рафаэль Санти,Донателло,Данте Габриэль Россетти,Семья Аньелли,Рафаэль Санти,Семья Аньелли
Рафаэль Санти,Донателло,Данте Габриэль Россетти,Семья Аньелли,Донателло,Данте Габриэль Россетти
итальянская кухня,Данте Габриэль Россетти,Караваджо,Франциск Ассизский,Данте Габриэль Россетти,итальянская кухня
итальянская кухня,Данте Габриэль Россетти,Караваджо,Франциск Ассизский,Караваджо,итальянская кухня
итальянская кухня,Данте Габриэль Россетти,Караваджо,Франциск Ассизский,итальянская кухня,Франциск Ассизский
итальянская кухня,Данте Габриэль Россетти,Караваджо,Франциск Ассизский,Франциск Ассизский,итальянская кухня
итальянская кухня,Данте Габриэль Россетти,Караваджо,Франциск Ассизский,Данте Габриэль Россетти,Франциск Ассизский
Рафаэль Санти,Караваджо,Тарчизио Бертоне,Луиджи,Рафаэль Санти,Луиджи
Рафаэль Санти,Караваджо,Тарчизио Бертоне,Луиджи,Рафаэль Санти,Луиджи
Майкл Империоли,Франциск Ассизский,Рафаэль Санти,итальянская кухня,Франциск Ассизский,итальянская кухня
Майкл Империоли,Франциск Ассизский,Рафаэль Санти,итальянская кухня,Франциск Ассизский,Майкл Империоли
Майкл Империоли,Франциск Ассизский,Рафаэль Санти,итальянская кухня,итальянская кухня,Майкл Империоли
Майкл Империоли,Франциск Ассизский,Рафаэль Санти,итальянская кухня,Рафаэль Санти,Майкл Империоли
Рафаэль Санти,Донателло,Микеланджело,Майкл Империоли,Микеланджело,Рафаэль Санти
