Item1,Item2,Item3,Item4,BestItem,WorstItem
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,Clash of Clans,глобальная стратегия
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,глобальная стратегия,Clash of Clans
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,X-COM: UFO Defense,Neighbours from Hell
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,X-COM: UFO Defense,глобальная стратегия
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,глобальная стратегия,Neighbours from Hell
Neighbours from Hell,X-COM: UFO Defense,глобальная стратегия,Clash of Clans,X-COM: UFO Defense,Neighbours from Hell
Clash Royale,Neighbours from Hell,глобальная стратегия,Total War Saga: Thrones of Britannia,Neighbours from Hell,глобальная стратегия
Clash Royale,Neighbours from Hell,глобальная стратегия,Total War Saga: Thrones of Britannia,Clash Royale,глобальная стратегия
Clash of Clans,Total War Saga: Thrones of Britannia,X-COM,стратегия в реальном времени,Total War Saga: Thrones of Britannia,Clash of Clans
Clash Royale,Neighbours from Hell,глобальная стратегия,Total War Saga: Thrones of Britannia,Clash Royale,глобальная стратегия
Clash of Clans,Total War Saga: Thrones of Britannia,X-COM,стратегия в реальном времени,Clash of Clans,Total War Saga: Thrones of Britannia
Clash of Clans,Total War Saga: Thrones of Britannia,X-COM,стратегия в реальном времени,X-COM,стратегия в реальном времени
Clash of Clans,Total War Saga: Thrones of Britannia,X-COM,стратегия в реальном времени,стратегия в реальном времени,Total War Saga: Thrones of Britannia
Clash Royale,Neighbours from Hell,глобальная стратегия,Total War Saga: Thrones of Britannia,Total War Saga: Thrones of Britannia,Neighbours from Hell
глобальная стратегия,X-COM,Clash Royale,Sid Meier’s Pirates!,X-COM,глобальная стратегия
глобальная стратегия,X-COM,Clash Royale,Sid Meier’s Pirates!,Sid Meier’s Pirates!,Clash Royale
Total War Saga: Thrones of Britannia,Sid Meier's Pirates!,World of Tanks Blitz,Как достать соседа 2: Адские каникулы,World of Tanks Blitz,Как достать соседа 2: Адские каникулы
Worms,X-COM: UFO Defense,Mount & Blade II: Bannerlord,Neighbours from Hell,Neighbours from Hell,X-COM: UFO Defense
Worms,X-COM: UFO Defense,Mount & Blade II: Bannerlord,Neighbours from Hell,X-COM: UFO Defense,Worms
Clash of Clans,Worms,стратегия в реальном времени,Тамагочи,Worms,Тамагочи
Clash of Clans,Worms,стратегия в реальном времени,Тамагочи,Clash of Clans,Тамагочи
"Warhammer 40,000: Dawn of War III",Sid Meier's Pirates!,Neighbours from Hell,Тамагочи,"Warhammer 40,000: Dawn of War III",Тамагочи
"Warhammer 40,000: Dawn of War III",Sid Meier's Pirates!,Neighbours from Hell,Тамагочи,"Warhammer 40,000: Dawn of War III",Тамагочи
"Warhammer 40,000: Dawn of War III",Sid Meier's Pirates!,Neighbours from Hell,Тамагочи,Sid Meier's Pirates!,Тамагочи
X-COM,стратегия в реальном времени,Тамагочи,Total War: Three Kingdoms,Total War: Three Kingdoms,Тамагочи
X-COM,стратегия в реальном времени,Тамагочи,Total War: Three Kingdoms,Total War: Three Kingdoms,стратегия в реальном времени
Как достать соседа 2: Адские каникулы,World of Tanks Blitz,X-COM: UFO Defense,Total War: Three Kingdoms,Total War: Three Kingdoms,World of Tanks Blitz
Как достать соседа 2: Адские каникулы,World of Tanks Blitz,X-COM: UFO Defense,Total War: Three Kingdoms,Total War: Three Kingdoms,World of Tanks Blitz
Как достать соседа 2: Адские каникулы,World of Tanks Blitz,X-COM: UFO Defense,Total War: Three Kingdoms,Total War: Three Kingdoms,Как достать соседа 2: Адские каникулы
World of Tanks Blitz,Sid Meier’s Pirates!,"Warhammer 40,000: Dawn of War III",Mount & Blade II: Bannerlord,Mount & Blade II: Bannerlord,World of Tanks Blitz
Как достать соседа 2: Адские каникулы,World of Tanks Blitz,X-COM: UFO Defense,Total War: Three Kingdoms,X-COM: UFO Defense,Как достать соседа 2: Адские каникулы
World of Tanks Blitz,Sid Meier’s Pirates!,"Warhammer 40,000: Dawn of War III",Mount & Blade II: Bannerlord,Mount & Blade II: Bannerlord,World of Tanks Blitz
Как достать соседа 2: Адские каникулы,World of Tanks Blitz,X-COM: UFO Defense,Total War: Three Kingdoms,Total War: Three Kingdoms,Как достать соседа 2: Адские каникулы
Worms,World of Tanks Blitz,Clash Royale,Total War: Three Kingdoms,World of Tanks Blitz,Worms
Worms,World of Tanks Blitz,Clash Royale,Total War: Three Kingdoms,Total War: Three Kingdoms,Worms
Worms,World of Tanks Blitz,Clash Royale,Total War: Three Kingdoms,World of Tanks Blitz,Clash Royale
Empire of Sin,World of Tanks Blitz,стратегия в реальном времени,Total War Saga: Thrones of Britannia,Total War Saga: Thrones of Britannia,World of Tanks Blitz
Empire of Sin,World of Tanks Blitz,стратегия в реальном времени,Total War Saga: Thrones of Britannia,Total War Saga: Thrones of Britannia,World of Tanks Blitz
Empire of Sin,World of Tanks Blitz,стратегия в реальном времени,Total War Saga: Thrones of Britannia,World of Tanks Blitz,стратегия в реальном времени
Empire of Sin,World of Tanks Blitz,стратегия в реальном времени,Total War Saga: Thrones of Britannia,World of Tanks Blitz,Empire of Sin
Honkai: Star Rail,Total War: Three Kingdoms,Total War Saga: Thrones of Britannia,Sid Meier’s Pirates!,Sid Meier’s Pirates!,Honkai: Star Rail
Empire of Sin,World of Tanks Blitz,стратегия в реальном времени,Total War Saga: Thrones of Britannia,World of Tanks Blitz,Empire of Sin
Honkai: Star Rail,Total War: Three Kingdoms,Total War Saga: Thrones of Britannia,Sid Meier’s Pirates!,Total War: Three Kingdoms,Honkai: Star Rail
Honkai: Star Rail,Total War: Three Kingdoms,Total War Saga: Thrones of Britannia,Sid Meier’s Pirates!,Total War: Three Kingdoms,Sid Meier’s Pirates!
Honkai: Star Rail,Total War: Three Kingdoms,Total War Saga: Thrones of Britannia,Sid Meier’s Pirates!,Honkai: Star Rail,Sid Meier’s Pirates!
Clash Royale,Neighbours from Hell,глобальная стратегия,Total War Saga: Thrones of Britannia,Total War Saga: Thrones of Britannia,Neighbours from Hell
