Item1,Item2,Item3,Item4,BestItem,WorstItem
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Место преступления,Фарго
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Уэнздей,Место преступления
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Место преступления,Уэнздей
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Место преступления,Фарго
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Мыслить как преступник,Место преступления
Мыслить как преступник,Место преступления,Уэнздей,Фарго,Уэнздей,Место преступления
Закон и порядок: Специальный корпус,Бригада,Морская полиция: Спецотдел,Клан Сопрано,Закон и порядок: Специальный корпус,Морская полиция: Спецотдел
Закон и порядок: Специальный корпус,Бригада,Морская полиция: Спецотдел,Клан Сопрано,Бригада,Морская полиция: Спецотдел
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Мыслить как преступник,Фарго
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Фарго,Твин Пикс
Закон и порядок: Специальный корпус,Бригада,Морская полиция: Спецотдел,Клан Сопрано,Бригада,Закон и порядок: Специальный корпус
Закон и порядок: Специальный корпус,Бригада,Морская полиция: Спецотдел,Клан Сопрано,Морская полиция: Спецотдел,Клан Сопрано
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Мыслить как преступник,Фарго
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Твин Пикс,Фарго
Закон и порядок: Специальный корпус,Бригада,Морская полиция: Спецотдел,Клан Сопрано,Бригада,Морская полиция: Спецотдел
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Бригада,Фарго
Мыслить как преступник,Фарго,Бригада,Твин Пикс,Фарго,Мыслить как преступник
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Закон и порядок,Чикатило
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Закон и порядок: Специальный корпус,Мыслить как преступник
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Чикатило,Закон и порядок: Специальный корпус
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Мыслить как преступник,Закон и порядок
Уэнздей,Закон и порядок: Специальный корпус,Монстр: История Джеффри Дамера,Коломбо,Монстр: История Джеффри Дамера,Уэнздей
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Чикатило,Пацаны
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Во все тяжкие,Пацаны
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Во все тяжкие,Чикатило
Уэнздей,Закон и порядок: Специальный корпус,Монстр: История Джеффри Дамера,Коломбо,Закон и порядок: Специальный корпус,Уэнздей
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Пацаны,Чикатило
Уэнздей,Закон и порядок: Специальный корпус,Монстр: История Джеффри Дамера,Коломбо,Закон и порядок: Специальный корпус,Коломбо
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Клан Сопрано,Уэнздей
Уэнздей,Мыслить как преступник,Монстр: История Джеффри Дамера,Чёрный список,Мыслить как преступник,Уэнздей
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Мыслить как преступник,Пацаны
Уэнздей,Мыслить как преступник,Монстр: История Джеффри Дамера,Чёрный список,Мыслить как преступник,Уэнздей
Уэнздей,Мыслить как преступник,Монстр: История Джеффри Дамера,Чёрный список,Мыслить как преступник,Уэнздей
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Фарго,Морская полиция: Спецотдел
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Чикатило,Твин Пикс
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Чикатило,Фарго
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Чикатило,Твин Пикс
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Твин Пикс,Морская полиция: Спецотдел
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Закон и порядок,Чикатило
Закон и порядок,Чикатило,Закон и порядок: Специальный корпус,Мыслить как преступник,Чикатило,Мыслить как преступник
Уэнздей,Закон и порядок: Специальный корпус,Монстр: История Джеффри Дамера,Коломбо,Закон и порядок: Специальный корпус,Уэнздей
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Настоящий детектив,Пацаны
Чикатило,Во все тяжкие,Пацаны,Настоящий детектив,Пацаны,Настоящий детектив
Уэнздей,Мыслить как преступник,Монстр: История Джеффри Дамера,Чёрный список,Монстр: История Джеффри Дамера,Уэнздей
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Клан Сопрано,Уэнздей
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Мыслить как преступник,Уэнздей
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Мыслить как преступник,Уэнздей
Фарго,Чикатило,Морская полиция: Спецотдел,Твин Пикс,Твин Пикс,Морская полиция: Спецотдел
Уэнздей,Мыслить как преступник,Монстр: История Джеффри Дамера,Чёрный список,Чёрный список,Уэнздей
Мыслить как преступник,Пацаны,Клан Сопрано,Уэнздей,Клан Сопрано,Пацаны
Уэнздей,Закон и порядок: Специальный корпус,Монстр: История Джеффри Дамера,Коломбо,Коломбо,Уэнздей
Твин Пикс,Чёрный список,Пацаны,Монстр: История Джеффри Дамера,Монстр: История Джеффри Дамера,Чёрный список
Твин Пикс,Чёрный список,Пацаны,Монстр: История Джеффри Дамера,Твин Пикс,Пацаны
Твин Пикс,Чёрный список,Пацаны,Монстр: История Джеффри Дамера,Чёрный список,Пацаны
Твин Пикс,Чёрный список,Пацаны,Монстр: История Джеффри Дамера,Чёрный список,Твин Пикс
Твин Пикс,Чёрный список,Пацаны,Монстр: История Джеффри Дамера,Чёрный список,Пацаны
Закон и порядок,Фарго,Чёрный список,Клан Сопрано,Чёрный список,Фарго
Закон и порядок,Фарго,Чёрный список,Клан Сопрано,Клан Сопрано,Фарго
Закон и порядок,Фарго,Чёрный список,Клан Сопрано,Клан Сопрано,Фарго
Во все тяжкие,Розенхаймские копы,Чикатило,Настоящий детектив,Во все тяжкие,Розенхаймские копы
Во все тяжкие,Розенхаймские копы,Чикатило,Настоящий детектив,Во все тяжкие,Розенхаймские копы
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Закон и порядок,Настоящий детектив
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Закон и порядок,Морская полиция: Спецотдел
Во все тяжкие,Розенхаймские копы,Чикатило,Настоящий детектив,Чикатило,Во все тяжкие
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Закон и порядок,Морская полиция: Спецотдел
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Мыслить как преступник,Морская полиция: Спецотдел
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Закон и порядок,Настоящий детектив
Настоящий детектив,Морская полиция: Спецотдел,Мыслить как преступник,Закон и порядок,Мыслить как преступник,Закон и порядок
Место преступления,Чикатило,Во все тяжкие,Морская полиция: Спецотдел,Морская полиция: Спецотдел,Во все тяжкие
Место преступления,Чикатило,Во все тяжкие,Морская полиция: Спецотдел,Чикатило,Морская полиция: Спецотдел
Место преступления,Чикатило,Во все тяжкие,Морская полиция: Спецотдел,Морская полиция: Спецотдел,Во все тяжкие
Место преступления,Чикатило,Во все тяжкие,Морская полиция: Спецотдел,Во все тяжкие,Чикатило
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Морская полиция: Спецотдел,Уэнздей
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Клан Сопрано,Настоящий детектив
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Клан Сопрано,Уэнздей
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Настоящий детектив,Уэнздей
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Настоящий детектив,Уэнздей
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Фарго,Морская полиция: Спецотдел
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Розенхаймские копы,Фарго
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Пацаны,Фарго
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Морская полиция: Спецотдел,Пацаны
Настоящий детектив,Клан Сопрано,Уэнздей,Морская полиция: Спецотдел,Клан Сопрано,Уэнздей
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Фарго,Пацаны
Розенхаймские копы,Фарго,Пацаны,Морская полиция: Спецотдел,Морская полиция: Спецотдел,Пацаны
Чёрный список,Закон и порядок,Морская полиция: Спецотдел,Розенхаймские копы,Закон и порядок,Розенхаймские копы
Чёрный список,Закон и порядок,Морская полиция: Спецотдел,Розенхаймские копы,Закон и порядок,Розенхаймские копы
Чёрный список,Закон и порядок,Морская полиция: Спецотдел,Розенхаймские копы,Закон и порядок,Чёрный список
Клан Сопрано,Настоящий детектив,Мыслить как преступник,Монстр: История Джеффри Дамера,Клан Сопрано,Монстр: История Джеффри Дамера
