Item1,Item2,Item3,Item4,BestItem,WorstItem
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Dance Dance Revolution,Beat Saber
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Dance Dance Revolution,Guitar Hero III: Legends of Rock
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Hatsune Miku: Project DIVA (серия игр),Dance Dance Revolution
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Dance Dance Revolution,Beat Saber
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Hatsune Miku: Project DIVA (серия игр),Beat Saber
Guitar Hero III: Legends of Rock,Dance Dance Revolution,Hatsune Miku: Project DIVA (серия игр),Beat Saber,Guitar Hero III: Legends of Rock,Hatsune Miku: Project DIVA (серия игр)
Dance Dance Revolution,Guitar Hero III: Legends of Rock,Just Dance 2021,музыкальная игра,Just Dance 2021,музыкальная игра
Elite Beat Agents,Michael Jackson: The Experience,Patapon 2: Don Chaka,Kingdom Hearts: Melody of Memory,Elite Beat Agents,Kingdom Hearts: Melody of Memory
Dance Dance Revolution,Guitar Hero III: Legends of Rock,Just Dance 2021,музыкальная игра,Guitar Hero III: Legends of Rock,музыкальная игра
Elite Beat Agents,Michael Jackson: The Experience,Patapon 2: Don Chaka,Kingdom Hearts: Melody of Memory,Michael Jackson: The Experience,Patapon 2: Don Chaka
Elite Beat Agents,Michael Jackson: The Experience,Patapon 2: Don Chaka,Kingdom Hearts: Melody of Memory,Michael Jackson: The Experience,Elite Beat Agents
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Just Dance 2020,музыкальная игра
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Just Dance 2020,Kingdom Hearts: Melody of Memory
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Just Dance 2020,Kingdom Hearts: Melody of Memory
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Guitar Hero,Patapon 2: Don Chaka
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,музыкальная игра
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Guitar Hero II,Patapon 2: Don Chaka
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Guitar Hero II,Patapon 2: Don Chaka
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero II,музыкальная игра
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero II,музыкальная игра
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,музыкальная игра
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero II,музыкальная игра
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Guitar Hero II,Sayonara Wild Hearts
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Guitar Hero II,Space Channel 5
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Sayonara Wild Hearts,Just Dance 2021
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Guitar Hero,Sayonara Wild Hearts
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,SingStar,Just Dance 2021
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,SingStar,Elite Beat Agents
Elite Beat Agents,Michael Jackson: The Experience,Patapon 2: Don Chaka,Kingdom Hearts: Melody of Memory,Kingdom Hearts: Melody of Memory,Patapon 2: Don Chaka
Elite Beat Agents,Michael Jackson: The Experience,Patapon 2: Don Chaka,Kingdom Hearts: Melody of Memory,Michael Jackson: The Experience,Patapon 2: Don Chaka
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Kingdom Hearts: Melody of Memory,PaRappa the Rapper
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Guitar Hero II,Patapon 2: Don Chaka
Guitar Hero II,музыкальная игра,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,Guitar Hero III: Legends of Rock,Kingdom Hearts: Melody of Memory
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Guitar Hero II,To be on Top
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Sayonara Wild Hearts,Guitar Hero II
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Just Dance,Sayonara Wild Hearts
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Guitar Hero II,Sayonara Wild Hearts
Space Channel 5,Guitar Hero II,Sayonara Wild Hearts,Just Dance,Just Dance,Guitar Hero II
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Dance Dance Revolution,Just Dance 2021
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Dance Dance Revolution,Guitar Hero
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,SingStar,Elite Beat Agents
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,Kingdom Hearts: Melody of Memory,Elite Beat Agents
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,Just Dance 2021,Elite Beat Agents
Kingdom Hearts: Melody of Memory,Just Dance 2021,SingStar,Elite Beat Agents,Kingdom Hearts: Melody of Memory,Elite Beat Agents
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Just Dance 2021,Sayonara Wild Hearts
Guitar Hero,Dance Dance Revolution,Just Dance 2021,Sayonara Wild Hearts,Guitar Hero,Dance Dance Revolution
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Kingdom Hearts: Melody of Memory,музыкальная игра
Kingdom Hearts: Melody of Memory,музыкальная игра,PaRappa the Rapper,Just Dance 2020,Just Dance 2020,музыкальная игра
Guitar Hero II,To be on Top,Patapon 2: Don Chaka,Guitar Hero,Patapon 2: Don Chaka,To be on Top
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,PaRappa the Rapper,Hatsune Miku: Project DIVA (серия игр)
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,Hatsune Miku: Project DIVA (серия игр),PaRappa the Rapper
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,SingStar,Hatsune Miku: Project DIVA (серия игр)
PaRappa the Rapper,Just Dance 2021,Just Dance 2022,Sayonara Wild Hearts,Just Dance 2022,Sayonara Wild Hearts
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,SingStar,Hatsune Miku: Project DIVA (серия игр)
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,Hatsune Miku: Project DIVA (серия игр),SingStar
Hatsune Miku: Project DIVA (серия игр),To be on Top,PaRappa the Rapper,SingStar,Hatsune Miku: Project DIVA (серия игр),PaRappa the Rapper
Guitar Hero III: Legends of Rock,To be on Top,Beat Saber,Just Dance 2020,Beat Saber,To be on Top
